Points:0,Points:1,Points:2
2.30409,0.109375,0
2.30448,0.101562,0
2.30512,0.09375,0
2.30405,0.117188,0
2.30594,0.0859375,0
2.30445,0.125,0
2.30687,0.078125,0
2.30781,0.0706614,0
2.30786,0.0703125,0
2.30537,0.132812,0
2.30884,0.0625,0
2.30979,0.0546875,0
2.31067,0.046875,0
2.30691,0.140625,0
2.31144,0.0390625,0
2.30781,0.143618,0
2.3121,0.03125,0
2.31262,0.0234375,0
2.313,0.015625,0
2.31322,0.0078125,0
2.3133,0,0
2.30927,0.148438,0
2.31244,0.15625,0
2.31562,0.162013,0
2.31686,0.164062,0
2.32221,0.171875,0
2.32344,0.173251,0
2.32951,0.179688,0
2.33125,0.181326,0
2.33906,0.187326,0
2.33929,0.1875,0
2.34687,0.192362,0
2.35232,0.195312,0
2.35469,0.196648,0
2.3625,0.200074,0
2.37031,0.203067,0
2.37047,0.203125,0
2.37812,0.205681,0
2.38594,0.207983,0
2.39375,0.210034,0
2.39743,0.210938,0
2.40156,0.211944,0
2.40937,0.213655,0
2.41719,0.215244,0
2.425,0.216722,0
2.43281,0.218092,0
2.43678,0.21875,0
2.44062,0.219386,0
2.44844,0.220565,0
2.45625,0.221659,0
2.46406,0.222669,0
2.47187,0.2236,0
2.47969,0.224456,0
2.4875,0.225236,0
2.49531,0.225941,0
2.50303,0.226562,0
2.50312,0.22657,0
2.51094,0.227124,0
2.51875,0.227603,0
2.52656,0.228012,0
2.53437,0.228354,0
2.54219,0.228633,0
2.55,0.228757,0
2.55,0.228943,0
2.55781,0.229006,0
2.56562,0.229102,0
2.57344,0.229138,0
2.58125,0.229112,0
2.58906,0.229027,0
2.59687,0.228881,0
2.60469,0.228675,0
2.6125,0.228409,0
2.62031,0.228084,0
2.62812,0.2277,0
2.63594,0.227258,0
2.64375,0.226758,0
2.64644,0.226562,0
2.65156,0.226193,0
2.65937,0.225566,0
2.66719,0.224871,0
2.675,0.224107,0
2.68281,0.223273,0
2.69062,0.222369,0
2.69844,0.221398,0
2.70625,0.220361,0
2.71406,0.219264,0
2.71746,0.21875,0
2.72187,0.218083,0
2.72969,0.216842,0
2.7375,0.215518,0
2.74531,0.214114,0
2.75312,0.212633,0
2.76094,0.211083,0
2.7616,0.210938,0
2.76875,0.20944,0
2.77656,0.207719,0
2.78437,0.205909,0
2.79219,0.20403,0
2.79934,0.203125,0
2.8,0.201011,0
2.8,0.203041,0
2.80781,0.199944,0
2.81562,0.19776,0
2.82344,0.195486,0
2.82397,0.195312,0
2.83125,0.193084,0
2.83906,0.190581,0
2.84687,0.187993,0
2.8482,0.1875,0
2.85469,0.185222,0
2.8625,0.182368,0
2.86949,0.179688,0
2.87031,0.179347,0
2.87812,0.176242,0
2.88594,0.17302,0
2.88841,0.171875,0
2.89375,0.169503,0
2.90156,0.165988,0
2.90543,0.164062,0
2.90937,0.162094,0
2.91719,0.158261,0
2.92081,0.15625,0
2.925,0.153943,0
2.93281,0.149715,0
2.93479,0.148438,0
2.94062,0.144936,0
2.9475,0.140625,0
2.94844,0.139957,0
2.95625,0.13496,0
2.95911,0.132812,0
2.96406,0.129203,0
2.96952,0.125,0
2.97187,0.123061,0
2.97916,0.117188,0
2.97969,0.116719,0
2.9875,0.109921,0
2.98807,0.109375,0
2.99531,0.102293,0
2.99603,0.101562,0
3.00304,0.09375,0
3.00312,0.0936558,0
3.00935,0.0859375,0
3.01094,0.0839881,0
3.0153,0.078125,0
3.01875,0.0730169,0
3.02064,0.0703125,0
3.025,0.0625,0
3.02656,0.0596108,0
3.02911,0.0546875,0
3.03247,0.046875,0
3.03437,0.0417505,0
3.0354,0.0390625,0
3.03769,0.03125,0
3.0395,0.0234375,0
3.0407,0.015625,0
3.0415,0.0078125,0
3.04179,0,0
