Points:0,Points:1,Points:2
4.35846,0.109375,0
4.35871,0.101562,0
4.35855,0.117188,0
4.35922,0.09375,0
4.35991,0.0859375,0
4.35908,0.125,0
4.36072,0.078125,0
4.36159,0.0703125,0
4.36014,0.132812,0
4.36247,0.0625,0
4.3625,0.0622236,0
4.36332,0.0546875,0
4.36183,0.140625,0
4.3641,0.046875,0
4.3625,0.142621,0
4.3648,0.0390625,0
4.36539,0.03125,0
4.36586,0.0234375,0
4.3662,0.015625,0
4.36641,0.0078125,0
4.36647,0,0
4.36439,0.148438,0
4.36778,0.15625,0
4.37031,0.160385,0
4.37263,0.164062,0
4.37812,0.171124,0
4.37881,0.171875,0
4.38594,0.178866,0
4.38687,0.179688,0
4.39375,0.184976,0
4.39755,0.1875,0
4.40156,0.190105,0
4.40937,0.194066,0
4.412,0.195312,0
4.41719,0.197657,0
4.425,0.200672,0
4.43212,0.203125,0
4.43281,0.20338,0
4.44062,0.205773,0
4.44844,0.207956,0
4.45625,0.209942,0
4.46041,0.210938,0
4.46406,0.211814,0
4.47187,0.213507,0
4.47969,0.215092,0
4.4875,0.21657,0
4.49531,0.21794,0
4.50026,0.21875,0
4.50312,0.219224,0
4.51094,0.220385,0
4.51875,0.221457,0
4.52656,0.222442,0
4.53437,0.223347,0
4.54219,0.224174,0
4.55,0.224925,0
4.55781,0.225601,0
4.56562,0.226203,0
4.57094,0.226562,0
4.57344,0.226733,0
4.58125,0.227185,0
4.58906,0.227568,0
4.59687,0.227884,0
4.60469,0.228137,0
4.6125,0.228327,0
4.62031,0.228455,0
4.62812,0.228522,0
4.63594,0.228528,0
4.64375,0.228473,0
4.65156,0.228358,0
4.65937,0.228182,0
4.66719,0.227947,0
4.675,0.227652,0
4.68281,0.227299,0
4.69062,0.226889,0
4.69605,0.226562,0
4.69844,0.226418,0
4.70625,0.225884,0
4.71406,0.225281,0
4.72187,0.224607,0
4.72969,0.223863,0
4.7375,0.22305,0
4.74531,0.222166,0
4.75312,0.221214,0
4.76094,0.220192,0
4.76875,0.219109,0
4.77112,0.21875,0
4.77656,0.217937,0
4.78437,0.216694,0
4.79219,0.215365,0
4.8,0.213958,0
4.80781,0.212481,0
4.81562,0.21094,0
4.81564,0.210938,0
4.82344,0.209323,0
4.83125,0.207613,0
4.83906,0.205809,0
4.84687,0.203927,0
4.84994,0.203125,0
4.85469,0.201895,0
4.8625,0.199799,0
4.87031,0.19759,0
4.87809,0.195312,0
4.87812,0.1953,0
4.88594,0.192919,0
4.89375,0.190431,0
4.90156,0.187868,0
4.90256,0.1875,0
4.90937,0.185143,0
4.91719,0.182323,0
4.92416,0.179688,0
4.925,0.179346,0
4.93281,0.176285,0
4.94062,0.173106,0
4.94334,0.171875,0
4.94844,0.169637,0
4.95625,0.166166,0
4.96057,0.164062,0
4.96406,0.162332,0
4.97187,0.158548,0
4.97613,0.15625,0
4.97969,0.154301,0
4.9875,0.150155,0
4.99027,0.148438,0
4.99531,0.145432,0
5.00312,0.140675,0
5.00319,0.140625,0
5.01094,0.135669,0
5.01489,0.132812,0
5.01875,0.129993,0
5.02557,0.125,0
5.02656,0.124186,0
5.03437,0.118238,0
5.03557,0.117188,0
5.04219,0.111574,0
5.04455,0.109375,0
5.05,0.104219,0
5.05267,0.101562,0
5.05781,0.0961632,0
5.06007,0.09375,0
5.06562,0.0871201,0
5.06665,0.0859375,0
5.07223,0.078125,0
5.07344,0.0766862,0
5.07777,0.0703125,0
5.08125,0.064555,0
5.08257,0.0625,0
5.08652,0.0546875,0
5.08906,0.0490526,0
5.09016,0.046875,0
5.09642,0.015625,0
5.09687,0.0205283,0
5.09684,0.0390625,0
5.09687,0.038837,0
5.09717,0.0234375,0
5.09739,0.03125,0
