Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
7.3771,-0.298677,0,7.38315,0.5,0,0
7.38281,-0.309141,0,7.38928,0.5,0,1
7.37498,-0.292969,0,7.3808,0.5,0,2
7.36805,-0.278437,0,7.37331,0.5,0,3
7.36214,-0.263672,0,7.36686,0.5,0,4
7.36016,-0.257027,0,7.36465,0.5,0,5
7.35452,-0.234375,0,7.35826,0.5,0,6
7.4104,-0.353277,0,7.41881,0.5,0,7
7.41211,-0.3549,0,7.4206,0.5,0,8
7.40975,-0.351562,0,7.41808,0.5,0,9
7.43513,-0.387132,0,7.44521,0.5,0,10
7.44141,-0.393668,0,7.45181,0.5,0,11
7.43121,-0.380859,0,7.44097,0.5,0,12
7.42293,-0.370035,0,7.43215,0.5,0,13
7.4615,-0.419363,0,7.47327,0.5,0,14
7.4707,-0.428123,0,7.48296,0.5,0,15
7.45471,-0.410156,0,7.46599,0.5,0,16
7.49549,-0.443965,0,7.50862,0.5,0,17
7.5,-0.444441,0,7.51316,0.5,0,18
7.48848,-0.439453,0,7.50136,0.5,0,19
7.47677,-0.433384,0,7.48932,0.5,0,20
7.44921,-0.402349,0,7.46007,0.5,0,21
7.39851,-0.335861,0,7.40613,0.5,0,22
7.38958,-0.322266,0,7.3966,0.5,0,23
7.38747,-0.317613,0,7.39429,0.5,0,24
7.35008,-0.208512,0,7.35304,0.5,0,25
7.35352,-0.228483,0,7.35706,0.5,0,26
7.34955,-0.205078,0,7.35242,0.5,0,27
7.34497,-0.184323,0,7.34729,0.5,0,28
7.34284,-0.175781,0,7.34495,0.5,0,29
7.35442,-0.233466,0,7.35813,0.5,0,30
7.33861,-0.161388,0,7.34039,0.5,0,31
7.33386,-0.146484,0,7.33532,0.5,0,32
7.33166,-0.139048,0,7.33297,0.5,0,33
7.32553,-0.117188,0,7.32647,0.5,0,34
7.32049,-0.0916183,0,7.32106,0.5,0,35
7.32422,-0.110514,0,7.32505,0.5,0,36
7.3199,-0.0878906,0,7.32043,0.5,0,37
7.31629,-0.0665234,0,7.31659,0.5,0,38
7.31519,-0.0585938,0,7.31543,0.5,0,39
7.31343,-0.0400888,0,7.31354,0.5,0,40
7.3126,-0.0292969,0,7.31266,0.5,0,41
7.31179,-0.0124276,0,7.3118,0.5,0,42
7.31133,0,0,7.31133,0.5,0,43
7.32537,-0.116038,0,7.32629,0.5,0,44
7.5237,-0.445046,0,7.53686,0.5,0,45
7.5293,-0.444665,0,7.54242,0.5,0,46
7.55756,-0.439453,0,7.57032,0.5,0,47
7.55859,-0.439247,0,7.57135,0.5,0,48
7.55883,-0.439212,0,7.57158,0.5,0,49
7.58789,-0.43271,0,7.60022,0.5,0,50
7.59626,-0.431088,0,7.60848,0.5,0,51
7.61719,-0.427241,0,7.62916,0.5,0,52
7.63154,-0.425103,0,7.64337,0.5,0,53
7.64648,-0.423163,0,7.65818,0.5,0,54
7.66424,-0.421695,0,7.67583,0.5,0,55
7.67578,-0.421007,0,7.68732,0.5,0,56
7.69437,-0.420869,0,7.70587,0.5,0,57
7.70508,-0.421086,0,7.71658,0.5,0,58
7.72216,-0.422367,0,7.73371,0.5,0,59
7.73438,-0.423647,0,7.74597,0.5,0,60
7.74816,-0.425663,0,7.75985,0.5,0,61
7.76367,-0.428179,0,7.77547,0.5,0,62
7.77334,-0.429788,0,7.78521,0.5,0,63
7.79297,-0.432838,0,7.80498,0.5,0,64
7.79888,-0.433545,0,7.81092,0.5,0,65
7.82227,-0.435674,0,7.83439,0.5,0,66
7.82591,-0.435812,0,7.83803,0.5,0,67
7.85156,-0.436078,0,7.86366,0.5,0,68
7.85506,-0.435956,0,7.86715,0.5,0,69
7.88086,-0.434597,0,7.89283,0.5,0,70
7.88612,-0.434191,0,7.89807,0.5,0,71
7.91016,-0.432201,0,7.92195,0.5,0,72
7.91808,-0.431527,0,7.92983,0.5,0,73
7.93945,-0.429787,0,7.95108,0.5,0,74
7.94982,-0.429087,0,7.96139,0.5,0,75
7.96875,-0.427987,0,7.98023,0.5,0,76
7.98064,-0.427567,0,7.99208,0.5,0,77
7.99805,-0.427169,0,8.00945,0.5,0,78
8.0103,-0.427198,0,8.02169,0.5,0,79
8.02734,-0.427452,0,8.03872,0.5,0,80
8.03894,-0.427858,0,8.05032,0.5,0,81
8.05664,-0.428618,0,8.06803,0.5,0,82
8.06696,-0.429133,0,8.07837,0.5,0,83
8.08594,-0.430063,0,8.09737,0.5,0,84
8.09497,-0.43042,0,8.10641,0.5,0,85
8.11523,-0.431039,0,8.12667,0.5,0,86
8.12356,-0.431124,0,8.135,0.5,0,87
8.14453,-0.431099,0,8.15593,0.5,0,88
8.15307,-0.430916,0,8.16445,0.5,0,89
8.17383,-0.43029,0,8.18515,0.5,0,90
8.1834,-0.429886,0,8.19468,0.5,0,91
8.20312,-0.428988,0,8.21433,0.5,0,92
8.2141,-0.428477,0,8.22527,0.5,0,93
8.23242,-0.427665,0,8.24352,0.5,0,94
8.24465,-0.427227,0,8.25571,0.5,0,95
8.26172,-0.426721,0,8.27273,0.5,0,96
