Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
5.56475,-0.352217,0,5.57588,13.307,0.5,0,11.1528,-18.4346,13.307,1.32742,-0.292565,0.0174352,1.35939,0,0,1
5.56653,-0.357143,0,5.57798,19.5461,0.5,0,11.5177,-51.9094,19.5461,1.37932,-0.272239,0.0191702,1.40606,0,1,1
5.564,-0.351389,0,5.57509,10.946,0.5,0,11.168,-7.15075,10.946,1.32244,-0.302551,0.0157535,1.3567,0,2,1
5.55911,-0.348821,0,5.57005,12.9814,0.5,0,11.6893,-6.74128,12.9814,1.33881,-0.2861,0.0142311,1.36911,0,3,1
5.55727,-0.347291,0,5.56811,16.5209,0.5,0,12,-20.4079,16.5209,1.34064,-0.279252,0.0143253,1.36949,0,4,1
5.55423,-0.343487,0,5.56484,23.7554,0.5,0,12,-96.1877,23.7554,1.33065,-0.281542,0.0072693,1.36013,0,5,1
5.55313,-0.342365,0,5.56367,25.8775,0.5,0,12,-108.81,25.8775,1.32289,-0.283914,0.00451509,1.35302,0,6,1
5.54934,-0.339501,0,5.55971,27.297,0.5,0,12,-83.1006,27.297,1.30722,-0.29432,-0.00317494,1.33994,0,7,1
5.5475,-0.337438,0,5.55776,20.6607,0.5,0,11.6245,-53.8879,20.6607,1.30238,-0.343555,-0.00756005,1.34695,0,8,1
5.54543,-0.332512,0,5.55539,17.4566,0.5,0,11.2,-55.8958,17.4566,1.26529,-0.391263,-0.0108574,1.32445,0,9,1
5.54445,-0.331251,0,5.55434,16.9077,0.5,0,11.256,-22.1516,16.9077,1.24167,-0.410959,-0.00708193,1.30793,0,10,1
5.54029,-0.327586,0,5.54997,19.8116,0.5,0,12,83.3322,19.8116,1.23088,-0.402075,-0.00747062,1.29491,0,11,1
5.56889,-0.360192,0,5.58053,24.1377,0.5,0,12,-17.3747,24.1377,1.42977,-0.254266,0.0254835,1.45242,0,12,1
5.53956,-0.326369,0,5.54917,18.596,0.5,0,12,92.3361,18.596,1.22998,-0.393581,-0.00807733,1.29144,0,13,1
