Normals_0;Normals_1;Normals_2;Normals_Magnitude;Points_0;Points_1;Points_2;Points_Magnitude;absOmega;f;fs;l;l2;omega;u.x_0;u.x_1;u.x_2;u.x_Magnitude;vtkGhostType;Point ID;vtkValidPointMask
0.952147;0.196835;0.0429643;0.973228;16.7859;-0.00738916;0;16.7859;1.94899;0.5;0;12;5.45545;-1.60162;1.17891;-0.0145622;0.000538264;1.179;0;1494;1
0.953304;0.206107;0.00772041;0.97536;16.786;-0.00492611;0;16.786;1.56716;0.5;0;12;4.5506;-1.24619;1.18232;-0.0118302;0.00136726;1.18238;0;1499;1
0.936542;-0.137563;-0.142565;0.957267;16.7862;-0.0197044;0;16.7862;1.98904;0.5;0;12;10.5309;1.92873;1.17213;-0.0457708;-0.00105897;1.17303;0;1481;1
0.999553;-0.0246223;-0.00658724;0.999878;16.7862;-0.00246305;0;16.7862;1.11718;0.5;0;12;3.98061;-0.761911;1.18609;-0.00959494;0.00130532;1.18613;0;1500;1
0.999105;-0.0304266;-0.0223084;0.999817;16.7862;0;0;16.7862;1.25262;0.5;0;12;5.1389;0.142221;1.18554;-0.0058956;0.00171674;1.18555;0;1505;1
0.998862;-0.0357755;-0.0222194;0.999749;16.7862;0.00246305;0;16.7862;1.33802;0.5;0;12;6.2587;1.08786;1.18494;-0.00171667;0.00255903;1.18495;0;1506;1
0.996818;-0.0557268;-0.042899;0.999296;16.7863;0.00492611;0;16.7863;1.83514;0.5;0;12;7.81817;1.69109;1.18022;0.0041033;0.00260282;1.18023;0;1511;1
0.968451;-0.127933;0.0375457;0.977586;16.7864;-0.0221675;0;16.7864;2.44399;0.5;0;12;8.20978;2.44399;1.1737;-0.0518729;-0.0004641;1.17485;0;1476;1
0.991759;-0.103702;-0.0570425;0.998797;16.7865;0.00738916;0;16.7865;2.26363;0.5;0;12;8.6516;2.23319;1.17534;0.0104057;0.00346719;1.17539;0;1512;1
0.99638;0.0803214;0.022183;0.999858;16.7866;-0.0246305;0;16.7866;2.30058;0.5;0;12;7.07949;2.30058;1.17558;-0.0567953;-0.000643806;1.17695;0;1475;1
0.989269;-0.100474;-0.0822735;0.997756;16.7867;0.00985222;0;16.7867;1.88695;0.5;0;12;9.82978;1.82898;1.16949;0.0167369;0.00307365;1.16962;0;1517;1
0.996732;0.0699875;0.000526763;0.999186;16.7868;-0.0270936;0;16.7868;2.28213;0.5;0;12;5.91522;2.28117;1.17709;-0.0612931;-0.00024226;1.17868;0;1470;1
0.99918;-0.025925;0.0223291;0.999766;16.7868;0.0270936;0;16.7869;4.05018;0.5;0;12;4.91919;-4.05018;1.17557;0.0492446;0.000244785;1.1766;0;1536;1
0.998053;0.0560933;-0.0153012;0.999745;16.7869;-0.0295567;0;16.7869;2.07063;0.5;0;12;5.94404;2.06967;1.17677;-0.0662457;0.000592133;1.17864;0;1469;1
0.992215;-0.0675425;-0.098746;0.999401;16.7869;0.0123153;0;16.7869;1.35679;0.5;0;11.857;9.72439;1.19417;1.16486;0.0219902;0.00359637;1.16507;0;1518;1
0.998314;0.0347207;-0.00795997;0.998949;16.7869;0.0221675;0;16.7869;3.52037;0.5;0;12;6.19015;-3.51282;1.16502;0.0400528;0.000539826;1.1657;0;1530;1
0.998206;0.0168886;0.0112759;0.998412;16.7869;0.0246305;0;16.7869;3.7825;0.5;0;12;5.20691;-3.77494;1.17053;0.044002;0.000341442;1.17136;0;1535;1
0.998488;0.0545485;0.000413117;0.999977;16.787;-0.0320197;0;16.787;1.98938;0.5;0;12;6.44295;1.98844;1.17641;-0.071137;0.00116608;1.17856;0;1464;1
0.944211;0.104137;-0.282278;0.990989;16.787;-0.0123153;0;16.787;1.53263;0.5;0;11.7455;9.86437;-0.341344;1.17277;-0.0280703;0.00195268;1.17311;0;1488;1
0.99381;-0.0430629;-0.0918075;0.99897;16.787;0.0147783;0;16.787;1.43276;0.5;0;11.857;9.14854;-0.121286;1.16261;0.0271664;0.0030154;1.16293;0;1523;1
0.99752;0.0077461;-0.0625377;0.999509;16.787;0.0197044;0;16.787;2.48117;0.5;0;11.8432;6.70219;-2.3176;1.16396;0.0353678;0.00234868;1.1645;0;1529;1
0.998743;-0.0349965;0.0222396;0.999603;16.787;0.0295567;0;16.787;3.55706;0.5;0;12;6.96618;-3.44389;1.17778;0.0535571;0.000327899;1.179;0;1541;1
0.998243;0.0588384;-0.00526153;0.99999;16.7871;-0.0344828;0;16.7871;2.21472;0.5;0;12;7.21212;2.21379;1.17503;-0.0766346;0.00145039;1.17752;0;1463;1
0.948507;-0.0600496;-0.275896;0.989641;16.7871;-0.0172414;0;16.7871;1.44651;0.5;0;11.7478;10.4708;1.16778;1.17115;-0.0387024;0.00197914;1.17179;0;1482;1
0.948047;-0.0909404;-0.279509;0.992567;16.7871;-0.0147783;0;16.7871;1.43049;0.5;0;11.7478;10.049;0.363954;1.1718;-0.0312364;0.00229435;1.17222;0;1487;1
0.976927;0.0917872;-0.0696823;0.9837;16.7871;-0.00985222;0;16.7871;1.79421;0.5;0;11.7455;7.07943;-0.858298;1.17607;-0.0230838;0.00333139;1.1763;0;1493;1
0.994381;0.00691342;-0.104204;0.99985;16.7871;0.0172414;0;16.7871;1.52761;0.5;0;11.8432;9.16291;-1.07245;1.16086;0.0309056;0.00294105;1.16128;0;1524;1
0.998335;-0.0573175;0.00631885;0.999999;16.7871;0.0320197;0;16.7871;3.0691;0.5;0;12;7.96675;-2.91157;1.17984;0.0585948;0.00119073;1.1813;0;1542;1
0.997989;0.0632334;0.000315115;0.99999;16.7872;-0.0369458;0;16.7873;2.44432;0.5;0;12;8.14157;2.44432;1.17406;-0.0824867;0.00162197;1.17695;0;1458;1
0.998043;-0.0620278;0.0062723;0.999988;16.7872;0.0344828;0;16.7872;2.92129;0.5;0;12;10.1092;-2.77229;1.1776;0.0649847;0.00100855;1.17939;0;1547;1
0.997585;0.0690673;0.000322195;0.999973;16.7873;-0.0394089;0;16.7874;3.21786;0.5;0;12;8.50967;3.21786;1.17305;-0.0886819;0.00137744;1.1764;0;1457;1
0.997761;-0.0667296;0.000502842;0.99999;16.7873;0.0369458;0;16.7874;2.82602;0.5;0;12;11.3243;-2.68034;1.1756;0.0708342;0.00121386;1.17773;0;1548;1
0.997174;0.0749863;0.000418504;0.99999;16.7875;-0.0418719;0;16.7875;3.94732;0.5;0;12;8.843;3.94732;1.17236;-0.0948473;0.0010555;1.17619;0;1452;1
0.997308;-0.0729357;0.000522916;0.999971;16.7875;0.0394089;0;16.7875;3.75042;0.5;0;12;10.7945;-3.70937;1.17402;0.0780101;0.000854461;1.17661;0;1553;1
0.996597;0.082009;0.000379976;0.999965;16.7876;-0.044335;0;16.7877;5.09704;0.5;0;12;8.12727;5.09704;1.17342;-0.101439;0.001166;1.1778;0;1451;1
0.996854;-0.0791328;0.000393696;0.99999;16.7876;0.0418719;0;16.7876;4.70715;0.5;0;12;10.5845;-4.70715;1.17254;0.0848143;0.000530721;1.17561;0;1554;1
0.99602;0.0890034;0.000523526;0.999989;16.7878;-0.046798;0;16.7879;6.23163;0.5;0;12;7.4175;6.23163;1.17473;-0.107914;0.00102105;1.17968;0;1446;1
0.996212;-0.0865193;0.000474408;0.999962;16.7878;0.044335;0;16.7878;6.00022;0.5;0;12;8.80779;-6.00022;1.17506;0.0916427;0.000355289;1.17863;0;1559;1
0.99557;-0.0938991;0.000306849;0.999989;16.7879;0.046798;0;16.788;7.25528;0.5;0;12;7.53097;-7.25528;1.17744;0.0987385;0.000156246;1.18157;0;1560;1
0.995242;0.0969825;0.000389383;0.999957;16.788;-0.0492611;0;16.7881;6.9859;0.5;0;12;6.98932;6.9859;1.17878;-0.114438;0.00131381;1.18432;0;1445;1
0.994708;-0.102284;0.000448267;0.999953;16.7881;0.0492611;0;16.7882;7.62264;0.5;0;12;7.51587;-7.62264;1.18253;0.105531;0.000104367;1.18723;0;1565;1
0.994467;0.104932;0.000562096;0.999987;16.7882;-0.0517241;0;16.7882;7.73135;0.5;0;12;6.44284;7.73135;1.18292;-0.120862;0.00128977;1.18908;0;1440;1
0.993845;-0.110659;0.000234539;0.999987;16.7883;0.0517241;0;16.7884;8.0106;0.5;0;12;7.34657;-8.0106;1.18751;0.112528;1.42E-05;1.19283;0;1566;1
0.993503;0.113373;0.000424429;0.999951;16.7884;-0.0541872;0;16.7885;7.48449;0.5;0;12;7.63618;7.48449;1.18699;-0.127404;0.00141704;1.19381;0;1439;1
0.992847;-0.118987;0.000364029;0.999951;16.7885;0.0541872;0;16.7886;7.204;0.5;0;12;10.0755;-7.204;1.1908;0.119763;4.12E-06;1.19681;0;1571;1
0.992537;0.121826;0.000602865;0.999986;16.7886;-0.0566502;0;16.7887;7.23764;0.5;0;12;8.80124;7.23764;1.19101;-0.133808;0.00141162;1.19851;0;1434;1
0.991849;-0.127305;0.000178458;0.999985;16.7888;0.0566502;0;16.7889;6.43213;0.5;0;12;12.5446;-6.43213;1.1941;0.126936;-5.03E-06;1.20083;0;1572;1
0.991573;0.129226;0.00056079;0.999958;16.7889;-0.0591133;0;16.789;6.3954;0.5;0;12;12.3494;6.3954;1.19171;-0.141162;0.00150613;1.20004;0;1433;1
0.990952;-0.133941;0.000222835;0.999963;16.789;0.0591133;0;16.7891;5.37421;0.5;0;12;17.1095;-5.37421;1.1925;0.135278;5.49E-06;1.20015;0;1577;1
0.990605;0.136644;0.000671893;0.999985;16.7891;-0.0615764;0;16.7892;5.55238;0.5;0;12;16.0452;5.55238;1.19234;-0.148405;0.00155976;1.20155;0;1426;1
0.990055;-0.140567;0.000133903;0.999984;16.7893;0.0615764;0;16.7894;4.33205;0.5;0;12;21.6264;-4.33205;1.19096;0.143436;7.47E-05;1.19957;0;1578;1
0.989878;0.141727;0.000746605;0.999972;16.7894;-0.0640394;0;16.7895;5.07408;0.5;0;12;20.6221;5.07408;1.18936;-0.157496;0.0016993;1.19974;0;1425;1
0.989448;-0.144726;7.69E-05;0.999976;16.7896;0.0640394;0;16.7897;4.3194;0.5;0;12;24.7551;-4.3194;1.18621;0.153527;4.08E-05;1.19611;0;1583;1
0.989151;0.146801;0.000747027;0.999985;16.7897;-0.0665025;0;16.7898;4.58244;0.5;0;12;25.2747;4.58244;1.18625;-0.166541;0.00178298;1.19788;0;1420;1
0.988842;-0.148866;0.000105932;0.999985;16.7899;0.0665025;0;16.7901;4.31831;0.5;0;12;27.5519;-4.31831;1.18147;0.16338;2.71E-05;1.19271;0;1584;1
0.988738;0.149536;0.00086576;0.999982;16.79;-0.0689655;0;16.7902;5.34965;0.5;0;12;25.2793;5.34965;1.18282;-0.177589;0.00192911;1.19608;0;1419;1
0.988536;-0.150874;-7.66E-06;0.999983;16.7903;0.0689655;0;16.7904;5.74082;0.5;0;12;24.2488;-5.74082;1.17958;0.175338;-6.28E-05;1.19254;0;1591;1
0.988331;0.15223;0.000765016;0.999986;16.7904;-0.0714286;0;16.7905;6.12993;0.5;0;12;25.2422;6.12993;1.17919;-0.188516;0.00201436;1.19417;0;1413;1
0.988316;0.152331;0.000712705;0.999987;16.7905;-0.0724033;0;16.7907;6.76406;0.5;0;12;22.2744;6.76406;1.18004;-0.192909;0.00207815;1.19571;0;1412;1
0.988232;-0.152875;0.00012855;0.999986;16.7906;0.0714286;0;16.7908;7.22689;0.5;0;12;20.6939;-7.22689;1.17769;0.186748;-0.00022671;1.1924;0;1592;1
0.988241;-0.152816;0.000140024;0.999986;16.7906;0.0715657;0;16.7908;7.30471;0.5;0;12;20.2973;-7.30471;1.17799;0.187341;-0.000261411;1.1928;0;1597;1
0.988298;0.15245;0.000746129;0.999987;16.7907;-0.0733908;0;16.7908;7.39767;0.5;0;12;19.0634;7.39767;1.18092;-0.197407;0.0021342;1.19731;0;1411;1
0.98825;-0.152756;0.000129885;0.999986;16.7907;0.0717013;0;16.7908;7.37754;0.5;0;12;19.82;-7.37754;1.17829;0.187973;-0.000278351;1.19319;0;1598;1
