Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
8.19775,-0.240741,0,8.20128,0.916191,0.5,0,12.5612,6.20724,-0.674358,1.49219,-0.0309706,-0.0016397,1.49252,0,0,1
8.20109,-0.248148,0,8.20485,0.725588,0.5,0,12.8944,6.1078,-0.601741,1.47165,-0.0254895,-0.00195329,1.47187,0,1,1
8.19453,-0.237067,0,8.19796,0.954261,0.5,0,12.504,5.62664,-0.862275,1.50166,-0.0419797,-0.00165568,1.50224,0,2,1
8.19017,-0.233333,0,8.19349,0.534654,0.5,0,12,5.95548,-0.274085,1.51153,-0.0555432,-0.00166475,1.51255,0,3,1
8.20187,-0.249391,0,8.20566,0.714263,0.5,0,12.8323,6.30825,-0.514632,1.46918,-0.0221206,-0.00194431,1.46934,0,4,1
8.20622,-0.255556,0,8.21019,0.7678,0.5,0,12,8.04263,0.7678,1.45792,0.00138414,-0.00146109,1.45792,0,5,1
8.2092,-0.26121,0,8.21335,0.847551,0.5,0,12,8.93762,0.847551,1.44851,0.013792,-0.00101976,1.44858,0,6,1
8.21029,-0.262963,0,8.2145,0.844959,0.5,0,12,9.15275,0.844959,1.44464,0.018354,-0.000919939,1.44475,0,7,1
8.21359,-0.266888,0,8.21793,0.971627,0.5,0,11.7764,9.11636,0.971627,1.43365,0.0317044,-0.000987188,1.434,0,8,1
8.21381,-0.267061,0,8.21815,0.981632,0.5,0,11.7531,9.11003,0.981632,1.43311,0.0324303,-0.000987753,1.43348,0,9,1
8.1872,-0.22761,0,8.19036,0.538644,0.5,0,12,5.15086,-0.114942,1.5226,-0.0647006,-0.00169426,1.52397,0,10,1
8.186,-0.225926,0,8.18912,0.558703,0.5,0,12,5.0147,0.0382237,1.5259,-0.0678059,-0.00165963,1.52741,0,11,1
8.21653,-0.270096,0,8.22097,1.09522,0.5,0,11.537,9.03213,1.09522,1.42472,0.043192,-0.00116356,1.42538,0,12,1
8.21677,-0.27037,0,8.22122,1.10926,0.5,0,11.5327,9.02629,1.10926,1.42404,0.0443587,-0.00114337,1.42473,0,13,1
8.21819,-0.27394,0,8.22276,1.22402,0.5,0,11.6706,9.02653,1.22402,1.41585,0.0518302,-0.00084022,1.4168,0,14,1
8.21828,-0.274175,0,8.22285,1.22678,0.5,0,11.6825,9.03623,1.22678,1.41521,0.0521711,-0.000816693,1.41617,0,15,1
8.18089,-0.218519,0,8.18381,0.831591,0.5,0,12,3.83321,0.831591,1.53767,-0.0851379,-0.0014079,1.54003,0,16,1
8.17986,-0.217168,0,8.18275,0.911828,0.5,0,12,3.59477,0.911828,1.53918,-0.0885605,-0.00136937,1.54173,0,17,1
8.17566,-0.211111,0,8.17839,1.54731,0.5,0,12,2.33749,1.54731,1.54684,-0.103243,-0.00126264,1.55028,0,18,1
8.21982,-0.277778,0,8.22451,1.33268,0.5,0,11.8049,9.06747,1.33268,1.40643,0.0591946,-0.000592139,1.40768,0,19,1
8.22387,-0.284496,0,8.22879,1.79718,0.5,0,12,8.47014,1.79718,1.39188,0.0797939,-0.000388433,1.39417,0,20,1
8.17253,-0.208474,0,8.17519,1.1297,0.5,0,12.3559,1.81595,1.09215,1.54843,-0.115615,-0.00118309,1.55274,0,21,1
8.1692,-0.203704,0,8.17174,1.21272,0.5,0,12.5462,1.35013,1.15512,1.55477,-0.128765,-0.00100903,1.56009,0,22,1
8.22436,-0.285185,0,8.22931,1.83518,0.5,0,12,8.41501,1.83518,1.3904,0.0820501,-0.000364283,1.39282,0,23,1
8.22852,-0.292593,0,8.23372,2.18425,0.5,0,12,7.18328,2.18425,1.37616,0.100021,-0.000468954,1.37979,0,24,1
8.1652,-0.197516,0,8.16759,0.929706,0.5,0,12.8353,1.7184,0.222718,1.56663,-0.132489,-0.000778258,1.57222,0,25,1
8.16403,-0.196296,0,8.16639,1.10345,0.5,0,12.8411,1.68787,0.391549,1.56926,-0.136711,-0.000748378,1.5752,0,26,1
8.2312,-0.297355,0,8.23657,2.40449,0.5,0,12,6.8275,2.40449,1.36739,0.109683,-0.000761874,1.37178,0,27,1
8.16084,-0.188889,0,8.16302,3.01431,0.5,0,12.5944,0.770344,3.01431,1.57944,-0.149232,-0.000754764,1.58648,0,28,1
8.15786,-0.185645,0,8.15997,3.42859,0.5,0,12.5621,0.668396,3.42859,1.58216,-0.157609,-0.000791711,1.58999,0,29,1
8.15463,-0.181481,0,8.15665,4.16611,0.5,0,12.4406,0.0816391,4.16611,1.58454,-0.168358,-0.000529544,1.59346,0,30,1
8.23285,-0.3,0,8.23832,2.4922,0.5,0,12,6.76424,2.4922,1.36241,0.116364,-0.000972073,1.36737,0,31,1
8.23688,-0.307407,0,8.24261,2.95523,0.5,0,12,6.83753,2.95523,1.34878,0.131342,-0.00158109,1.35516,0,32,1
8.15053,-0.176539,0,8.15244,4.3315,0.5,0,12.3328,0.525795,4.3315,1.59008,-0.182623,-0.000582021,1.60053,0,33,1
8.1472,-0.174074,0,8.14906,4.68908,0.5,0,12,0.910557,4.68908,1.59857,-0.197966,-0.000667427,1.61078,0,34,1
8.23854,-0.310278,0,8.24438,3.22848,0.5,0,12,6.92179,3.22848,1.34351,0.13636,-0.00161367,1.35042,0,35,1
8.15786,0.185077,0,8.15996,3.04352,0.5,0,13,1.15258,-3.04352,1.58683,0.164345,-0.000822372,1.59532,0,36,1
8.15447,0.181481,0,8.15649,3.5799,0.5,0,13,1.151,-3.5799,1.59041,0.17539,-0.000496907,1.60006,0,37,1
8.1612,0.188889,0,8.16339,3.09263,0.5,0,12.5447,0.676816,-3.09263,1.58273,0.150643,-0.000582993,1.58988,0,38,1
8.16451,0.196296,0,8.16687,1.15832,0.5,0,12.9059,1.86072,-1.15832,1.574,0.139065,-0.000844247,1.58013,0,39,1
8.15053,0.176759,0,8.15244,4.59524,0.5,0,12.3625,0.412286,-4.59524,1.59688,0.185758,-0.000173197,1.60765,0,40,1
8.14756,0.174074,0,8.14942,5.19791,0.5,0,12,0.0974987,-5.19791,1.60478,0.201095,-0.000213904,1.61733,0,41,1
8.14367,-0.166667,0,8.14537,6.86559,0.5,0,12,-5.5047,6.86559,1.60237,-0.205236,-0.000478796,1.61546,0,42,1
8.14319,-0.166272,0,8.14489,7.10774,0.5,0,12.0533,-6.70249,7.10774,1.60208,-0.208104,-0.000477545,1.61554,0,43,1
8.13886,-0.159259,0,8.14042,9.93504,0.5,0,12.4096,-15.8109,9.93504,1.59337,-0.241237,-0.000369266,1.61153,0,44,1
8.14407,0.166667,0,8.14577,7.71668,0.5,0,12,-8.70393,-7.71668,1.60544,0.209105,-0.000219123,1.619,0,45,1
8.14319,0.165931,0,8.14489,8.0579,0.5,0,12.0993,-10.4613,-8.0579,1.60409,0.215013,-0.000216989,1.61843,0,46,1
8.13889,0.159259,0,8.14045,10.2705,0.5,0,13,-15.2968,-10.2705,1.58537,0.243257,-6.86739e-05,1.60393,0,47,1
8.24108,-0.314815,0,8.24709,3.37524,0.5,0,12,7.11013,3.37524,1.33446,0.14672,-0.00139423,1.3425,0,48,1
8.24428,-0.322222,0,8.25058,3.62517,0.5,0,12,6.95576,3.62517,1.3208,0.156789,-0.00168259,1.33008,0,49,1
8.13586,-0.155369,0,8.13734,8.68674,0.5,0,12.5252,-7.51514,8.68674,1.58464,-0.248591,-0.000319272,1.60402,0,50,1
8.13277,-0.151852,0,8.13419,8.76837,0.5,0,12.5793,-6.19728,8.76837,1.58178,-0.264497,-0.000308245,1.60374,0,51,1
8.13586,0.153922,0,8.13732,9.02653,0.5,0,13,-6.90319,-9.02653,1.57995,0.249027,-0.000392126,1.59946,0,52,1
8.1342,0.151852,0,8.13562,8.82044,0.5,0,12.7734,-6.05593,-8.82044,1.58218,0.261206,-0.000241719,1.6036,0,53,1
8.24587,-0.324935,0,8.25227,3.79524,0.5,0,12,7.7743,3.79482,1.31429,0.160943,-0.00171436,1.32411,0,54,1
8.13092,-0.144444,0,8.13221,10.9267,0.5,0,12.6732,-7.72815,10.9267,1.56522,-0.255385,-0.000280631,1.58592,0,55,1
8.12853,-0.141552,0,8.12976,12.3626,0.5,0,13,-12.4803,12.3626,1.56541,-0.268099,-0.00023294,1.5882,0,56,1
8.12516,-0.137037,0,8.12631,15.0705,0.5,0,13,-29.1813,15.0705,1.55829,-0.286278,-0.000147856,1.58437,0,57,1
8.13161,0.144444,0,8.13289,11.4294,0.5,0,12.5801,-10.5198,-11.4294,1.5654,0.25707,-7.74548e-05,1.58637,0,58,1
8.12853,0.140451,0,8.12974,13.7093,0.5,0,13,-22.1241,-13.7093,1.56195,0.27473,-9.15981e-05,1.58593,0,59,1
8.12594,0.137037,0,8.12709,14.4509,0.5,0,12.6472,-30.6672,-14.4509,1.55955,0.297771,0.000252074,1.58773,0,60,1
8.24871,-0.32963,0,8.25529,3.87509,0.5,0,12,9.0748,3.87438,1.30314,0.170195,-0.00155542,1.31421,0,61,1
8.2532,-0.336838,0,8.26007,4.77246,0.5,0,12,10.775,4.77246,1.28565,0.18539,-0.00131416,1.29895,0,62,1
