Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
1.87399,-0.118197,0,1.87771,0.5,0,0
1.875,-0.12152,0,1.87893,0.5,0,1
1.87386,-0.117188,0,1.87752,0.5,0,2
1.86851,-0.0943765,0,1.8709,0.5,0,3
1.8672,-0.0878906,0,1.86927,0.5,0,4
1.86381,-0.0697845,0,1.86512,0.5,0,5
1.86202,-0.0585938,0,1.86294,0.5,0,6
1.86034,-0.0439523,0,1.86086,0.5,0,7
1.85903,-0.0292969,0,1.85927,0.5,0,8
1.85846,-0.0165361,0,1.85854,0.5,0,9
1.8581,0,0,1.8581,0.5,0,10
1.92753,-0.240437,0,1.94247,0.5,0,11
1.93359,-0.248749,0,1.94953,0.5,0,12
1.92459,-0.234375,0,1.93881,0.5,0,13
1.97864,-0.306514,0,2.00224,0.5,0,14
1.99219,-0.319808,0,2.01769,0.5,0,15
1.96688,-0.292969,0,1.98858,0.5,0,16
1.9516,-0.274958,0,1.97088,0.5,0,17
1.96289,-0.288228,0,1.98394,0.5,0,18
1.94343,-0.263672,0,1.96124,0.5,0,19
1.93978,-0.257485,0,1.95679,0.5,0,20
1.96549,-0.290365,0,1.98683,0.5,0,21
2.0405,-0.361842,0,2.07234,0.5,0,22
2.05078,-0.368798,0,2.08368,0.5,0,23
2.02785,-0.351562,0,2.0581,0.5,0,24
2.07601,-0.384924,0,2.1114,0.5,0,25
2.08008,-0.390751,0,2.11646,0.5,0,26
2.0704,-0.380859,0,2.10514,0.5,0,27
2.05828,-0.373361,0,2.09187,0.5,0,28
2.08951,-0.400724,0,2.12759,0.5,0,29
2.10938,-0.40355,0,2.14763,0.5,0,30
2.00827,-0.335482,0,2.0361,0.5,0,31
2.02148,-0.346492,0,2.05096,0.5,0,32
1.9947,-0.322266,0,2.02057,0.5,0,33
1.99375,-0.320702,0,2.01938,0.5,0,34
2.02478,-0.34827,0,2.05451,0.5,0,35
1.89722,-0.182861,0,1.90601,0.5,0,36
1.9043,-0.198696,0,1.91463,0.5,0,37
1.89453,-0.175781,0,1.90267,0.5,0,38
1.91674,-0.221936,0,1.92954,0.5,0,39
1.90712,-0.205078,0,1.91812,0.5,0,40
1.90647,-0.202902,0,1.91724,0.5,0,41
1.88841,-0.162371,0,1.89538,0.5,0,42
1.88178,-0.146484,0,1.88747,0.5,0,43
1.88024,-0.141242,0,1.88554,0.5,0,44
2.13451,-0.414318,0,2.17435,0.5,0,45
2.13867,-0.415345,0,2.17863,0.5,0,46
2.12552,-0.410156,0,2.16473,0.5,0,47
2.15568,-0.422443,0,2.19668,0.5,0,48
2.16797,-0.427048,0,2.20963,0.5,0,49
2.11417,-0.405364,0,2.15268,0.5,0,50
2.17728,-0.430142,0,2.21936,0.5,0,51
2.19727,-0.4361,0,2.24012,0.5,0,52
2.22491,-0.441104,0,2.26822,0.5,0,53
2.22656,-0.441286,0,2.26987,0.5,0,54
2.21602,-0.439453,0,2.25917,0.5,0,55
2.2001,-0.436619,0,2.24301,0.5,0,56
2.25035,-0.444964,0,2.29392,0.5,0,57
2.25586,-0.445669,0,2.29946,0.5,0,58
2.27695,-0.447657,0,2.32054,0.5,0,59
2.28516,-0.448235,0,2.3287,0.5,0,60
2.30497,-0.448937,0,2.34828,0.5,0,61
2.31445,-0.449145,0,2.35763,0.5,0,62
2.33394,-0.449264,0,2.37679,0.5,0,63
2.34375,-0.449298,0,2.38643,0.5,0,64
2.36319,-0.449307,0,2.40553,0.5,0,65
2.37305,-0.44931,0,2.41521,0.5,0,66
2.39249,-0.44931,0,2.43431,0.5,0,67
2.40234,-0.44931,0,2.444,0.5,0,68
2.42178,-0.44931,0,2.46311,0.5,0,69
2.43164,-0.44931,0,2.4728,0.5,0,70
2.45108,-0.44931,0,2.49192,0.5,0,71
2.46094,-0.44931,0,2.50162,0.5,0,72
2.48038,-0.44931,0,2.52074,0.5,0,73
2.49023,-0.44931,0,2.53044,0.5,0,74
2.50967,-0.44931,0,2.54958,0.5,0,75
2.51953,-0.44931,0,2.55928,0.5,0,76
2.53897,-0.44931,0,2.57842,0.5,0,77
2.54883,-0.44931,0,2.58813,0.5,0,78
2.56827,-0.44931,0,2.60727,0.5,0,79
2.57812,-0.44931,0,2.61698,0.5,0,80
2.59757,-0.44931,0,2.63614,0.5,0,81
2.60742,-0.44931,0,2.64585,0.5,0,82
2.62686,-0.44931,0,2.66501,0.5,0,83
2.63672,-0.44931,0,2.67473,0.5,0,84
2.65616,-0.44931,0,2.69389,0.5,0,85
2.66602,-0.44931,0,2.70361,0.5,0,86
2.68546,-0.44931,0,2.72278,0.5,0,87
2.69531,-0.44931,0,2.73251,0.5,0,88
2.71475,-0.44931,0,2.75168,0.5,0,89
2.72461,-0.44931,0,2.76141,0.5,0,90
2.74405,-0.44931,0,2.78059,0.5,0,91
2.75391,-0.44931,0,2.79032,0.5,0,92
2.77335,-0.44931,0,2.80951,0.5,0,93
2.7832,-0.44931,0,2.81924,0.5,0,94
2.80264,-0.44931,0,2.83843,0.5,0,95
2.8125,-0.44931,0,2.84816,0.5,0,96
2.83194,-0.44931,0,2.86736,0.5,0,97
2.8418,-0.44931,0,2.8771,0.5,0,98
2.86124,-0.44931,0,2.8963,0.5,0,99
2.87109,-0.44931,0,2.90604,0.5,0,100
2.89053,-0.44931,0,2.92525,0.5,0,101
2.90039,-0.44931,0,2.93499,0.5,0,102
2.91983,-0.44931,0,2.9542,0.5,0,103
2.92969,-0.44931,0,2.96394,0.5,0,104
2.94913,-0.44931,0,2.98316,0.5,0,105
2.95898,-0.44931,0,2.9929,0.5,0,106
2.97842,-0.44931,0,3.01212,0.5,0,107
2.98828,-0.44931,0,3.02187,0.5,0,108
3.00772,-0.44931,0,3.0411,0.5,0,109
3.01758,-0.44931,0,3.05085,0.5,0,110
3.03702,-0.44931,0,3.07007,0.5,0,111
3.04688,-0.44931,0,3.07983,0.5,0,112
3.06632,-0.44931,0,3.09906,0.5,0,113
3.07617,-0.44931,0,3.10881,0.5,0,114
3.09561,-0.44931,0,3.12805,0.5,0,115
3.10547,-0.44931,0,3.1378,0.5,0,116
3.12491,-0.44931,0,3.15705,0.5,0,117
3.13477,-0.44931,0,3.1668,0.5,0,118
3.15421,-0.44931,0,3.18605,0.5,0,119
3.16406,-0.44931,0,3.19581,0.5,0,120
3.1835,-0.44931,0,3.21505,0.5,0,121
3.19336,-0.44931,0,3.22481,0.5,0,122
3.2128,-0.44931,0,3.24407,0.5,0,123
3.22266,-0.44931,0,3.25383,0.5,0,124
3.2421,-0.44931,0,3.27308,0.5,0,125
3.25195,-0.44931,0,3.28285,0.5,0,126
3.27139,-0.44931,0,3.3021,0.5,0,127
3.28125,-0.44931,0,3.31187,0.5,0,128
3.30069,-0.44931,0,3.33113,0.5,0,129
3.31055,-0.44931,0,3.3409,0.5,0,130
3.32999,-0.44931,0,3.36016,0.5,0,131
3.33984,-0.44931,0,3.36993,0.5,0,132
3.35928,-0.44931,0,3.3892,0.5,0,133
3.36914,-0.44931,0,3.39897,0.5,0,134
3.38858,-0.44931,0,3.41824,0.5,0,135
3.39844,-0.44931,0,3.42801,0.5,0,136
3.41788,-0.44931,0,3.44728,0.5,0,137
3.42773,-0.44931,0,3.45706,0.5,0,138
3.44717,-0.44931,0,3.47633,0.5,0,139
3.45703,-0.44931,0,3.48611,0.5,0,140
3.47647,-0.44931,0,3.50539,0.5,0,141
3.48633,-0.44931,0,3.51516,0.5,0,142
