Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
11.9518,-0.264994,0,11.9547,0.5,0,0
11.9531,-0.266906,0,11.9561,0.5,0,1
11.9515,-0.263672,0,11.9544,0.5,0,2
11.9424,-0.245061,0,11.945,0.5,0,3
11.9379,-0.234375,0,11.9402,0.5,0,4
11.9204,-0.179179,0,11.9218,0.5,0,5
11.9238,-0.19307,0,11.9254,0.5,0,6
11.9198,-0.175781,0,11.9211,0.5,0,7
11.9338,-0.224414,0,11.9359,0.5,0,8
11.9267,-0.205078,0,11.9285,0.5,0,9
11.9262,-0.202688,0,11.9279,0.5,0,10
11.9149,-0.155432,0,11.9159,0.5,0,11
11.9129,-0.146484,0,11.9138,0.5,0,12
11.91,-0.130973,0,11.9108,0.5,0,13
11.9077,-0.117188,0,11.9083,0.5,0,14
11.9061,-0.105615,0,11.9066,0.5,0,15
11.9039,-0.0878906,0,11.9042,0.5,0,16
11.903,-0.0794251,0,11.9033,0.5,0,17
11.9011,-0.0585938,0,11.9012,0.5,0,18
11.9006,-0.0524982,0,11.9007,0.5,0,19
11.8991,-0.0292969,0,11.8992,0.5,0,20
11.8989,-0.0249246,0,11.8989,0.5,0,21
11.8979,0,0,11.8979,0.5,0,22
12.0066,-0.356717,0,12.0119,0.5,0,23
12.0117,-0.363313,0,12.0172,0.5,0,24
12.0042,-0.351562,0,12.0093,0.5,0,25
12.0629,-0.41761,0,12.0701,0.5,0,26
12.0703,-0.421973,0,12.0777,0.5,0,27
12.0539,-0.410156,0,12.0609,0.5,0,28
12.031,-0.390898,0,12.0373,0.5,0,29
12.041,-0.399705,0,12.0476,0.5,0,30
12.0237,-0.380859,0,12.0298,0.5,0,31
12.019,-0.373618,0,12.0248,0.5,0,32
12.0469,-0.404262,0,12.0537,0.5,0,33
11.9725,-0.302872,0,11.9763,0.5,0,34
11.9824,-0.318628,0,11.9867,0.5,0,35
11.9669,-0.292969,0,11.9705,0.5,0,36
11.9956,-0.338422,0,12.0003,0.5,0,37
11.9847,-0.322266,0,11.989,0.5,0,38
11.9841,-0.320583,0,11.9884,0.5,0,39
11.962,-0.284091,0,11.9654,0.5,0,40
12.0809,-0.428838,0,12.0885,0.5,0,41
12.0996,-0.439218,0,12.1076,0.5,0,42
12.1247,-0.443631,0,12.1328,0.5,0,43
12.1289,-0.443636,0,12.137,0.5,0,44
12.1009,-0.439453,0,12.1088,0.5,0,45
12.0998,-0.439263,0,12.1078,0.5,0,46
12.157,-0.440669,0,12.165,0.5,0,47
12.1582,-0.440562,0,12.1662,0.5,0,48
12.1624,-0.439453,0,12.1704,0.5,0,49
12.1875,-0.433389,0,12.1952,0.5,0,50
12.1955,-0.431486,0,12.2031,0.5,0,51
12.2168,-0.426286,0,12.2242,0.5,0,52
12.2338,-0.422421,0,12.2411,0.5,0,53
12.2461,-0.419801,0,12.2533,0.5,0,54
12.27,-0.415581,0,12.277,0.5,0,55
12.2754,-0.414712,0,12.2824,0.5,0,56
12.3035,-0.411315,0,12.3104,0.5,0,57
12.3047,-0.411211,0,12.3116,0.5,0,58
12.3241,-0.410156,0,12.3309,0.5,0,59
12.334,-0.409614,0,12.3408,0.5,0,60
12.3345,-0.409613,0,12.3413,0.5,0,61
12.3633,-0.410108,0,12.3701,0.5,0,62
12.3911,-0.411638,0,12.3979,0.5,0,63
12.3926,-0.411739,0,12.3994,0.5,0,64
12.3642,-0.410156,0,12.371,0.5,0,65
12.4177,-0.414311,0,12.4246,0.5,0,66
12.4219,-0.414785,0,12.4288,0.5,0,67
12.3633,-0.410109,0,12.3701,0.5,0,68
12.4437,-0.417606,0,12.4507,0.5,0,69
12.4512,-0.418595,0,12.4582,0.5,0,70
12.4696,-0.420976,0,12.4768,0.5,0,71
12.4805,-0.422282,0,12.4876,0.5,0,72
12.4961,-0.423801,0,12.5033,0.5,0,73
12.5098,-0.424882,0,12.517,0.5,0,74
12.5237,-0.425501,0,12.5309,0.5,0,75
12.5391,-0.425889,0,12.5463,0.5,0,76
12.5527,-0.425784,0,12.56,0.5,0,77
12.5684,-0.42544,0,12.5756,0.5,0,78
12.583,-0.424809,0,12.5902,0.5,0,79
12.5977,-0.424087,0,12.6048,0.5,0,80
12.6139,-0.423195,0,12.621,0.5,0,81
12.627,-0.422491,0,12.634,0.5,0,82
12.6447,-0.421661,0,12.6518,0.5,0,83
12.6562,-0.421196,0,12.6633,0.5,0,84
12.675,-0.420744,0,12.6819,0.5,0,85
12.6855,-0.420591,0,12.6925,0.5,0,86
12.7043,-0.420717,0,12.7112,0.5,0,87
12.7148,-0.420907,0,12.7218,0.5,0,88
12.7327,-0.42161,0,12.7397,0.5,0,89
12.7441,-0.422182,0,12.7511,0.5,0,90
12.7603,-0.423256,0,12.7674,0.5,0,91
12.7734,-0.424213,0,12.7805,0.5,0,92
12.7876,-0.425323,0,12.7946,0.5,0,93
12.8027,-0.426501,0,12.8098,0.5,0,94
12.8149,-0.427319,0,12.822,0.5,0,95
12.832,-0.428303,0,12.8392,0.5,0,96
12.8428,-0.428656,0,12.85,0.5,0,97
12.8613,-0.428975,0,12.8685,0.5,0,98
12.8719,-0.428835,0,12.8791,0.5,0,99
12.8906,-0.428311,0,12.8977,0.5,0,100
12.9024,-0.427672,0,12.9095,0.5,0,101
12.9199,-0.42654,0,12.927,0.5,0,102
12.934,-0.425422,0,12.9409,0.5,0,103
12.9492,-0.424146,0,12.9562,0.5,0,104
12.966,-0.422707,0,12.9729,0.5,0,105
12.9785,-0.421649,0,12.9854,0.5,0,106
12.9978,-0.420173,0,13.0046,0.5,0,107
13.0078,-0.41946,0,13.0146,0.5,0,108
13.029,-0.418242,0,13.0357,0.5,0,109
13.0371,-0.417838,0,13.0438,0.5,0,110
13.0595,-0.41709,0,13.0661,0.5,0,111
13.0664,-0.416916,0,13.0731,0.5,0,112
13.0891,-0.41673,0,13.0958,0.5,0,113
13.0957,-0.41673,0,13.1023,0.5,0,114
13.1181,-0.417076,0,13.1247,0.5,0,115
13.125,-0.417232,0,13.1316,0.5,0,116
13.1465,-0.417973,0,13.1531,0.5,0,117
13.1543,-0.41828,0,13.1609,0.5,0,118
13.1746,-0.419196,0,13.1812,0.5,0,119
13.1836,-0.419615,0,13.1903,0.5,0,120
13.2026,-0.420459,0,13.2093,0.5,0,121
13.2129,-0.420884,0,13.2196,0.5,0,122
13.2309,-0.42145,0,13.2376,0.5,0,123
13.2422,-0.421727,0,13.2489,0.5,0,124
13.2597,-0.421898,0,13.2665,0.5,0,125
13.2715,-0.421917,0,13.2782,0.5,0,126
13.2893,-0.421663,0,13.296,0.5,0,127
13.3008,-0.421411,0,13.3075,0.5,0,128
13.3195,-0.420752,0,13.3261,0.5,0,129
13.3301,-0.42032,0,13.3367,0.5,0,130
13.3502,-0.419327,0,13.3568,0.5,0,131
13.3594,-0.41885,0,13.3659,0.5,0,132
13.3812,-0.417645,0,13.3877,0.5,0,133
13.3887,-0.417229,0,13.3952,0.5,0,134
13.4122,-0.415957,0,13.4186,0.5,0,135
13.418,-0.415652,0,13.4244,0.5,0,136
13.443,-0.414457,0,13.4494,0.5,0,137
13.4473,-0.414264,0,13.4536,0.5,0,138
13.4735,-0.413263,0,13.4798,0.5,0,139
13.4766,-0.413155,0,13.4829,0.5,0,140
13.5036,-0.412417,0,13.5099,0.5,0,141
13.5059,-0.412364,0,13.5122,0.5,0,142
