Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.443669,0.893466,-0.069832,1,6.94398,-0.442216,0,6.95804,0.5,0,10,-87.3685,-27.995,0.603233,0.200351,-0.14226,0.651359,0,0,1
0.49138,0.868149,-0.0697349,1,6.94099,-0.44,0,6.95492,0.5,0,10,-80.0915,-28.1636,0.677551,0.220034,-0.149607,0.727923,0,1,1
0.106353,0.993206,-0.0472259,1,6.96359,-0.446254,0,6.97787,0.5,0,10,-85.4339,-24.4469,0.420865,0.00609631,-0.0795744,0.428365,0,2,1
-0.0841003,0.996048,-0.0285492,1,6.9832,-0.446295,0,6.99744,0.5,0,10,-55.5465,-19.7814,0.381483,-0.110388,-0.0374426,0.398894,0,3,1
-0.184557,0.982754,-0.0115763,1,7.0028,-0.443416,0,7.01683,0.5,0,10,-1.81252,-13.5835,0.417995,-0.183751,-0.00655168,0.456648,0,4,1
-0.207075,0.978321,-0.00289607,1,7.01971,-0.44,0,7.03349,0.5,0,10,9.30587,-10.4737,0.484075,-0.166302,0.00231842,0.51185,0,5,1
0.768499,0.638979,-0.0334076,1,6.92437,-0.423647,0,6.93732,0.5,0,10,-17.9032,-14.994,1.08037,0.314783,-0.13072,1.13286,0,6,1
0.7939,0.607614,-0.0229765,1,6.9211,-0.42,0,6.93384,0.5,0,10,-10.5341,-12.3528,1.1575,0.314639,-0.119755,1.20547,0,7,1
-0.21034,0.977627,-0.00151789,1,7.02241,-0.439422,0,7.03615,0.5,0,10,11.2471,-9.87023,0.492593,-0.15982,0.00409392,0.517887,0,8,1
-0.219565,0.975581,0.00579333,1,7.04202,-0.43537,0,7.05547,0.5,0,10,13.5808,-7.22925,0.548524,-0.124241,0.00943324,0.562497,0,9,1
-0.220252,0.975379,0.011164,1,7.06163,-0.431377,0,7.0748,0.5,0,10,7.83936,-5.78763,0.594637,-0.100375,0.00764977,0.603098,0,10,1
-0.192548,0.981203,0.0128751,1,7.08124,-0.427835,0,7.09415,0.5,0,10,5.62212,-4.55797,0.629406,-0.0795347,0.00508528,0.634431,0,11,1
-0.151622,0.988355,0.0128798,1,7.10085,-0.424973,0,7.11356,0.5,0,10,4.24674,-3.47473,0.652792,-0.057645,0.00376962,0.655343,0,12,1
-0.0916599,0.995722,0.0116281,1,7.12046,-0.422742,0,7.133,0.5,0,10,3.41222,-2.59533,0.669394,-0.0333721,0.00364751,0.670236,0,13,1
-0.0283087,0.99955,0.00987129,1,7.14007,-0.421825,0,7.15252,0.5,0,10,3.16058,-2.15997,0.676436,-0.00857488,0.00350991,0.6765,0,14,1
0.0176856,0.999806,0.00863871,1,7.15968,-0.421757,0,7.17209,0.5,0,10,3.37522,-1.95306,0.677673,0.0188888,0.00302198,0.677943,0,15,1
0.0797228,0.996786,0.00784302,1,7.17929,-0.422441,0,7.19171,0.5,0,10,3.9357,-2.00528,0.673837,0.0479265,0.00214052,0.675542,0,16,1
0.139057,0.990253,0.00784129,1,7.1989,-0.424506,0,7.2114,0.5,0,10,4.46943,-2.90838,0.658893,0.0773251,0.000778007,0.663415,0,17,1
0.168939,0.9856,0.00721519,1,7.21851,-0.427127,0,7.23113,0.5,0,10,3.98315,-4.39104,0.636338,0.0951483,-0.000695944,0.643413,0,18,1
0.172246,0.985036,0.00590988,1,7.23812,-0.430112,0,7.25089,0.5,0,10,2.32468,-6.24115,0.604932,0.102162,-0.00226969,0.613502,0,19,1
0.138079,0.990416,0.00308477,1,7.25773,-0.432865,0,7.27062,0.5,0,10,-2.49933,-8.12161,0.57227,0.0825935,-0.00353483,0.578211,0,20,1
0.0911804,0.995834,0.000283021,1,7.27734,-0.434812,0,7.29031,0.5,0,10,-6.66977,-9.36345,0.548114,0.0524535,-0.00420528,0.550634,0,21,1
0.0282757,0.999597,-0.00232206,1,7.29694,-0.436052,0,7.30996,0.5,0,10,-9.70236,-10.063,0.534252,0.0156114,-0.00429957,0.534498,0,22,1
-0.0327654,0.999456,-0.00385075,1,7.31655,-0.435823,0,7.32952,0.5,0,10,-7.31324,-9.59447,0.54396,-0.0190919,-0.00349473,0.544307,0,23,1
-0.0676561,0.997699,-0.00449019,1,7.33616,-0.434887,0,7.34904,0.5,0,10,-3.81733,-8.65273,0.563383,-0.0431499,-0.00253211,0.565039,0,24,1
-0.0915253,0.995793,-0.00439924,1,7.35577,-0.43346,0,7.36853,0.5,0,10,0.118826,-7.39759,0.587843,-0.0582768,-0.00159322,0.590727,0,25,1
-0.0929166,0.995669,-0.00318344,1,7.37538,-0.431763,0,7.38801,0.5,0,10,2.24397,-6.1072,0.612731,-0.0550351,-0.000935395,0.615199,0,26,1
-0.0763064,0.997083,-0.00159671,1,7.39499,-0.430358,0,7.4075,0.5,0,10,3.37619,-5.1015,0.631539,-0.04271,-0.000593825,0.632981,0,27,1
-0.0433655,0.999059,0.000170867,1,7.4146,-0.429249,0,7.42702,0.5,0,10,3.81936,-4.35735,0.6455,-0.023972,-0.000466524,0.645945,0,28,1
-0.00103332,0.999998,0.00162429,1,7.43421,-0.42894,0,7.44657,0.5,0,10,3.69641,-4.23606,0.650457,-0.00055652,-0.000710721,0.650457,0,29,1
0.0292655,0.999569,0.00245055,1,7.45382,-0.429215,0,7.46617,0.5,0,10,3.24676,-4.56921,0.649384,0.0195136,-0.00115154,0.649678,0,30,1
0.0545514,0.998507,0.00276224,1,7.47343,-0.429897,0,7.48578,0.5,0,10,2.52639,-5.21971,0.643799,0.0355525,-0.00173035,0.644782,0,31,1
0.0641321,0.997939,0.00218332,1,7.49304,-0.431005,0,7.50542,0.5,0,10,1.43371,-6.20562,0.632914,0.0395702,-0.00228406,0.634154,0,32,1
0.0562939,0.998413,0.00133927,1,7.51265,-0.432018,0,7.52506,0.5,0,10,0.00390594,-7.08501,0.622512,0.0341729,-0.00251963,0.623455,0,33,1
0.0355162,0.999369,0.000403307,1,7.53226,-0.432885,0,7.54468,0.5,0,10,-1.48449,-7.82271,0.613482,0.0226835,-0.00245993,0.613906,0,34,1
0.00542946,0.999985,-0.000298996,1,7.55187,-0.433217,0,7.56428,0.5,0,10,-2.22496,-8.09445,0.611823,0.00562291,-0.00178031,0.611851,0,35,1
-0.0185915,0.999827,-0.00066431,1,7.57148,-0.433069,0,7.58385,0.5,0,10,-1.71471,-8.00804,0.616812,-0.00959056,-0.000961041,0.616887,0,36,1
-0.0410827,0.999155,-0.000792766,1,7.59108,-0.432588,0,7.6034,0.5,0,10,-0.511711,-7.6882,0.626334,-0.022612,-0.000142932,0.626742,0,37,1
-0.0568301,0.998384,-0.000585266,1,7.61069,-0.431688,0,7.62293,0.5,0,10,0.899601,-7.13092,0.641216,-0.0289761,0.000314901,0.64187,0,38,1
-0.0604058,0.998174,-0.000249482,1,7.6303,-0.430697,0,7.64245,0.5,0,10,1.76337,-6.57825,0.656586,-0.0297878,0.00039103,0.657262,0,39,1
-0.05621,0.998419,0.00014781,1,7.64991,-0.429695,0,7.66197,0.5,0,10,2.25843,-6.05758,0.671379,-0.0268736,0.000213509,0.671917,0,40,1
-0.0432743,0.999063,0.000517595,1,7.66952,-0.428854,0,7.6815,0.5,0,10,2.31563,-5.70002,0.683428,-0.019323,-0.000352137,0.683701,0,41,1
-0.0287895,0.999585,0.000778627,1,7.68913,-0.428281,0,7.70105,0.5,0,10,2.20176,-5.52439,0.691853,-0.0104141,-0.00101627,0.691932,0,42,1
-0.0116049,0.999932,0.000952976,1,7.70874,-0.427914,0,7.72061,0.5,0,10,2.00083,-5.48523,0.697705,-0.00110728,-0.00170425,0.697708,0,43,1
0.00625396,0.99998,0.00097488,1,7.72835,-0.427902,0,7.74019,0.5,0,10,1.74904,-5.66531,0.699397,0.00705785,-0.00227186,0.699436,0,44,1
0.0170979,0.999853,0.000886598,1,7.74796,-0.428119,0,7.75978,0.5,0,10,1.54934,-5.97058,0.698659,0.0123544,-0.0026929,0.698774,0,45,1
0.0238986,0.999714,0.000732968,1,7.76757,-0.42846,0,7.77938,0.5,0,10,1.37777,-6.33642,0.696519,0.0153966,-0.00301281,0.696696,0,46,1
0.0247928,0.999692,0.000513223,1,7.78718,-0.428899,0,7.79898,0.5,0,10,1.23052,-6.72323,0.693404,0.0145419,-0.0032,0.693564,0,47,1
0.020347,0.999793,0.000291216,1,7.80679,-0.42927,0,7.81858,0.5,0,10,1.06429,-7.04254,0.690877,0.011267,-0.00334612,0.690977,0,48,1
0.0122825,0.999925,7.72734e-05,1,7.8264,-0.429564,0,7.83818,0.5,0,10,0.916479,-7.30011,0.689136,0.0067049,-0.00349173,0.689177,0,49,1
0.000616102,1,-0.000104045,1,7.846,-0.429672,0,7.85776,0.5,0,10,0.868922,-7.43228,0.689582,0.00108292,-0.00370549,0.689593,0,50,1
-0.00926787,0.999957,-0.000226059,1,7.86561,-0.429584,0,7.87734,0.5,0,10,0.938164,-7.44844,0.692525,-0.00402807,-0.00400549,0.692548,0,51,1
-0.0184732,0.999829,-0.000297757,1,7.88522,-0.429369,0,7.89691,0.5,0,10,1.05882,-7.39484,0.697074,-0.00848825,-0.00434655,0.697139,0,52,1
