Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
14.4104,-0.296641,0,14.4134,0.5,0,0
14.4141,-0.301129,0,14.4172,0.5,0,1
14.4088,-0.292969,0,14.4118,0.5,0,2
14.3786,-0.240571,0,14.3806,0.5,0,3
14.3848,-0.253105,0,14.387,0.5,0,4
14.3763,-0.234375,0,14.3782,0.5,0,5
14.3991,-0.278626,0,14.4018,0.5,0,6
14.3898,-0.263672,0,14.3922,0.5,0,7
14.3884,-0.260026,0,14.3908,0.5,0,8
14.4693,-0.384204,0,14.4744,0.5,0,9
14.4727,-0.386955,0,14.4778,0.5,0,10
14.4678,-0.380859,0,14.4728,0.5,0,11
14.4574,-0.366822,0,14.462,0.5,0,12
14.447,-0.351562,0,14.4513,0.5,0,13
14.4999,-0.412189,0,14.5058,0.5,0,14
14.502,-0.412998,0,14.5078,0.5,0,15
14.498,-0.410156,0,14.5038,0.5,0,16
14.5176,-0.42385,0,14.5237,0.5,0,17
14.5312,-0.433008,0,14.5377,0.5,0,18
14.4833,-0.399532,0,14.4888,0.5,0,19
14.4339,-0.331726,0,14.4377,0.5,0,20
14.4434,-0.345976,0,14.4475,0.5,0,21
14.4278,-0.322266,0,14.4314,0.5,0,22
14.4225,-0.313779,0,14.426,0.5,0,23
14.446,-0.34895,0,14.4502,0.5,0,24
14.3554,-0.175874,0,14.3565,0.5,0,25
14.3555,-0.176167,0,14.3565,0.5,0,26
14.3554,-0.175781,0,14.3564,0.5,0,27
14.3503,-0.151633,0,14.3511,0.5,0,28
14.3494,-0.146484,0,14.3501,0.5,0,29
14.3458,-0.126865,0,14.3464,0.5,0,30
14.3442,-0.117188,0,14.3447,0.5,0,31
14.3696,-0.220255,0,14.3713,0.5,0,32
14.3633,-0.205078,0,14.3648,0.5,0,33
14.3615,-0.199058,0,14.3629,0.5,0,34
14.3421,-0.101258,0,14.3425,0.5,0,35
14.3405,-0.0878906,0,14.3408,0.5,0,36
14.3393,-0.0747801,0,14.3395,0.5,0,37
14.3379,-0.0585938,0,14.338,0.5,0,38
14.3372,-0.0475715,0,14.3373,0.5,0,39
14.3361,-0.0292969,0,14.3362,0.5,0,40
14.3357,-0.0197396,0,14.3357,0.5,0,41
14.335,0,0,14.335,0.5,0,42
14.5584,-0.44163,0,14.5651,0.5,0,43
14.5605,-0.441683,0,14.5672,0.5,0,44
14.5516,-0.439453,0,14.5583,0.5,0,45
14.5357,-0.435037,0,14.5422,0.5,0,46
14.5887,-0.440636,0,14.5953,0.5,0,47
14.5898,-0.440566,0,14.5965,0.5,0,48
14.5939,-0.439453,0,14.6005,0.5,0,49
14.6191,-0.433051,0,14.6256,0.5,0,50
14.6279,-0.430669,0,14.6343,0.5,0,51
14.6484,-0.424917,0,14.6546,0.5,0,52
14.6681,-0.419757,0,14.6741,0.5,0,53
14.6777,-0.417385,0,14.6837,0.5,0,54
14.706,-0.411192,0,14.7117,0.5,0,55
14.707,-0.411036,0,14.7128,0.5,0,56
14.7132,-0.410156,0,14.7189,0.5,0,57
14.7363,-0.406943,0,14.7419,0.5,0,58
14.7397,-0.406765,0,14.7453,0.5,0,59
14.7656,-0.406077,0,14.7712,0.5,0,60
14.7696,-0.40617,0,14.7752,0.5,0,61
14.7949,-0.407353,0,14.8005,0.5,0,62
14.7975,-0.407536,0,14.8032,0.5,0,63
14.8242,-0.40999,0,14.8299,0.5,0,64
14.8505,-0.413179,0,14.8562,0.5,0,65
14.8535,-0.41358,0,14.8593,0.5,0,66
14.8256,-0.410156,0,14.8313,0.5,0,67
14.8756,-0.417346,0,14.8815,0.5,0,68
14.8828,-0.418578,0,14.8887,0.5,0,69
14.8244,-0.409998,0,14.83,0.5,0,70
14.9008,-0.421435,0,14.9068,0.5,0,71
14.9121,-0.423038,0,14.9181,0.5,0,72
14.927,-0.424583,0,14.933,0.5,0,73
14.9414,-0.425708,0,14.9475,0.5,0,74
14.9547,-0.426122,0,14.9608,0.5,0,75
14.9707,-0.426241,0,14.9768,0.5,0,76
14.9843,-0.425814,0,14.9904,0.5,0,77
15,-0.425088,0,15.006,0.5,0,78
14.3347,0.00857155,0,14.3347,0.5,0,79
14.3343,0.0292969,0,14.3343,0.5,0,80
14.3342,0.0373222,0,14.3342,0.5,0,81
14.3341,0.0585938,0,14.3342,0.5,0,82
14.3342,0.0666419,0,14.3344,0.5,0,83
14.3347,0.0878906,0,14.3349,0.5,0,84
14.3351,0.0967724,0,14.3354,0.5,0,85
14.3362,0.117188,0,14.3367,0.5,0,86
14.3372,0.128175,0,14.3377,0.5,0,87
