Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.40317,-0.315578,0,1.43822,0.5,0
1.40625,-0.315704,0,1.44125,0.5,1
1.40305,-0.3125,0,1.43743,0.5,2
1.44027,-0.356608,0,1.48376,0.5,3
1.44531,-0.359405,0,1.48933,0.5,4
1.43491,-0.351562,0,1.47735,0.5,5
1.41787,-0.339943,0,1.45805,0.5,6
1.42578,-0.345536,0,1.46705,0.5,7
1.40625,-0.336728,0,1.446,0.5,8
1.43018,-0.347164,0,1.47171,0.5,9
1.46157,-0.374364,0,1.50876,0.5,10
1.46484,-0.377241,0,1.51264,0.5,11
1.45902,-0.371094,0,1.50547,0.5,12
1.45235,-0.364055,0,1.49728,0.5,13
1.47372,-0.381749,0,1.52236,0.5,14
1.48438,-0.390314,0,1.53483,0.5,15
1.51357,-0.400494,0,1.56566,0.5,16
1.52344,-0.406915,0,1.57685,0.5,17
1.50911,-0.390625,0,1.55884,0.5,18
1.53833,-0.414793,0,1.59327,0.5,19
1.54297,-0.419138,0,1.59888,0.5,20
1.52902,-0.410156,0,1.58308,0.5,21
1.52563,-0.407968,0,1.57923,0.5,22
1.54973,-0.422925,0,1.6064,0.5,23
1.5625,-0.418133,0,1.61748,0.5,24
1.48471,-0.390295,0,1.53515,0.5,25
1.4849,-0.390625,0,1.53542,0.5,26
1.48438,-0.390296,0,1.53483,0.5,27
1.30775,-0.196154,0,1.32238,0.5,28
1.30859,-0.197012,0,1.32334,0.5,29
1.30776,-0.195312,0,1.32226,0.5,30
1.32679,-0.216177,0,1.34429,0.5,31
1.32812,-0.234043,0,1.34859,0.5,32
1.32609,-0.214844,0,1.34338,0.5,33
1.31582,-0.207616,0,1.3321,0.5,34
1.30213,-0.182243,0,1.31482,0.5,35
1.2895,-0.175781,0,1.30142,0.5,36
1.28932,-0.175524,0,1.30121,0.5,37
1.29964,-0.15625,0,1.309,0.5,38
1.36114,-0.279483,0,1.38954,0.5,39
1.36719,-0.285795,0,1.39674,0.5,40
1.35748,-0.273438,0,1.38475,0.5,41
1.34307,-0.258488,0,1.36772,0.5,42
1.34766,-0.262353,0,1.37296,0.5,43
1.33747,-0.253906,0,1.36136,0.5,44
1.33406,-0.247973,0,1.35691,0.5,45
1.32815,-0.234375,0,1.34867,0.5,46
1.35372,-0.267378,0,1.37987,0.5,47
1.37862,-0.301064,0,1.41111,0.5,48
1.38162,-0.3125,0,1.41652,0.5,49
1.37231,-0.292969,0,1.40323,0.5,50
1.37092,-0.289232,0,1.4011,0.5,51
1.32816,-0.234338,0,1.34868,0.5,52
1.32816,-0.234375,0,1.34868,0.5,53
1.32812,-0.234329,0,1.34864,0.5,54
1.28489,-0.140892,0,1.29259,0.5,55
1.28906,-0.140565,0,1.2967,0.5,56
1.28424,-0.136719,0,1.2915,0.5,57
1.28244,-0.12381,0,1.2884,0.5,58
1.28019,-0.117188,0,1.28555,0.5,59
1.27826,-0.108458,0,1.28285,0.5,60
1.27486,-0.0976562,0,1.27859,0.5,61
1.27329,-0.0939008,0,1.27674,0.5,62
1.26978,-0.078125,0,1.27218,0.5,63
1.29886,-0.146456,0,1.30709,0.5,64
1.26712,-0.0610071,0,1.26859,0.5,65
1.26953,-0.0766447,0,1.27184,0.5,66
1.26633,-0.0585938,0,1.26768,0.5,67
1.26453,-0.0440588,0,1.2653,0.5,68
1.26567,-0.0390625,0,1.26627,0.5,69
1.26975,-0.0779018,0,1.27214,0.5,70
1.26491,-0.0241523,0,1.26514,0.5,71
1.26076,-0.0195312,0,1.26091,0.5,72
1.26044,-0.00909477,0,1.26047,0.5,73
1.26467,0,0,1.26467,0.5,74
1.58158,-0.430143,0,1.63903,0.5,75
1.58203,-0.430185,0,1.63948,0.5,76
1.58158,-0.429688,0,1.63891,0.5,77
1.60031,-0.430943,0,1.65732,0.5,78
1.60156,-0.431284,0,1.65862,0.5,79
1.57259,-0.419594,0,1.62761,0.5,80
1.61985,-0.430927,0,1.67619,0.5,81
1.62109,-0.431463,0,1.67753,0.5,82
1.6314,-0.438911,0,1.68941,0.5,83
1.64062,-0.441358,0,1.69895,0.5,84
1.64622,-0.443623,0,1.70495,0.5,85
1.66016,-0.445968,0,1.71901,0.5,86
1.66281,-0.446564,0,1.72173,0.5,87
1.67969,-0.448305,0,1.73848,0.5,88
