Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
2.95963,0.450532,0,2.99373,10.6261,0.5,0,11,31.9429,10.6261,0.660482,-0.0145265,0.00608052,0.66067,0,0,1
2.95474,0.450314,0,2.98886,9.63106,0.5,0,11,34.2375,9.63106,0.660486,-0.0218975,0.00387849,0.66086,0,1,1
2.96384,0.450739,0,2.99792,10.9649,0.5,0,11,31.7635,10.9649,0.661342,-0.00541351,0.0062939,0.661394,0,2,1
2.94985,0.450105,0,2.984,8.53597,0.5,0,11,36.708,8.53597,0.660367,-0.0286935,0.00138493,0.660992,0,3,1
2.94496,0.449917,0,2.97913,7.51494,0.5,0,11,35.715,7.47859,0.661753,-0.0291799,-0.000649466,0.662397,0,4,1
2.94008,0.449735,0,2.97427,6.5141,0.5,0,11,34.1187,6.41876,0.663176,-0.0286203,-0.00261925,0.663798,0,5,1
2.93519,0.449575,0,2.96942,5.99485,0.5,0,11,28.9906,5.77396,0.666123,-0.0233623,-0.00365191,0.666542,0,6,1
2.9303,0.44942,0,2.96456,5.56579,0.5,0,11,23.3384,5.18217,0.669173,-0.0173474,-0.00454333,0.669413,0,7,1
2.92541,0.449286,0,2.9597,5.6906,0.5,0,11,19.7665,5.13006,0.677176,-0.0101974,-0.00630343,0.677283,0,8,1
2.92052,0.449155,0,2.95485,5.89549,0.5,0,11,16.5097,5.13575,0.685818,-0.00285816,-0.00817718,0.685872,0,9,1
2.91563,0.449042,0,2.95,6.11047,0.5,0,11,15.6763,5.09935,0.691246,0.00238051,-0.0107942,0.691335,0,10,1
3.04276,0.455383,0,3.07665,13.0114,0.5,0,11,4.22433,13.0114,0.748364,0.0255416,0.00466436,0.748814,0,11,1
3.03787,0.455052,0,3.07177,12.9749,0.5,0,11,4.04683,12.9749,0.737802,0.0258473,0.00331656,0.738262,0,12,1
3.04693,0.455665,0,3.08081,13.1851,0.5,0,11,4.13329,13.1851,0.757415,0.024676,0.00570416,0.757839,0,13,1
3.03298,0.454723,0,3.06688,12.7096,0.5,0,11,4.11567,12.7096,0.729976,0.0233207,0.00196279,0.730351,0,14,1
3.02809,0.454394,0,3.062,12.4294,0.5,0,11,4.34917,12.4294,0.722504,0.0201271,0.000533362,0.722785,0,15,1
3.0232,0.454072,0,3.05711,12.0664,0.5,0,11,6.14815,12.0664,0.715173,0.0184815,-0.000842831,0.715412,0,16,1
3.01831,0.45375,0,3.05223,11.714,0.5,0,11,8.27766,11.714,0.707793,0.0172009,-0.00225866,0.708005,0,17,1
3.01342,0.453438,0,3.04735,11.4738,0.5,0,11,10.2032,11.4738,0.699508,0.0158043,-0.00235938,0.69969,0,18,1
3.00853,0.453128,0,3.04247,11.304,0.5,0,11,12.0722,11.304,0.691072,0.0142817,-0.00224533,0.691223,0,19,1
3.00364,0.45283,0,3.03759,10.9365,0.5,0,11,15.7877,10.9365,0.684514,0.0134207,-0.00104148,0.684646,0,20,1
2.99875,0.452534,0,3.03271,10.5579,0.5,0,11,20.011,10.5579,0.678241,0.0123421,0.000437983,0.678353,0,21,1
2.99386,0.452255,0,3.02783,10.2747,0.5,0,11,24.9552,10.2747,0.674038,0.0136767,0.00210413,0.67418,0,22,1
2.98897,0.451978,0,3.02295,10.0075,0.5,0,11,30.2237,10.0075,0.670197,0.0151377,0.0038796,0.670379,0,23,1
2.98408,0.451719,0,3.01808,10.1954,0.5,0,11,32.293,10.1954,0.667161,0.0154208,0.00481518,0.667356,0,24,1
2.97919,0.451463,0,3.01321,10.4584,0.5,0,11,33.9239,10.4584,0.664356,0.015259,0.00561699,0.664555,0,25,1
2.9743,0.451224,0,3.00834,10.8226,0.5,0,11,32.8277,10.8226,0.662815,0.0106181,0.0061225,0.662928,0,26,1
2.96941,0.450989,0,3.00347,11.1996,0.5,0,11,31.2345,11.1996,0.661561,0.00501273,0.00659264,0.661612,0,27,1
2.96452,0.450769,0,2.9986,11.0059,0.5,0,11,31.6639,11.0059,0.66135,-0.00405575,0.00634252,0.661393,0,28,1
2.91074,0.448931,0,2.94515,6.3309,0.5,0,11,15.2032,5.03795,0.696181,0.00735359,-0.0135305,0.696352,0,29,1
2.95474,-0.450329,0,2.98886,6.58317,0.5,0,11,42.2393,-6.55825,0.676299,-0.0257767,0.00582484,0.676815,0,30,1
2.95963,-0.450562,0,2.99373,6.94953,0.5,0,11,41.7548,-6.94953,0.677195,-0.0250645,0.00484027,0.677676,0,31,1
2.96256,-0.450739,0,2.99665,7.01177,0.5,0,11,41.9464,-7.01177,0.677951,-0.0237544,0.00459871,0.678382,0,32,1
2.94985,-0.450113,0,2.984,6.18716,0.5,0,11,42.7807,-6.1053,0.675192,-0.0262918,0.00695422,0.67574,0,33,1
2.94496,-0.44992,0,2.97914,5.75243,0.5,0,11,42.375,-5.55935,0.673122,-0.028162,0.00912688,0.673773,0,34,1
2.94008,-0.449735,0,2.97427,5.33701,0.5,0,11,41.7175,-4.98958,0.670756,-0.0303324,0.0114684,0.671539,0,35,1
2.93519,-0.449573,0,2.96942,5.19851,0.5,0,11,39.7573,-4.739,0.66801,-0.0354418,0.0141753,0.669099,0,36,1
2.9303,-0.449417,0,2.96456,5.1038,0.5,0,11,37.5927,-4.53141,0.665165,-0.0410487,0.0169509,0.666646,0,37,1
2.92541,-0.449282,0,2.9597,5.50079,0.5,0,11,34.8855,-4.85993,0.663351,-0.0454939,0.0181619,0.665158,0,38,1
2.92052,-0.44915,0,2.95485,5.95547,0.5,0,11,32.1468,-5.25323,0.661682,-0.0498055,0.0191543,0.66383,0,39,1
2.91563,-0.449035,0,2.95,6.51975,0.5,0,11,22.9006,-5.69297,0.659575,-0.0489864,0.0178782,0.661633,0,40,1
2.91074,-0.448922,0,2.94515,7.0922,0.5,0,11,12.8383,-6.12154,0.657415,-0.0475815,0.0162447,0.659335,0,41,1
3.11122,0.4602,0,3.14507,18.4427,0.5,0,11,19.6026,18.4427,0.729479,0.0271151,-0.00608501,0.730008,0,42,1
3.10633,0.459733,0,3.14017,18.4515,0.5,0,11,19.3187,18.4515,0.746514,0.0251114,-0.00721933,0.746971,0,43,1
3.11516,0.460591,0,3.14902,18.3417,0.5,0,11,20.4171,18.3417,0.715338,0.0289329,-0.0052717,0.715942,0,44,1
3.11611,0.460676,0,3.14998,18.2278,0.5,0,11,20.7542,18.2278,0.711596,0.0288812,-0.00499731,0.712199,0,45,1
3.10144,0.459356,0,3.13528,18.2153,0.5,0,11,24.9598,18.2153,0.75307,0.0252051,-0.00549073,0.753511,0,46,1
3.09655,0.459006,0,3.13039,17.9795,0.5,0,11,31.5676,17.9795,0.757352,0.0260946,-0.00297598,0.757808,0,47,1
3.09166,0.458735,0,3.12551,18.1997,0.5,0,11,29.2134,18.1997,0.765572,0.0289283,-0.000360049,0.766118,0,48,1
3.08677,0.458477,0,3.12064,18.4801,0.5,0,11,24.9666,18.4801,0.774615,0.0319429,0.0023669,0.775277,0,49,1
3.08188,0.458163,0,3.11575,18.6289,0.5,0,11,9.81233,18.6289,0.787916,0.0295831,0.00345246,0.788479,0,50,1
3.07699,0.45783,0,3.11087,18.6183,0.5,0,11,-6.63822,18.6183,0.801471,0.0266536,0.00413661,0.801925,0,51,1
3.0721,0.457494,0,3.10598,17.8118,0.5,0,11,-10.336,17.8118,0.800013,0.0212606,0.00513893,0.800312,0,52,1
3.06721,0.457151,0,3.10109,16.9001,0.5,0,11,-11.7151,16.9001,0.795369,0.016533,0.00620911,0.795565,0,53,1
3.06232,0.456804,0,3.09621,15.7561,0.5,0,11,-5.8503,15.7561,0.788282,0.0158961,0.00679128,0.788471,0,54,1
3.05743,0.45645,0,3.09132,14.6529,0.5,0,11,0.685438,14.6529,0.780448,0.0164961,0.00726661,0.780656,0,55,1
3.05254,0.456089,0,3.08643,13.8645,0.5,0,11,2.88045,13.8645,0.770118,0.0200346,0.00669225,0.770407,0,56,1
3.04765,0.45572,0,3.08154,13.2201,0.5,0,11,4.10471,13.2201,0.758975,0.0244973,0.00588334,0.759393,0,57,1
2.90585,0.448837,0,2.9403,6.18361,0.5,0,11,12.8807,4.64555,0.691482,0.0134298,-0.0154588,0.691785,0,58,1
2.90585,-0.448824,0,2.9403,7.31472,0.5,0,11,4.91483,-6.17243,0.652268,-0.0443731,0.0138533,0.653922,0,59,1
3.04643,-0.455665,0,3.08032,14.099,0.5,0,11,-1.75518,-14.099,0.756551,-0.0419217,-0.0024911,0.757716,0,60,1
3.04765,-0.455756,0,3.08154,14.1352,0.5,0,11,-1.72443,-14.1352,0.759184,-0.0425018,-0.00242881,0.760377,0,61,1
3.04276,-0.455422,0,3.07666,14.004,0.5,0,11,-1.91814,-14.004,0.748592,-0.0401538,-0.00265427,0.749673,0,62,1
3.03787,-0.455098,0,3.07177,13.9962,0.5,0,11,-2.25857,-13.9962,0.738164,-0.03761,-0.00292723,0.739127,0,63,1
3.03298,-0.454782,0,3.06689,14.0562,0.5,0,11,-3.40304,-14.0562,0.729135,-0.0321938,-0.00332919,0.729853,0,64,1
3.02809,-0.454467,0,3.06201,14.1814,0.5,0,11,-4.83541,-14.1814,0.720385,-0.0262391,-0.00372541,0.720873,0,65,1
3.0232,-0.454159,0,3.05713,14.1303,0.5,0,11,-5.76476,-14.1303,0.712874,-0.0181518,-0.00374816,0.713115,0,66,1
3.01831,-0.453852,0,3.05225,14.0926,0.5,0,11,-6.76792,-14.0926,0.705582,-0.00954408,-0.00371591,0.705656,0,67,1
3.01342,-0.453567,0,3.04737,13.6472,0.5,0,11,-4.70963,-13.6472,0.699338,-0.000686384,-0.00310184,0.699345,0,68,1
3.00853,-0.45329,0,3.04249,13.1627,0.5,0,11,-2.10666,-13.1627,0.693179,0.00849984,-0.00244055,0.693235,0,69,1
3.00364,-0.452995,0,3.03761,12.1244,0.5,0,11,4.24191,-12.1244,0.689002,0.0145685,-0.00109235,0.689157,0,70,1
2.99875,-0.452696,0,3.03273,10.997,0.5,0,11,11.4866,-10.997,0.684962,0.0205373,0.000312359,0.68527,0,71,1
2.99386,-0.452388,0,3.02785,9.73909,0.5,0,11,20.0944,-9.73909,0.683416,0.0185851,0.00156568,0.68367,0,72,1
2.98897,-0.452072,0,3.02297,8.43461,0.5,0,11,29.303,-8.43461,0.68209,0.0156326,0.00277447,0.682275,0,73,1
2.98408,-0.451837,0,3.0181,7.70677,0.5,0,11,34.9062,-7.70677,0.681095,0.007442,0.00345738,0.681144,0,74,1
2.97919,-0.451619,0,3.01323,7.06361,0.5,0,11,40.0373,-7.06361,0.680134,-0.00152369,0.00404671,0.680148,0,75,1
2.9743,-0.451376,0,3.00836,7.01151,0.5,0,11,41.02,-7.01151,0.679028,-0.00978767,0.00430611,0.679112,0,76,1
2.96941,-0.45113,0,3.00349,7.05222,0.5,0,11,41.3991,-7.05222,0.677945,-0.0177944,0.00450016,0.678194,0,77,1
2.96452,-0.450859,0,2.99861,7.03546,0.5,0,11,41.7196,-7.03546,0.677899,-0.0222053,0.00468953,0.678279,0,78,1
3.82515,0.464591,0,3.85326,17.2748,0.5,0,11,8.49792,-17.2748,1.08398,-0.0410369,-0.010644,1.08481,0,79,1
3.82026,0.465399,0,3.84851,18.0989,0.5,0,11,24.5716,-18.0989,1.08481,-0.0315909,-0.0102904,1.08532,0,80,1
3.83004,0.463526,0,3.85799,26.4786,0.5,0,11.5,-10.3295,-26.4786,1.09711,-0.0497395,-0.00687971,1.09826,0,81,1
3.81966,0.465517,0,3.84793,17.9158,0.5,0,11,27.4549,-17.9158,1.08421,-0.0314181,-0.00984692,1.08471,0,82,1
3.81537,0.466487,0,3.84378,17.6401,0.5,0,11,46.9415,-15.8612,1.07042,-0.0298971,-0.00658916,1.07085,0,83,1
3.14545,0.463955,0,3.17948,14.8829,0.5,0,11,17.6876,14.8829,0.664923,0.0104059,-0.00129989,0.665006,0,84,1
3.14056,0.46302,0,3.17451,14.715,0.5,0,11,20.4052,14.715,0.661964,0.0153489,-0.00176376,0.662144,0,85,1
3.14943,0.465517,0,3.18365,16.0144,0.5,0,11,13.6209,16.0144,0.663222,0.00680423,-0.00100257,0.663257,0,86,1
3.15034,0.465662,0,3.18457,16.1325,0.5,0,10.9706,12.6013,16.1325,0.657658,0.00696741,-0.00107764,0.657696,0,87,1
3.13567,0.462321,0,3.16957,15.0824,0.5,0,11,21.5972,15.0824,0.659433,0.0203552,-0.00239406,0.659751,0,88,1
3.13078,0.461873,0,3.16467,15.8395,0.5,0,11,23.7142,15.8395,0.665506,0.0236139,-0.00275016,0.665931,0,89,1
3.12589,0.461468,0,3.15977,16.7933,0.5,0,11,25.4305,16.7933,0.674588,0.0252988,-0.00307355,0.67507,0,90,1
3.121,0.461071,0,3.15488,17.5752,0.5,0,11,23.146,17.5752,0.69174,0.027458,-0.00394751,0.692296,0,91,1
2.90096,0.448745,0,2.93546,5.99594,0.5,0,11,10.3275,4.20371,0.685489,0.0197832,-0.0173073,0.685993,0,92,1
2.90096,-0.448727,0,2.93546,7.49402,0.5,0,11,-2.70654,-6.16524,0.646777,-0.0411657,0.0113285,0.648185,0,93,1
3.11436,-0.460591,0,3.14823,17.9142,0.5,0,11,23.8769,-17.9142,0.721529,-0.0174966,-0.00899659,0.721797,0,94,1
3.11611,-0.460729,0,3.14999,17.8694,0.5,0,11,23.8335,-17.8694,0.714294,-0.0172353,-0.00841884,0.714552,0,95,1
3.11122,-0.460318,0,3.14509,17.7338,0.5,0,11,24.2378,-17.7338,0.733613,-0.0166211,-0.00991004,0.733868,0,96,1
3.10633,-0.459914,0,3.14019,17.3117,0.5,0,11,24.428,-17.3117,0.752308,-0.0160623,-0.0113044,0.752565,0,97,1
3.10144,-0.459544,0,3.1353,16.5487,0.5,0,11,29.0189,-16.5487,0.760246,-0.0201191,-0.011609,0.760601,0,98,1
3.09655,-0.459192,0,3.13041,15.757,0.5,0,11,34.2939,-15.757,0.765613,-0.0257855,-0.0118043,0.766138,0,99,1
3.09166,-0.458859,0,3.12553,15.737,0.5,0,11,33.949,-15.737,0.773987,-0.0332686,-0.0113178,0.774784,0,100,1
3.08677,-0.45853,0,3.12064,15.8555,0.5,0,11,32.2172,-15.8555,0.782905,-0.0408803,-0.0108121,0.784046,0,101,1
3.08188,-0.4582,0,3.11576,16.1262,0.5,0,11,19.5709,-16.1262,0.795347,-0.0446473,-0.00947474,0.796656,0,102,1
3.07699,-0.457863,0,3.11087,16.3006,0.5,0,11,5.57183,-16.3006,0.807973,-0.0480307,-0.00809991,0.80944,0,103,1
3.0721,-0.457525,0,3.10599,16.0327,0.5,0,11,-0.982342,-16.0327,0.804801,-0.0477208,-0.00649772,0.806241,0,104,1
3.06721,-0.45718,0,3.1011,15.7294,0.5,0,11,-5.98403,-15.7294,0.798444,-0.04785,-0.0049595,0.799892,0,105,1
3.06232,-0.456833,0,3.09621,15.3298,0.5,0,11,-4.43853,-15.3298,0.790031,-0.0462324,-0.00391465,0.791392,0,106,1
3.05743,-0.456478,0,3.09132,14.9992,0.5,0,11,-2.13221,-14.9992,0.781155,-0.0446667,-0.00302884,0.782437,0,107,1
3.05254,-0.456121,0,3.08643,14.5471,0.5,0,11,-1.68351,-14.5471,0.770443,-0.0433825,-0.0026752,0.771668,0,108,1
3.83493,0.462777,0,3.86275,25.4706,0.5,0,11.5,11.0213,-25.4706,1.09031,-0.0506425,-0.00558115,1.0915,0,109,1
3.81048,0.467624,0,3.83907,16.73,0.5,0,11,72.5731,-12.8913,1.05076,-0.0308355,-0.0011451,1.05121,0,110,1
