Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.33277,-0.241936,0,1.35455,0.5,0
1.33301,-0.241936,0,1.35479,0.5,1
1.33272,-0.241699,0,1.35446,0.5,2
1.33022,-0.237159,0,1.3512,0.5,3
1.32865,-0.234375,0,1.34916,0.5,4
1.33813,-0.251227,0,1.36151,0.5,5
1.34033,-0.253137,0,1.36403,0.5,6
1.33831,-0.249023,0,1.36128,0.5,7
1.34538,-0.258623,0,1.37001,0.5,8
1.34766,-0.263671,0,1.37321,0.5,9
1.34404,-0.256348,0,1.36826,0.5,10
1.3421,-0.254581,0,1.36603,0.5,11
1.33695,-0.245079,0,1.35923,0.5,12
1.3738,-0.296122,0,1.40535,0.5,13
1.37695,-0.299888,0,1.40923,0.5,14
1.37115,-0.292969,0,1.4021,0.5,15
1.40439,-0.32413,0,1.4413,0.5,16
1.40625,-0.324257,0,1.44315,0.5,17
1.40426,-0.322266,0,1.44076,0.5,18
1.38394,-0.307957,0,1.41779,0.5,19
1.38428,-0.308087,0,1.41815,0.5,20
1.38394,-0.307617,0,1.41771,0.5,21
1.39102,-0.31552,0,1.42636,0.5,22
1.3916,-0.3156,0,1.42694,0.5,23
1.39081,-0.314941,0,1.42603,0.5,24
1.38791,-0.311309,0,1.42239,0.5,25
1.38112,-0.303452,0,1.41406,0.5,26
1.37728,-0.300293,0,1.40963,0.5,27
1.3772,-0.300044,0,1.40951,0.5,28
1.39542,-0.318448,0,1.43129,0.5,29
1.39596,-0.322266,0,1.43268,0.5,30
1.36059,-0.28004,0,1.38911,0.5,31
1.3623,-0.281808,0,1.39115,0.5,32
1.3596,-0.27832,0,1.3878,0.5,33
1.35349,-0.272483,0,1.38065,0.5,34
1.35498,-0.273518,0,1.38231,0.5,35
1.35176,-0.270996,0,1.37866,0.5,36
1.35015,-0.268506,0,1.37659,0.5,37
1.34766,-0.263672,0,1.37321,0.5,38
1.35767,-0.275627,0,1.38537,0.5,39
1.36687,-0.288408,0,1.39696,0.5,40
1.36963,-0.291456,0,1.4003,0.5,41
1.36479,-0.285645,0,1.39437,0.5,42
1.36413,-0.28382,0,1.39334,0.5,43
1.37064,-0.29196,0,1.40139,0.5,44
1.34766,-0.263671,0,1.37321,0.5,45
1.34766,-0.263672,0,1.37321,0.5,46
1.34766,-0.263671,0,1.37321,0.5,47
1.28555,-0.149996,0,1.29427,0.5,48
1.28906,-0.153307,0,1.29815,0.5,49
1.28554,-0.146484,0,1.29386,0.5,50
1.28659,-0.141629,0,1.29437,0.5,51
1.28636,-0.146484,0,1.29467,0.5,52
1.28595,-0.13916,0,1.29346,0.5,53
1.28404,-0.136858,0,1.29131,0.5,54
1.28214,-0.131836,0,1.2889,0.5,55
1.28028,-0.12597,0,1.28646,0.5,56
1.28174,-0.130679,0,1.28838,0.5,57
1.27931,-0.124512,0,1.28535,0.5,58
1.27853,-0.120395,0,1.28419,0.5,59
1.27816,-0.117188,0,1.28352,0.5,60
1.28207,-0.131509,0,1.28879,0.5,61
1.27436,-0.102591,0,1.27848,0.5,62
1.27441,-0.102667,0,1.27854,0.5,63
1.27436,-0.102539,0,1.27848,0.5,64
1.26994,-0.0923692,0,1.27329,0.5,65
1.26987,-0.0878906,0,1.27291,0.5,66
1.27884,-0.112757,0,1.28381,0.5,67
1.27867,-0.117188,0,1.28402,0.5,68
1.27143,-0.0835507,0,1.27417,0.5,69
1.27086,-0.0878906,0,1.2739,0.5,70
1.27102,-0.0805664,0,1.27357,0.5,71
1.26968,-0.0779808,0,1.27207,0.5,72
1.2687,-0.0732422,0,1.27081,0.5,73
1.26629,-0.0593977,0,1.26768,0.5,74
1.26709,-0.0645362,0,1.26873,0.5,75
1.26632,-0.0585938,0,1.26768,0.5,76
1.26832,-0.0720148,0,1.27036,0.5,77
1.26731,-0.065918,0,1.26902,0.5,78
1.26728,-0.0657233,0,1.26899,0.5,79
1.26564,-0.0527165,0,1.26674,0.5,80
1.2647,-0.0512695,0,1.26574,0.5,81
1.26434,-0.0466986,0,1.2652,0.5,82
1.26438,-0.0439453,0,1.26515,0.5,83
1.26578,-0.0379355,0,1.26634,0.5,84
1.26479,-0.0439453,0,1.26555,0.5,85
