Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.4043,-0.0312467,0,1.40465,0.5,0
1.40625,-0.0363363,0,1.40672,0.5,1
1.40427,-0.0292969,0,1.40458,0.5,2
1.40625,-0.0250181,0,1.40647,0.5,3
1.40227,-0.0292969,0,1.40257,0.5,4
1.4046,-0.00897293,0,1.40463,0.5,5
1.40625,-0.00885071,0,1.40628,0.5,6
1.40458,-0.00732422,0,1.4046,0.5,7
1.40453,-0.00172339,0,1.40453,0.5,8
1.40451,0,0,1.40451,0.5,9
1.52131,-0.295093,0,1.54967,0.5,10
1.52344,-0.29659,0,1.55204,0.5,11
1.52041,-0.292969,0,1.54838,0.5,12
1.47833,-0.235538,0,1.49698,0.5,13
1.47949,-0.236504,0,1.49828,0.5,14
1.47801,-0.234375,0,1.49648,0.5,15
1.49297,-0.257523,0,1.51501,0.5,16
1.49414,-0.258349,0,1.51631,0.5,17
1.49262,-0.256348,0,1.51447,0.5,18
1.49056,-0.252603,0,1.51181,0.5,19
1.48794,-0.249023,0,1.50863,0.5,20
1.48409,-0.244424,0,1.50409,0.5,21
1.48682,-0.247628,0,1.5073,0.5,22
1.48289,-0.241699,0,1.50245,0.5,23
1.48191,-0.239278,0,1.50111,0.5,24
1.48763,-0.248209,0,1.5082,0.5,25
1.49902,-0.266121,0,1.52245,0.5,26
1.50146,-0.268342,0,1.52526,0.5,27
1.49795,-0.263672,0,1.52098,0.5,28
1.50553,-0.274256,0,1.53031,0.5,29
1.50879,-0.278039,0,1.53419,0.5,30
1.50356,-0.270996,0,1.52778,0.5,31
1.50302,-0.269444,0,1.52698,0.5,32
1.51493,-0.286831,0,1.54184,0.5,33
1.51611,-0.287551,0,1.54314,0.5,34
1.51452,-0.285645,0,1.54122,0.5,35
1.51221,-0.282228,0,1.53832,0.5,36
1.50902,-0.27832,0,1.53448,0.5,37
1.51891,-0.290169,0,1.54638,0.5,38
1.50898,-0.278133,0,1.53439,0.5,39
1.49675,-0.261062,0,1.51935,0.5,40
1.5743,-0.351966,0,1.61317,0.5,41
1.57471,-0.352103,0,1.61359,0.5,42
1.57431,-0.351562,0,1.61308,0.5,43
1.58201,-0.358907,0,1.62221,0.5,44
1.58203,-0.358907,0,1.62223,0.5,45
1.582,-0.358887,0,1.6222,0.5,46
1.57827,-0.355326,0,1.61777,0.5,47
1.60913,-0.383053,0,1.6541,0.5,48
1.61133,-0.384001,0,1.65645,0.5,49
1.60751,-0.380859,0,1.65201,0.5,50
1.59341,-0.369484,0,1.63568,0.5,51
1.59668,-0.371726,0,1.63938,0.5,52
1.59023,-0.366211,0,1.63185,0.5,53
1.58626,-0.361981,0,1.62704,0.5,54
1.58936,-0.365412,0,1.63082,0.5,55
1.58996,-0.365608,0,1.63145,0.5,56
