Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
12.646,-0.24466,0,12.6483,0.5,0
12.6562,-0.254202,0,12.6588,0.5,1
12.6434,-0.234375,0,12.6456,0.5,2
12.6286,-0.203399,0,12.6303,0.5,3
12.6177,-0.175781,0,12.619,0.5,4
12.6135,-0.159923,0,12.6145,0.5,5
12.6001,-0.117188,0,12.6006,0.5,6
12.591,-0.0652164,0,12.5912,0.5,7
12.5977,-0.102768,0,12.5981,0.5,8
12.5905,-0.0585938,0,12.5906,0.5,9
12.588,-0.009686,0,12.588,0.5,10
12.5875,0,0,12.5875,0.5,11
12.5999,-0.114929,0,12.6004,0.5,12
12.9138,-0.474829,0,12.9226,0.5,13
12.9199,-0.476189,0,12.9287,0.5,14
12.902,-0.46875,0,12.9105,0.5,15
12.9369,-0.481084,0,12.9458,0.5,16
12.9492,-0.484453,0,12.9583,0.5,17
12.9617,-0.485609,0,12.9707,0.5,18
12.9785,-0.487176,0,12.9877,0.5,19
12.9896,-0.486975,0,12.9987,0.5,20
13.0078,-0.486646,0,13.0169,0.5,21
13.0195,-0.486353,0,13.0286,0.5,22
13.0371,-0.485914,0,13.0462,0.5,23
13.0493,-0.485823,0,13.0584,0.5,24
13.0664,-0.485696,0,13.0754,0.5,25
13.0787,-0.485751,0,13.0877,0.5,26
13.0957,-0.485828,0,13.1047,0.5,27
13.1078,-0.485927,0,13.1168,0.5,28
13.125,-0.486066,0,13.134,0.5,29
12.7513,-0.373684,0,12.7568,0.5,30
12.7734,-0.373736,0,12.7789,0.5,31
12.7318,-0.351562,0,12.7366,0.5,32
12.6921,-0.315671,0,12.6961,0.5,33
12.7148,-0.333543,0,12.7192,0.5,34
12.6809,-0.292969,0,12.6843,0.5,35
12.6738,-0.275404,0,12.6768,0.5,36
12.7265,-0.339869,0,12.7311,0.5,37
12.821,-0.421174,0,12.8279,0.5,38
12.832,-0.430174,0,12.8392,0.5,39
12.8183,-0.410156,0,12.8249,0.5,40
12.803,-0.380556,0,12.8087,0.5,41
12.8136,-0.410156,0,12.8201,0.5,42
12.8532,-0.447557,0,12.861,0.5,43
12.8613,-0.450097,0,12.8692,0.5,44
12.8429,-0.439453,0,12.8504,0.5,45
12.8372,-0.434243,0,12.8446,0.5,46
12.8743,-0.455822,0,12.8823,0.5,47
12.8906,-0.463869,0,12.899,0.5,48
12.8947,-0.464675,0,12.9031,0.5,49
13.1369,-0.48614,0,13.1459,0.5,50
13.1543,-0.486247,0,13.1633,0.5,51
13.1661,-0.486265,0,13.1751,0.5,52
13.1836,-0.486293,0,13.1926,0.5,53
13.1954,-0.486246,0,13.2044,0.5,54
13.2129,-0.486177,0,13.2218,0.5,55
13.2249,-0.486061,0,13.2338,0.5,56
13.2422,-0.485893,0,13.2511,0.5,57
13.2545,-0.485709,0,13.2634,0.5,58
13.2715,-0.485456,0,13.2804,0.5,59
13.2843,-0.485212,0,13.2932,0.5,60
13.3008,-0.4849,0,13.3096,0.5,61
13.3142,-0.484601,0,13.323,0.5,62
13.3301,-0.484249,0,13.3389,0.5,63
13.3442,-0.483927,0,13.353,0.5,64
13.3594,-0.483582,0,13.3681,0.5,65
13.3742,-0.48327,0,13.3829,0.5,66
13.3887,-0.482963,0,13.3974,0.5,67
13.404,-0.482669,0,13.4127,0.5,68
13.418,-0.482403,0,13.4266,0.5,69
13.4339,-0.482151,0,13.4425,0.5,70
13.4473,-0.481939,0,13.4559,0.5,71
13.4636,-0.481756,0,13.4722,0.5,72
13.4766,-0.481611,0,13.4852,0.5,73
13.4931,-0.481509,0,13.5017,0.5,74
13.5059,-0.481431,0,13.5144,0.5,75
13.5225,-0.48141,0,13.5311,0.5,76
13.5352,-0.481394,0,13.5437,0.5,77
13.5518,-0.481421,0,13.5603,0.5,78
13.5645,-0.481442,0,13.573,0.5,79
13.581,-0.481483,0,13.5895,0.5,80
13.5938,-0.481515,0,13.6023,0.5,81
13.6103,-0.481484,0,13.6188,0.5,82
13.623,-0.481461,0,13.6316,0.5,83
13.6398,-0.481302,0,13.6483,0.5,84
13.6523,-0.481183,0,13.6608,0.5,85
13.6695,-0.480926,0,13.6779,0.5,86
13.6816,-0.480742,0,13.6901,0.5,87
13.6993,-0.480394,0,13.7077,0.5,88
13.7109,-0.480165,0,13.7193,0.5,89
13.7292,-0.47977,0,13.7376,0.5,90
13.7402,-0.479531,0,13.7486,0.5,91
13.7591,-0.479145,0,13.7675,0.5,92
13.7695,-0.478933,0,13.7779,0.5,93
13.789,-0.478585,0,13.7973,0.5,94
13.7988,-0.478409,0,13.8071,0.5,95
13.8188,-0.478092,0,13.8271,0.5,96
13.8281,-0.477943,0,13.8364,0.5,97
13.8486,-0.477604,0,13.8568,0.5,98
13.8574,-0.477457,0,13.8656,0.5,99
13.8784,-0.477023,0,13.8866,0.5,100
13.8867,-0.476852,0,13.8949,0.5,101
13.9085,-0.476274,0,13.9166,0.5,102
13.916,-0.476075,0,13.9242,0.5,103
13.9387,-0.475344,0,13.9468,0.5,104
13.9453,-0.475132,0,13.9534,0.5,105
13.9691,-0.474222,0,13.9772,0.5,106
13.9746,-0.474012,0,13.9826,0.5,107
13.9998,-0.472886,0,14.0078,0.5,108
14.0039,-0.472701,0,14.0119,0.5,109
14.0306,-0.471364,0,14.0385,0.5,110
14.0332,-0.471233,0,14.0411,0.5,111
14.0617,-0.469586,0,14.0695,0.5,112
14.0625,-0.469542,0,14.0703,0.5,113
14.0746,-0.46875,0,14.0824,0.5,114
14.0918,-0.467632,0,14.0996,0.5,115
14.093,-0.467548,0,14.1008,0.5,116
14.1211,-0.465526,0,14.1288,0.5,117
14.1246,-0.465229,0,14.1323,0.5,118
14.1504,-0.463055,0,14.158,0.5,119
14.1567,-0.46242,0,14.1643,0.5,120
14.1797,-0.460115,0,14.1872,0.5,121
14.1895,-0.458936,0,14.1969,0.5,122
14.209,-0.456595,0,14.2163,0.5,123
14.2232,-0.454524,0,14.2305,0.5,124
14.2383,-0.45233,0,14.2455,0.5,125
14.2581,-0.448934,0,14.2652,0.5,126
14.2676,-0.44731,0,14.2746,0.5,127
