Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.475428,0.879718,0.000215776,0.999968,19.6315,-0.394195,0,19.6354,0.5,0,12,7.70781,-4.34431,-0.47604,0.0883161,-0.00220784,0.484168,0,0,1
-0.473932,0.880537,0.000248057,0.999979,19.6309,-0.394468,0,19.6348,0.5,0,12,7.69843,-4.48065,-0.476052,0.0880808,-0.00218318,0.484137,0,1,1
-0.470888,-0.88217,0.000304804,0.99998,19.6309,0.394905,0,19.6349,0.5,0,12,7.65234,3.78002,-0.476135,-0.0912568,-0.00145022,0.484803,0,2,1
-0.472631,-0.881221,0.000261579,0.999965,19.6315,0.394643,0,19.6354,0.5,0,12,7.6708,3.77514,-0.476032,-0.0914804,-0.00146884,0.484744,0,3,1
0.203266,0.9791,0.0001412,0.999977,18.6972,-0.480718,0,18.7034,0.5,0,12,-391.032,-48.2796,-0.798275,0.33425,-0.0009865,0.865429,0,4,1
0.209015,0.977872,0.000169236,0.99996,18.6963,-0.480507,0,18.7025,0.5,0,12,-355.669,-46.7003,-0.790498,0.349038,-0.0012088,0.864128,0,5,1
0.214749,0.976646,0.000151851,0.999978,18.6953,-0.480296,0,18.7015,0.5,0,12,-320.379,-45.1237,-0.782733,0.363801,-0.000974788,0.863147,0,6,1
0.155507,0.987812,0.000108302,0.999978,18.7021,-0.481506,0,18.7083,0.5,0,12,-549.977,-53.3885,-0.825334,0.251641,-0.00101356,0.862844,0,7,1
0.179385,0.983456,0.000170945,0.999682,18.6997,-0.481112,0,18.7059,0.5,0,12,-470.527,-50.8344,-0.811805,0.292946,-0.000421765,0.863044,0,8,1
0.106104,0.994334,7.27188e-05,0.999979,18.707,-0.482029,0,18.7132,0.5,0,12,-646.188,-56.9182,-0.844379,0.173596,-0.0010393,0.862039,0,9,1
0.130805,0.991073,0.000210866,0.999668,18.7046,-0.481767,0,18.7108,0.5,0,12,-598.094,-55.1535,-0.834855,0.212617,-0.000483001,0.861504,0,10,1
0.0606972,0.998137,3.73158e-05,0.999981,18.7119,-0.482347,0,18.7181,0.5,0,12,-683.233,-59.4239,-0.849335,0.102434,-0.00105672,0.85549,0,11,1
0.0834009,0.996235,0.000169231,0.99972,18.7094,-0.482188,0,18.7157,0.5,0,12,-664.69,-58.1706,-0.846854,0.138013,-0.000508877,0.858027,0,12,1
0.0201132,0.999779,3.02354e-06,0.999982,18.7168,-0.482497,0,18.723,0.5,0,12,-676.392,-61.3118,-0.837105,0.0378295,-0.00106112,0.83796,0,13,1
0.0404054,0.998958,8.17513e-05,0.999775,18.7143,-0.482422,0,18.7206,0.5,0,12,-679.773,-60.3671,-0.843216,0.0701303,-0.000522499,0.846128,0,14,1
-0.0168916,0.999839,-3.04708e-05,0.999982,18.7217,-0.4825,0,18.7279,0.5,0,12,-629.765,-62.5525,-0.806993,-0.0214301,-0.00105038,0.807278,0,15,1
0.00161089,0.999809,-1.72141e-05,0.99981,18.7192,-0.482498,0,18.7254,0.5,0,12,-653.034,-61.9313,-0.822045,0.00819997,-0.000538041,0.822086,0,16,1
-0.0517291,0.998642,-6.38692e-05,0.999981,18.7266,-0.482368,0,18.7328,0.5,0,12,-547.993,-62.9541,-0.760483,-0.0758681,-0.00102375,0.764259,0,17,1
-0.0343104,0.99924,-0.000109607,0.999829,18.7241,-0.482434,0,18.7303,0.5,0,12,-588.838,-62.7526,-0.783734,-0.0486472,-0.000565737,0.785242,0,18,1
-0.0850728,0.996354,-9.7244e-05,0.99998,18.7314,-0.482103,0,18.7376,0.5,0,12,-433.657,-62.3951,-0.700924,-0.125175,-0.000983318,0.712014,0,19,1
