Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.394109,0.919,-0.000232296,0.999942,2.68736,-0.474684,0,2.72896,39.8516,0.5,0,12,236.96,-33.9056,-0.488133,0.745519,0.000166757,0.891107,0,0,1
0.495822,0.860341,-0.00279438,0.992992,2.68264,-0.472491,0,2.72393,26.1618,0.5,0,12,327.672,-21.3179,-0.373657,0.796941,-0.000966014,0.88019,0,1,1
0.59757,0.801661,-0.000346687,0.999875,2.67791,-0.470297,0,2.7189,12.4532,0.5,0,12,419.112,-8.69526,-0.25929,0.848407,7.11671e-06,0.887145,0,2,1
0.293715,0.955815,-0.000313283,0.999925,2.69715,-0.476785,0,2.73896,65.5621,0.5,0,12,-619.958,-65.5621,-0.709976,0.570465,0.000349803,0.910767,0,3,1
0.343872,0.93742,-0.000984248,0.998501,2.69225,-0.475734,0,2.73396,52.712,0.5,0,12,-191.505,-49.7368,-0.599065,0.657999,0.00135509,0.889856,0,4,1
0.160844,0.986802,-0.000546873,0.999825,2.70693,-0.478513,0,2.7489,102.098,0.5,0,12,-2283.48,-102.098,-0.90068,0.347502,0.000590828,0.965393,0,5,1
0.227273,0.971301,-0.00368933,0.997543,2.70204,-0.477649,0,2.74393,83.8153,0.5,0,12,-1451.16,-83.8153,-0.805305,0.458969,0.0022447,0.926916,0,6,1
-0.0674555,0.997499,-0.000583471,0.999777,2.71672,-0.478976,0,2.75862,118.036,0.5,0,12,-3034.85,-118.036,-0.914896,-0.0377381,0.000873104,0.915674,0,7,1
0.0467725,0.992145,-0.00176192,0.993248,2.71183,-0.478744,0,2.75376,110.062,0.5,0,12,-2658.67,-110.062,-0.907783,0.15495,0.00283784,0.920917,0,8,1
-0.231467,0.972725,-0.000301076,0.999885,2.7265,-0.47761,0,2.76802,88.7978,0.5,0,12,-1096.55,-88.7978,-0.687302,-0.296768,0.00092833,0.748636,0,9,1
-0.149439,0.985127,0.00254771,0.9964,2.72161,-0.478293,0,2.76332,103.438,0.5,0,12,-2067.05,-103.438,-0.801149,-0.167202,0.00278097,0.818415,0,10,1
-0.297822,0.954539,-0.000109232,0.999921,2.73629,-0.475845,0,2.77736,69.514,0.5,0,12,-375.314,-69.514,-0.403621,-0.446392,0.000804368,0.601811,0,11,1
-0.26467,0.96363,0.00108594,0.999317,2.7314,-0.476728,0,2.77269,79.164,0.5,0,12,-736.358,-79.164,-0.545522,-0.371663,0.00218479,0.6601,0,12,1
-0.390526,0.920491,9.09436e-07,0.999907,2.74608,-0.473795,0,2.78665,47.6891,0.5,0,12,329.193,-47.6891,-0.170991,-0.464397,0.000466163,0.494876,0,13,1
-0.344191,0.937512,-0.000596919,0.998697,2.74118,-0.47482,0,2.782,58.5984,0.5,0,12,-22.3228,-58.5984,-0.287339,-0.455452,0.00124747,0.538518,0,14,1
-0.455282,0.887224,0.00195141,0.997222,2.74992,-0.472046,0,2.79014,47.9259,0.5,0,12,261.304,-47.9259,-0.069053,-0.479488,6.70102e-05,0.484434,0,15,1
