Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
17.1825,-0.351652,0,17.1861,0.5,0,0
17.1826,-0.351706,0,17.1862,0.5,0,1
17.1825,-0.351562,0,17.1861,0.5,0,2
17.1872,-0.356769,0,17.1909,0.5,0,3
17.1875,-0.356977,0,17.1912,0.5,0,4
17.187,-0.356445,0,17.1907,0.5,0,5
17.1849,-0.354184,0,17.1885,0.5,0,6
17.1659,-0.334068,0,17.1692,0.5,0,7
17.168,-0.334332,0,17.1712,0.5,0,8
17.1659,-0.332031,0,17.1691,0.5,0,9
17.1579,-0.322608,0,17.1609,0.5,0,10
17.1582,-0.322621,0,17.1612,0.5,0,11
17.1579,-0.322266,0,17.1609,0.5,0,12
17.1514,-0.314466,0,17.1542,0.5,0,13
17.1533,-0.316417,0,17.1562,0.5,0,14
17.1503,-0.3125,0,17.1532,0.5,0,15
17.1552,-0.320376,0,17.1582,0.5,0,16
17.1578,-0.322266,0,17.1608,0.5,0,17
17.1541,-0.317383,0,17.157,0.5,0,18
17.1538,-0.316885,0,17.1567,0.5,0,19
17.1623,-0.327927,0,17.1654,0.5,0,20
17.1626,-0.332031,0,17.1658,0.5,0,21
17.1599,-0.327148,0,17.163,0.5,0,22
17.1588,-0.3266,0,17.1619,0.5,0,23
17.1582,-0.323591,0,17.1613,0.5,0,24
17.1757,-0.343867,0,17.1791,0.5,0,25
17.1777,-0.346239,0,17.1812,0.5,0,26
17.1739,-0.341797,0,17.1773,0.5,0,27
17.1712,-0.338608,0,17.1745,0.5,0,28
17.1729,-0.340519,0,17.1762,0.5,0,29
17.168,-0.338396,0,17.1713,0.5,0,30
17.1735,-0.341119,0,17.1769,0.5,0,31
17.1802,-0.349077,0,17.1838,0.5,0,32
17.1781,-0.34668,0,17.1816,0.5,0,33
17.178,-0.346422,0,17.1815,0.5,0,34
17.1078,-0.245676,0,17.1096,0.5,0,35
17.1094,-0.24865,0,17.1112,0.5,0,36
17.1071,-0.244141,0,17.1088,0.5,0,37
17.1027,-0.236148,0,17.1043,0.5,0,38
17.1045,-0.239126,0,17.1062,0.5,0,39
17.1022,-0.234375,0,17.1038,0.5,0,40
17.1065,-0.242167,0,17.1082,0.5,0,41
17.1046,-0.239258,0,17.1062,0.5,0,42
17.1045,-0.239205,0,17.1062,0.5,0,43
17.0892,-0.205674,0,17.0905,0.5,0,44
17.0898,-0.205979,0,17.0911,0.5,0,45
17.0892,-0.205078,0,17.0905,0.5,0,46
17.0878,-0.202233,0,17.089,0.5,0,47
17.0894,-0.205078,0,17.0906,0.5,0,48
17.0874,-0.200195,0,17.0886,0.5,0,49
17.0867,-0.19844,0,17.0879,0.5,0,50
17.0855,-0.195312,0,17.0866,0.5,0,51
17.0983,-0.225941,0,17.0998,0.5,0,52
17.0996,-0.228977,0,17.1011,0.5,0,53
17.0977,-0.224609,0,17.0992,0.5,0,54
17.0937,-0.215823,0,17.0951,0.5,0,55
17.0947,-0.218117,0,17.0961,0.5,0,56
17.0935,-0.214844,0,17.0948,0.5,0,57
17.0972,-0.222105,0,17.0987,0.5,0,58
17.0956,-0.219727,0,17.097,0.5,0,59
17.0952,-0.219244,0,17.0966,0.5,0,60
17.1014,-0.232625,0,17.1029,0.5,0,61
17.0998,-0.229492,0,17.1014,0.5,0,62
17.0998,-0.229308,0,17.1013,0.5,0,63
17.0923,-0.212378,0,17.0936,0.5,0,64
17.0898,-0.212139,0,17.0912,0.5,0,65
17.0792,-0.176645,0,17.0801,0.5,0,66
17.0801,-0.176645,0,17.081,0.5,0,67
17.079,-0.175781,0,17.0799,0.5,0,68
17.0842,-0.191235,0,17.0852,0.5,0,69
17.085,-0.19373,0,17.0861,0.5,0,70
17.0834,-0.19043,0,17.0844,0.5,0,71
17.0832,-0.187303,0,17.0842,0.5,0,72
17.0826,-0.185547,0,17.0836,0.5,0,73
17.0854,-0.194906,0,17.0865,0.5,0,74
17.082,-0.183611,0,17.083,0.5,0,75
17.082,-0.185547,0,17.083,0.5,0,76
17.0801,-0.180237,0,17.081,0.5,0,77
17.0779,-0.173072,0,17.0788,0.5,0,78
17.0771,-0.170898,0,17.078,0.5,0,79
17.0767,-0.169431,0,17.0775,0.5,0,80
17.0756,-0.166016,0,17.0764,0.5,0,81
17.0745,-0.161829,0,17.0753,0.5,0,82
17.0752,-0.164515,0,17.076,0.5,0,83
17.074,-0.161133,0,17.0748,0.5,0,84
17.0729,-0.158575,0,17.0736,0.5,0,85
17.0728,-0.15625,0,17.0735,0.5,0,86
17.0755,-0.165692,0,17.0763,0.5,0,87
17.1238,-0.273663,0,17.126,0.5,0,88
17.124,-0.273909,0,17.1262,0.5,0,89
17.1237,-0.273438,0,17.1259,0.5,0,90
17.1275,-0.27973,0,17.1298,0.5,0,91
17.1289,-0.281522,0,17.1312,0.5,0,92
17.1268,-0.27832,0,17.1291,0.5,0,93
17.1257,-0.276612,0,17.128,0.5,0,94
17.1373,-0.294318,0,17.1399,0.5,0,95
17.1387,-0.296217,0,17.1412,0.5,0,96
17.1365,-0.292969,0,17.139,0.5,0,97
17.1434,-0.302938,0,17.146,0.5,0,98
17.1436,-0.303125,0,17.1462,0.5,0,99
17.1433,-0.302734,0,17.146,0.5,0,100
17.1473,-0.308719,0,17.1501,0.5,0,101
17.1484,-0.309909,0,17.1512,0.5,0,102
17.1468,-0.307617,0,17.1495,0.5,0,103
17.1454,-0.305752,0,17.1481,0.5,0,104
17.1413,-0.300058,0,17.144,0.5,0,105
17.1398,-0.297852,0,17.1424,0.5,0,106
17.1394,-0.297097,0,17.142,0.5,0,107
17.1335,-0.288416,0,17.1359,0.5,0,108
17.1338,-0.288783,0,17.1362,0.5,0,109
17.1331,-0.288086,0,17.1355,0.5,0,110
17.1309,-0.286071,0,17.1333,0.5,0,111
17.13,-0.283203,0,17.1323,0.5,0,112
17.1357,-0.291097,0,17.1381,0.5,0,113
17.1296,-0.282463,0,17.132,0.5,0,114
17.1183,-0.264544,0,17.1203,0.5,0,115
17.1191,-0.265944,0,17.1212,0.5,0,116
17.1179,-0.263672,0,17.1199,0.5,0,117
17.1128,-0.255332,0,17.1147,0.5,0,118
17.1143,-0.257613,0,17.1162,0.5,0,119
17.1123,-0.253906,0,17.1142,0.5,0,120
17.1171,-0.260786,0,17.1191,0.5,0,121
17.1152,-0.258789,0,17.1172,0.5,0,122
17.1147,-0.258326,0,17.1167,0.5,0,123
17.1219,-0.270654,0,17.1241,0.5,0,124
17.1206,-0.268555,0,17.1227,0.5,0,125
17.1202,-0.267522,0,17.1223,0.5,0,126
17.1112,-0.252034,0,17.1131,0.5,0,127
17.1096,-0.249023,0,17.1114,0.5,0,128
17.1095,-0.24887,0,17.1113,0.5,0,129
17.1496,-0.311334,0,17.1524,0.5,0,130
17.0702,-0.14656,0,17.0709,0.5,0,131
17.0703,-0.146645,0,17.0709,0.5,0,132
17.0702,-0.146484,0,17.0709,0.5,0,133
17.0685,-0.138573,0,17.069,0.5,0,134
17.068,-0.136719,0,17.0686,0.5,0,135
17.0659,-0.131362,0,17.0664,0.5,0,136
17.0662,-0.126953,0,17.0667,0.5,0,137
17.0646,-0.122911,0,17.065,0.5,0,138
17.0638,-0.126953,0,17.0643,0.5,0,139
17.0642,-0.12207,0,17.0647,0.5,0,140
17.0634,-0.11924,0,17.0638,0.5,0,141
17.0635,-0.117188,0,17.0639,0.5,0,142
17.06,-0.0981984,0,17.0603,0.5,0,143
17.0605,-0.0981984,0,17.0608,0.5,0,144
17.0599,-0.0976562,0,17.0602,0.5,0,145
17.0629,-0.114793,0,17.0633,0.5,0,146
17.0605,-0.113954,0,17.0609,0.5,0,147
17.0613,-0.107422,0,17.0617,0.5,0,148
17.0605,-0.108852,0,17.0609,0.5,0,149
17.0616,-0.106378,0,17.0619,0.5,0,150
17.0616,-0.107422,0,17.0619,0.5,0,151
17.0605,-0.10257,0,17.0609,0.5,0,152
17.0593,-0.0940693,0,17.0595,0.5,0,153
17.059,-0.0927734,0,17.0593,0.5,0,154
17.0586,-0.0898829,0,17.0588,0.5,0,155
17.0582,-0.0878906,0,17.0585,0.5,0,156
17.0579,-0.0856543,0,17.0581,0.5,0,157
17.0575,-0.0830078,0,17.0577,0.5,0,158
17.0573,-0.081381,0,17.0575,0.5,0,159
17.0569,-0.078125,0,17.057,0.5,0,160
17.0722,-0.15432,0,17.0729,0.5,0,161
17.0703,-0.15412,0,17.071,0.5,0,162
17.0569,-0.0768923,0,17.0571,0.5,0,163
17.0564,-0.0732422,0,17.0565,0.5,0,164
17.0562,-0.0727106,0,17.0564,0.5,0,165
17.0558,-0.0683594,0,17.0559,0.5,0,166
17.0554,-0.063755,0,17.0555,0.5,0,167
17.0557,-0.0672099,0,17.0558,0.5,0,168
17.0553,-0.0634766,0,17.0555,0.5,0,169
17.0549,-0.0593646,0,17.055,0.5,0,170
17.0549,-0.0585938,0,17.055,0.5,0,171
17.0558,-0.0682715,0,17.0559,0.5,0,172
17.0546,-0.0548148,0,17.0546,0.5,0,173
17.054,-0.0537109,0,17.0541,0.5,0,174
17.0552,-0.0493329,0,17.0552,0.5,0,175
17.0551,-0.0488281,0,17.0552,0.5,0,176
17.0543,-0.045325,0,17.0543,0.5,0,177
17.054,-0.0488281,0,17.0541,0.5,0,178
17.0543,-0.0390625,0,17.0544,0.5,0,179
17.0531,-0.0367019,0,17.0532,0.5,0,180
17.0528,-0.0390625,0,17.0528,0.5,0,181
17.0508,-0.0342554,0,17.0508,0.5,0,182
17.053,-0.0292969,0,17.053,0.5,0,183
17.0508,-0.034103,0,17.0508,0.5,0,184
17.0529,-0.0271557,0,17.0529,0.5,0,185
17.0508,-0.025806,0,17.0508,0.5,0,186
17.0526,-0.0195312,0,17.0527,0.5,0,187
17.0508,-0.0228368,0,17.0508,0.5,0,188
17.0526,-0.0177238,0,17.0526,0.5,0,189
17.0508,-0.0167927,0,17.0508,0.5,0,190
17.0524,-0.00976562,0,17.0524,0.5,0,191
17.0508,-0.0123789,0,17.0508,0.5,0,192
17.0524,-0.00811221,0,17.0524,0.5,0,193
17.0508,-0.00727012,0,17.0508,0.5,0,194
17.0525,0,0,17.0525,0.5,0,195
17.0508,-0.00252213,0,17.0508,0.5,0,196
17.2247,-0.392508,0,17.2292,0.5,0,197
17.2266,-0.394094,0,17.2311,0.5,0,198
17.2226,-0.390625,0,17.227,0.5,0,199
17.2456,-0.41064,0,17.2505,0.5,0,200
17.2461,-0.41064,0,17.251,0.5,0,201
17.2456,-0.410156,0,17.2505,0.5,0,202
17.2351,-0.401577,0,17.2398,0.5,0,203
17.2363,-0.40242,0,17.241,0.5,0,204
17.2339,-0.400391,0,17.2386,0.5,0,205
17.2299,-0.397058,0,17.2345,0.5,0,206
17.2314,-0.39828,0,17.236,0.5,0,207
17.2282,-0.395508,0,17.2327,0.5,0,208
17.2274,-0.394625,0,17.232,0.5,0,209
17.2327,-0.399167,0,17.2373,0.5,0,210
17.2404,-0.40605,0,17.2452,0.5,0,211
17.2412,-0.408705,0,17.2461,0.5,0,212
17.2397,-0.405273,0,17.2445,0.5,0,213
17.2379,-0.403679,0,17.2426,0.5,0,214
17.2417,-0.409714,0,17.2465,0.5,0,215
17.2441,-0.410156,0,17.249,0.5,0,216
17.2478,-0.413317,0,17.2528,0.5,0,217
17.251,-0.414451,0,17.256,0.5,0,218
17.2461,-0.410781,0,17.251,0.5,0,219
17.2538,-0.417122,0,17.2588,0.5,0,220
17.2559,-0.418137,0,17.2609,0.5,0,221
17.2517,-0.415039,0,17.2567,0.5,0,222
17.2514,-0.414636,0,17.2564,0.5,0,223
17.2596,-0.421055,0,17.2647,0.5,0,224
17.2607,-0.421613,0,17.2659,0.5,0,225
17.2583,-0.419922,0,17.2635,0.5,0,226
17.2655,-0.424949,0,17.2707,0.5,0,227
17.2656,-0.424996,0,17.2709,0.5,0,228
17.2653,-0.424805,0,17.2706,0.5,0,229
17.2626,-0.422929,0,17.2678,0.5,0,230
17.257,-0.418814,0,17.262,0.5,0,231
17.2016,-0.371658,0,17.2056,0.5,0,232
17.2021,-0.372021,0,17.2062,0.5,0,233
17.2012,-0.371094,0,17.2052,0.5,0,234
17.2066,-0.376457,0,17.2107,0.5,0,235
17.207,-0.376737,0,17.2112,0.5,0,236
17.2062,-0.375977,0,17.2103,0.5,0,237
17.2042,-0.373971,0,17.2082,0.5,0,238
17.1919,-0.361791,0,17.1957,0.5,0,239
17.1924,-0.362095,0,17.1962,0.5,0,240
17.1916,-0.361328,0,17.1954,0.5,0,241
17.1967,-0.36675,0,17.2006,0.5,0,242
17.1973,-0.367109,0,17.2012,0.5,0,243
17.1964,-0.366211,0,17.2003,0.5,0,244
17.1944,-0.364173,0,17.1983,0.5,0,245
17.1896,-0.359209,0,17.1934,0.5,0,246
17.1993,-0.369105,0,17.2032,0.5,0,247
17.2117,-0.381098,0,17.2159,0.5,0,248
17.2119,-0.381214,0,17.2161,0.5,0,249
17.2115,-0.380859,0,17.2157,0.5,0,250
17.2143,-0.383355,0,17.2186,0.5,0,251
17.2168,-0.385556,0,17.2211,0.5,0,252
17.2092,-0.378728,0,17.2133,0.5,0,253
17.2195,-0.387928,0,17.2239,0.5,0,254
17.2217,-0.389844,0,17.2261,0.5,0,255
17.217,-0.385742,0,17.2213,0.5,0,256
17.2169,-0.385614,0,17.2212,0.5,0,257
17.2222,-0.390119,0,17.2266,0.5,0,258
17.2743,-0.430825,0,17.2796,0.5,0,259
17.2754,-0.431447,0,17.2808,0.5,0,260
17.2726,-0.429688,0,17.2779,0.5,0,261
17.2802,-0.434627,0,17.2857,0.5,0,262
17.2803,-0.434644,0,17.2857,0.5,0,263
17.2802,-0.43457,0,17.2856,0.5,0,264
17.2773,-0.432685,0,17.2827,0.5,0,265
17.2832,-0.436546,0,17.2887,0.5,0,266
17.2852,-0.437808,0,17.2907,0.5,0,267
17.2892,-0.44026,0,17.2948,0.5,0,268
17.29,-0.440603,0,17.2957,0.5,0,269
17.288,-0.439453,0,17.2936,0.5,0,270
17.2923,-0.442029,0,17.298,0.5,0,271
17.2949,-0.443562,0,17.3006,0.5,0,272
17.2862,-0.438366,0,17.2918,0.5,0,273
17.2987,-0.445478,0,17.3044,0.5,0,274
17.2998,-0.446,0,17.3056,0.5,0,275
17.2965,-0.444336,0,17.3022,0.5,0,276
17.2955,-0.443757,0,17.3012,0.5,0,277
17.3019,-0.447162,0,17.3076,0.5,0,278
17.3047,-0.448725,0,17.3105,0.5,0,279
17.2684,-0.426921,0,17.2737,0.5,0,280
17.2705,-0.428367,0,17.2758,0.5,0,281
17.2714,-0.428807,0,17.2767,0.5,0,282
17.3083,-0.450458,0,17.3142,0.5,0,283
17.3096,-0.451007,0,17.3154,0.5,0,284
17.3057,-0.449219,0,17.3116,0.5,0,285
17.3116,-0.452076,0,17.3175,0.5,0,286
17.3145,-0.453549,0,17.3204,0.5,0,287
17.3183,-0.455174,0,17.3242,0.5,0,288
17.3193,-0.455588,0,17.3253,0.5,0,289
17.3158,-0.454102,0,17.3217,0.5,0,290
17.3149,-0.453672,0,17.3208,0.5,0,291
17.3216,-0.456712,0,17.3276,0.5,0,292
17.3242,-0.457962,0,17.3303,0.5,0,293
17.3051,-0.448838,0,17.3109,0.5,0,294
17.3285,-0.459568,0,17.3346,0.5,0,295
17.3291,-0.459729,0,17.3352,0.5,0,296
17.327,-0.458984,0,17.3331,0.5,0,297
17.332,-0.460985,0,17.3381,0.5,0,298
17.334,-0.461844,0,17.3401,0.5,0,299
17.325,-0.458211,0,17.3311,0.5,0,300
17.3354,-0.462409,0,17.3416,0.5,0,301
17.3389,-0.46372,0,17.3451,0.5,0,302
17.3426,-0.465019,0,17.3488,0.5,0,303
17.3438,-0.46541,0,17.35,0.5,0,304
17.3393,-0.463867,0,17.3455,0.5,0,305
17.339,-0.463742,0,17.3452,0.5,0,306
17.3535,-0.46876,0,17.3598,0.5,0,307
17.3535,-0.468761,0,17.3598,0.5,0,308
17.3535,-0.46875,0,17.3598,0.5,0,309
17.3574,-0.469761,0,17.3637,0.5,0,310
17.3584,-0.470002,0,17.3648,0.5,0,311
17.3613,-0.470757,0,17.3677,0.5,0,312
17.3633,-0.47125,0,17.3697,0.5,0,313
17.3652,-0.471681,0,17.3716,0.5,0,314
17.3682,-0.472284,0,17.3746,0.5,0,315
17.3693,-0.47249,0,17.3757,0.5,0,316
17.373,-0.473106,0,17.3795,0.5,0,317
17.3779,-0.473635,0,17.3844,0.5,0,318
17.3779,-0.473635,0,17.3844,0.5,0,319
17.3779,-0.473633,0,17.3844,0.5,0,320
17.3735,-0.473163,0,17.38,0.5,0,321
17.3824,-0.473999,0,17.3889,0.5,0,322
17.3828,-0.474024,0,17.3893,0.5,0,323
17.387,-0.474287,0,17.3935,0.5,0,324
17.3877,-0.47432,0,17.3942,0.5,0,325
17.3918,-0.474442,0,17.3982,0.5,0,326
17.3926,-0.474459,0,17.399,0.5,0,327
17.3966,-0.474464,0,17.4031,0.5,0,328
17.3975,-0.474458,0,17.4039,0.5,0,329
17.4016,-0.474336,0,17.4081,0.5,0,330
17.4023,-0.474308,0,17.4088,0.5,0,331
17.4068,-0.474017,0,17.4133,0.5,0,332
17.4072,-0.473989,0,17.4137,0.5,0,333
17.4101,-0.473633,0,17.4165,0.5,0,334
17.4121,-0.473373,0,17.4185,0.5,0,335
17.4124,-0.47334,0,17.4188,0.5,0,336
17.417,-0.47271,0,17.4234,0.5,0,337
17.4181,-0.472553,0,17.4245,0.5,0,338
17.4219,-0.471978,0,17.4283,0.5,0,339
17.4239,-0.471657,0,17.4302,0.5,0,340
17.4268,-0.471173,0,17.4331,0.5,0,341
17.4297,-0.47065,0,17.4361,0.5,0,342
17.4316,-0.470311,0,17.438,0.5,0,343
17.4358,-0.469522,0,17.4421,0.5,0,344
17.4365,-0.469384,0,17.4428,0.5,0,345
17.4391,-0.46875,0,17.4454,0.5,0,346
17.3461,-0.466376,0,17.3524,0.5,0,347
17.3486,-0.467346,0,17.3549,0.5,0,348
17.3497,-0.467672,0,17.356,0.5,0,349
17.4414,-0.468165,0,17.4477,0.5,0,350
17.4421,-0.468028,0,17.4484,0.5,0,351
17.4463,-0.467143,0,17.4525,0.5,0,352
17.4483,-0.46671,0,17.4546,0.5,0,353
17.4512,-0.466098,0,17.4574,0.5,0,354
17.4546,-0.465339,0,17.4608,0.5,0,355
17.4561,-0.465009,0,17.4622,0.5,0,356
17.4602,-0.463867,0,17.4664,0.5,0,357
17.4609,-0.463652,0,17.4671,0.5,0,358
17.4612,-0.463603,0,17.4674,0.5,0,359
17.4658,-0.462441,0,17.4719,0.5,0,360
17.4676,-0.462042,0,17.4738,0.5,0,361
17.4707,-0.461384,0,17.4768,0.5,0,362
17.4735,-0.458984,0,17.4796,0.5,0,363
17.4801,-0.45938,0,17.4861,0.5,0,364
17.4805,-0.459328,0,17.4865,0.5,0,365
17.4797,-0.458984,0,17.4858,0.5,0,366
17.4805,-0.459602,0,17.4865,0.5,0,367
