Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.240984,0.970506,3.1549e-05,0.999977,7.14666,-0.480419,0,7.16279,51.3264,0.5,0,12,-480.075,-50.5081,-0.716545,0.332602,0.000129066,0.789975,0,0,1
0.242193,0.970204,5.36572e-05,0.999977,7.14643,-0.480357,0,7.16255,50.8071,0.5,0,12,-471.407,-50.1668,-0.714233,0.336013,0.000107803,0.789324,0,1,1
0.2434,0.969903,3.07828e-05,0.999978,7.1462,-0.480296,0,7.16232,50.2885,0.5,0,12,-462.752,-49.8259,-0.711924,0.339419,0.000129622,0.788696,0,2,1
0.189576,0.981844,3.36359e-05,0.999978,7.15154,-0.481412,0,7.16773,60.866,0.5,0,12,-605.554,-54.6585,-0.746576,0.242596,0.000118956,0.785002,0,3,1
0.215278,0.976175,6.89509e-05,0.999631,7.1491,-0.480916,0,7.16526,56.0967,0.5,0,12,-542.836,-52.5839,-0.731562,0.287599,0.000341349,0.786064,0,4,1
0.128599,0.991676,2.89748e-05,0.99998,7.15643,-0.482053,0,7.17264,64.4174,0.5,0,12,-660.769,-56.6016,-0.769238,0.160539,0.000105288,0.785811,0,5,1
0.159086,0.98676,0.0001724,0.999502,7.15399,-0.481733,0,7.17019,62.6421,0.5,0,12,-633.188,-55.6306,-0.757908,0.201566,0.000364856,0.784254,0,6,1
0.0729661,0.997316,2.0731e-05,0.999981,7.16131,-0.482436,0,7.17755,65.2397,0.5,0,12,-668.174,-57.7051,-0.778049,0.0876972,8.77263e-05,0.782975,0,7,1
0.100782,0.994496,0.000157191,0.99959,7.15887,-0.482245,0,7.1751,64.8288,0.5,0,12,-664.487,-57.1536,-0.773645,0.124115,0.000418015,0.783538,0,8,1
0.0241897,0.99969,1.2049e-05,0.999982,7.1662,-0.482615,0,7.18243,64.7744,0.5,0,12,-638.433,-58.3337,-0.768846,0.0227247,6.79779e-05,0.769182,0,9,1
0.0485781,0.998503,8.80416e-05,0.999684,7.16376,-0.482525,0,7.17999,65.007,0.5,0,12,-653.3,-58.0193,-0.773449,0.0552078,0.000476392,0.775417,0,10,1
-0.0197173,0.999788,4.84241e-06,0.999982,7.17109,-0.48262,0,7.18731,63.5319,0.5,0,12,-572.06,-58.4803,-0.740222,-0.0359805,4.88242e-05,0.741096,0,11,1
0.00223668,0.999739,4.76744e-06,0.999741,7.16864,-0.482617,0,7.18487,64.1529,0.5,0,12,-605.22,-58.4066,-0.754534,-0.00662996,0.000502944,0.754564,0,12,1
-0.0610947,0.998113,-9.40636e-08,0.999981,7.17597,-0.482465,0,7.19217,61.6754,0.5,0,12,-472.291,-57.9697,-0.693707,-0.0890887,3.18069e-05,0.699405,0,13,1
-0.0404054,0.99895,-7.32841e-05,0.999767,7.17353,-0.482543,0,7.18974,62.6033,0.5,0,12,-522.145,-58.2247,-0.716964,-0.0625351,0.000478143,0.719686,0,14,1
-0.101177,0.994848,-2.74368e-06,0.99998,7.18086,-0.482153,0,7.19703,59.2817,0.5,0,12,-351.007,-56.6578,-0.633502,-0.136417,1.56504e-05,0.648023,0,15,1
-0.0811353,0.996481,-0.000131117,0.999778,7.17842,-0.482309,0,7.1946,60.4784,0.5,0,12,-411.638,-57.3136,-0.663602,-0.112752,0.000401908,0.673113,0,16,1
-0.139205,0.990241,-3.60003e-06,0.999978,7.18574,-0.481674,0,7.20187,56.3758,0.5,0,12,-227.678,-54.5811,-0.564848,-0.177668,-5.8303e-07,0.592131,0,17,1
-0.120191,0.992545,-0.00014533,0.999795,7.1833,-0.481914,0,7.19945,57.8288,0.5,0,12,-289.348,-55.6195,-0.599172,-0.157042,0.000296029,0.61941,0,18,1
-0.171837,0.985102,-3.60678e-06,0.999977,7.19063,-0.481011,0,7.2067,52.9804,0.5,0,12,-118.809,-52.0208,-0.49306,-0.212653,-1.55389e-05,0.536963,0,19,1
-0.155521,0.987671,-9.13462e-05,0.999841,7.18819,-0.481343,0,7.20429,54.6782,0.5,0,12,-173.25,-53.3011,-0.528951,-0.19516,0.000178077,0.563806,0,20,1
-0.180978,0.98342,-1.9304e-05,0.999934,7.19265,-0.480653,0,7.20869,51.0653,0.5,0,12,-71.6234,-50.5855,-0.463245,-0.224412,-0.000111611,0.514739,0,21,1
-0.19012,0.981737,-4.09316e-06,0.999977,7.19466,-0.480296,0,7.21067,49.1499,0.5,0,12,-24.4335,-49.1499,-0.433428,-0.236173,-2.84343e-05,0.493596,0,22,1
0.359252,0.93322,4.71738e-06,0.999981,7.132,-0.476818,0,7.14792,26.3008,0.5,0,12,140.964,-19.9242,-0.482825,0.455058,0.000120815,0.663474,0,23,1
0.373802,0.927355,3.87249e-05,0.999858,7.13009,-0.476094,0,7.14597,23.402,0.5,0,12,148.025,-18.1038,-0.452923,0.474648,-4.11096e-05,0.656071,0,24,1
0.388352,0.921491,-2.57976e-07,0.999981,7.12819,-0.475369,0,7.14402,20.5028,0.5,0,12,155.091,-16.2832,-0.42302,0.494241,0.000117805,0.650554,0,25,1
0.288151,0.957569,1.16322e-05,0.999985,7.13688,-0.478145,0,7.15288,33.6665,0.5,0,12,33.2711,-24.7067,-0.564918,0.4213,0.000125933,0.704717,0,26,1
0.323702,0.945395,0.000374825,0.999277,7.13444,-0.477482,0,7.1504,29.9837,0.5,0,12,87.1175,-22.3155,-0.523872,0.438181,0.000288713,0.682967,0,27,1
0.254941,0.966939,2.13375e-05,0.999983,7.14177,-0.479237,0,7.15783,39.8565,0.5,0,12,-203.82,-35.9726,-0.644438,0.392237,0.000129326,0.75442,0,28,1
