Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.48091,-0.159719,0,1.48949,0.5,0
1.48438,-0.159881,0,1.49296,0.5,1
1.48085,-0.15625,0,1.48907,0.5,2
1.51617,-0.241638,0,1.53531,0.5,3
1.52344,-0.253727,0,1.54442,0.5,4
1.51211,-0.234375,0,1.53017,0.5,5
1.53867,-0.277739,0,1.56353,0.5,6
1.54297,-0.280232,0,1.56821,0.5,7
1.53885,-0.273438,0,1.56295,0.5,8
1.55033,-0.285606,0,1.57642,0.5,9
1.5625,-0.291737,0,1.5895,0.5,10
1.53413,-0.262745,0,1.55647,0.5,11
1.52354,-0.253906,0,1.54456,0.5,12
1.52353,-0.253818,0,1.54452,0.5,13
1.50042,-0.21833,0,1.51622,0.5,14
1.50391,-0.222238,0,1.52024,0.5,15
1.4977,-0.214844,0,1.51303,0.5,16
1.49216,-0.207061,0,1.50646,0.5,17
1.49537,-0.195312,0,1.50807,0.5,18
1.50945,-0.228836,0,1.52669,0.5,19
1.49386,-0.185829,0,1.50537,0.5,20
1.48438,-0.185628,0,1.49594,0.5,21
1.46099,-0.121045,0,1.46599,0.5,22
1.46484,-0.131844,0,1.47077,0.5,23
1.46129,-0.117188,0,1.46599,0.5,24
1.46956,-0.151533,0,1.47735,0.5,25
1.47893,-0.15625,0,1.48716,0.5,26
1.46658,-0.136719,0,1.47294,0.5,27
1.46619,-0.135369,0,1.47243,0.5,28
1.45868,-0.103823,0,1.46237,0.5,29
1.44811,-0.0976562,0,1.4514,0.5,30
1.44736,-0.0956073,0,1.45052,0.5,31
1.4571,-0.078125,0,1.45919,0.5,32
1.44527,-0.0195714,0,1.4454,0.5,33
1.44531,-0.0195713,0,1.44545,0.5,34
1.44527,-0.0195312,0,1.4454,0.5,35
1.44481,-0.000499684,0,1.44481,0.5,36
1.44481,0,0,1.44481,0.5,37
1.45611,-0.0673308,0,1.45766,0.5,38
1.44531,-0.0660602,0,1.44682,0.5,39
1.45545,-0.0390625,0,1.45598,0.5,40
1.44531,-0.0511273,0,1.44622,0.5,41
1.45514,-0.0292381,0,1.45543,0.5,42
1.58109,-0.313439,0,1.61186,0.5,43
1.58203,-0.314336,0,1.61296,0.5,44
1.5709,-0.3125,0,1.60168,0.5,45
1.59514,-0.33845,0,1.63065,0.5,46
1.60156,-0.337878,0,1.63682,0.5,47
1.59165,-0.332031,0,1.62592,0.5,48
1.58821,-0.325848,0,1.6213,0.5,49
1.61677,-0.355882,0,1.65548,0.5,50
1.62109,-0.3573,0,1.66,0.5,51
1.61695,-0.351562,0,1.65473,0.5,52
1.63001,-0.362173,0,1.66977,0.5,53
1.64062,-0.370993,0,1.68205,0.5,54
1.61176,-0.341368,0,1.64751,0.5,55
1.69224,-0.397608,0,1.73832,0.5,56
1.69922,-0.402351,0,1.7462,0.5,57
1.68178,-0.390625,0,1.72655,0.5,58
1.71566,-0.413251,0,1.76472,0.5,59
1.71875,-0.413133,0,1.7677,0.5,60
1.71099,-0.410156,0,1.75946,0.5,61
1.70365,-0.405721,0,1.7513,0.5,62
1.65269,-0.378556,0,1.69549,0.5,63
1.66016,-0.383453,0,1.70386,0.5,64
1.64075,-0.371094,0,1.68219,0.5,65
1.6407,-0.371016,0,1.68213,0.5,66
1.66573,-0.385052,0,1.70965,0.5,67
1.67969,-0.389609,0,1.72428,0.5,68
1.68152,-0.38879,0,1.72588,0.5,69
1.68166,-0.390625,0,1.72643,0.5,70
1.67969,-0.38879,0,1.7241,0.5,71
1.73119,-0.417248,0,1.78076,0.5,72
1.73588,-0.429688,0,1.78827,0.5,73
1.74068,-0.429688,0,1.79293,0.5,74
1.75781,-0.41926,0,1.80712,0.5,75
1.77356,-0.433476,0,1.82576,0.5,76
1.77734,-0.433972,0,1.82956,0.5,77
1.77384,-0.429688,0,1.82514,0.5,78
1.79169,-0.434872,0,1.84371,0.5,79
1.79688,-0.436378,0,1.8491,0.5,80
1.7676,-0.419903,0,1.81679,0.5,81
1.80918,-0.436911,0,1.86119,0.5,82
1.81641,-0.439078,0,1.86872,0.5,83
1.82326,-0.442369,0,1.87615,0.5,84
1.83594,-0.444826,0,1.88906,0.5,85
1.83938,-0.445778,0,1.89263,0.5,86
1.85547,-0.44774,0,1.90873,0.5,87
