Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
4.99538,-0.199932,0,4.99938,0.5,0,0
5,-0.208118,0,5.00433,0.5,0,1
4.99326,-0.195312,0,4.99708,0.5,0,2
4.97573,-0.160986,0,4.97834,0.5,0,3
4.98047,-0.170813,0,4.9834,0.5,0,4
4.97444,-0.15625,0,4.97689,0.5,0,5
4.98865,-0.187134,0,4.99216,0.5,0,6
4.98257,-0.175781,0,4.98567,0.5,0,7
4.9821,-0.174151,0,4.98514,0.5,0,8
4.95928,-0.118848,0,4.9607,0.5,0,9
4.96094,-0.123458,0,4.96247,0.5,0,10
4.95892,-0.117188,0,4.96031,0.5,0,11
4.9545,-0.104097,0,4.95559,0.5,0,12
4.95254,-0.0976562,0,4.9535,0.5,0,13
4.95007,-0.0889962,0,4.95087,0.5,0,14
4.94726,-0.078125,0,4.94788,0.5,0,15
4.97008,-0.147104,0,4.97226,0.5,0,16
4.96529,-0.136719,0,4.96718,0.5,0,17
4.96424,-0.133419,0,4.96603,0.5,0,18
4.94121,-0.0392587,0,4.94137,0.5,0,19
4.94141,-0.0409281,0,4.94158,0.5,0,20
4.9412,-0.0390625,0,4.94136,0.5,0,21
4.94697,-0.0725623,0,4.9475,0.5,0,22
4.94376,-0.0585938,0,4.94411,0.5,0,23
4.94316,-0.0568437,0,4.94348,0.5,0,24
4.93982,-0.0211221,0,4.93986,0.5,0,25
4.93952,-0.0195312,0,4.93956,0.5,0,26
4.93877,-0.00263738,0,4.93877,0.5,0,27
4.93898,0,0,4.93898,0.5,0,28
5.07561,-0.315014,0,5.08538,0.5,0,29
5.07812,-0.317283,0,5.08803,0.5,0,30
5.07424,-0.3125,0,5.08386,0.5,0,31
5.14925,-0.397623,0,5.16458,0.5,0,32
5.15625,-0.404583,0,5.1721,0.5,0,33
5.14295,-0.390625,0,5.15776,0.5,0,34
5.11157,-0.35718,0,5.12403,0.5,0,35
5.11719,-0.362789,0,5.13003,0.5,0,36
5.10714,-0.351562,0,5.11923,0.5,0,37
5.0933,-0.336388,0,5.1044,0.5,0,38
5.09766,-0.340647,0,5.10903,0.5,0,39
5.0903,-0.332031,0,5.10111,0.5,0,40
5.08487,-0.325286,0,5.09526,0.5,0,41
5.103,-0.346224,0,5.11473,0.5,0,42
5.13026,-0.377556,0,5.14413,0.5,0,43
5.13672,-0.384004,0,5.15105,0.5,0,44
5.12474,-0.371094,0,5.13815,0.5,0,45
5.12151,-0.366774,0,5.13462,0.5,0,46
5.14033,-0.387015,0,5.15488,0.5,0,47
5.18899,-0.436009,0,5.20728,0.5,0,48
5.19531,-0.441366,0,5.21403,0.5,0,49
5.18237,-0.429688,0,5.20015,0.5,0,50
5.16853,-0.417408,0,5.18536,0.5,0,51
5.17578,-0.423744,0,5.1931,0.5,0,52
5.16168,-0.410156,0,5.17795,0.5,0,53
5.15938,-0.407021,0,5.17541,0.5,0,54
5.17929,-0.426176,0,5.1968,0.5,0,55
5.20991,-0.454148,0,5.22967,0.5,0,56
5.21484,-0.456785,0,5.23481,0.5,0,57
5.20468,-0.449219,0,5.22403,0.5,0,58
5.1998,-0.444733,0,5.21878,0.5,0,59
5.2223,-0.461294,0,5.24263,0.5,0,60
5.23438,-0.465632,0,5.25504,0.5,0,61
5.23714,-0.465982,0,5.25783,0.5,0,62
5.25391,-0.466184,0,5.27455,0.5,0,63
5.25695,-0.465705,0,5.27754,0.5,0,64
5.27344,-0.462236,0,5.29366,0.5,0,65
5.28268,-0.459508,0,5.30263,0.5,0,66
5.29297,-0.456317,0,5.3126,0.5,0,67
5.31245,-0.449272,0,5.33141,0.5,0,68
5.3125,-0.449259,0,5.33146,0.5,0,69
5.01739,-0.236513,0,5.02296,0.5,0,70
5.01953,-0.238916,0,5.02521,0.5,0,71
5.01656,-0.234375,0,5.02204,0.5,0,72
5.03329,-0.259675,0,5.03999,0.5,0,73
5.03906,-0.267213,0,5.04614,0.5,0,74
5.02956,-0.253906,0,5.03596,0.5,0,75
5.02557,-0.247866,0,5.03168,0.5,0,76
5.05007,-0.281957,0,5.05794,0.5,0,77
5.05859,-0.292884,0,5.06707,0.5,0,78
5.04359,-0.273438,0,5.051,0.5,0,79
5.06722,-0.303878,0,5.07632,0.5,0,80
5.05866,-0.292969,0,5.06714,0.5,0,81
5.05864,-0.29292,0,5.06712,0.5,0,82
5.04202,-0.270481,0,5.04927,0.5,0,83
5.00986,-0.224516,0,5.01489,0.5,0,84
5.00364,-0.214844,0,5.00825,0.5,0,85
5.00258,-0.212263,0,5.00708,0.5,0,86
5.31261,-0.449219,0,5.33157,0.5,0,87
5.33203,-0.441124,0,5.35025,0.5,0,88
5.34029,-0.440961,0,5.35846,0.5,0,89
5.35156,-0.438326,0,5.36948,0.5,0,90
5.36134,-0.429688,0,5.37853,0.5,0,91
5.38839,-0.431923,0,5.40567,0.5,0,92
5.39062,-0.431625,0,5.40788,0.5,0,93
5.38715,-0.429688,0,5.40426,0.5,0,94
5.40775,-0.429688,0,5.42479,0.5,0,95
5.41016,-0.429404,0,5.42717,0.5,0,96
5.41045,-0.429394,0,5.42746,0.5,0,97
5.42969,-0.428623,0,5.44658,0.5,0,98
5.46846,-0.429976,0,5.48534,0.5,0,99
5.46875,-0.429988,0,5.48563,0.5,0,100
5.46299,-0.429688,0,5.47987,0.5,0,101
5.43075,-0.428626,0,5.44764,0.5,0,102
5.44922,-0.428981,0,5.46608,0.5,0,103
5.4499,-0.429002,0,5.46676,0.5,0,104
5.48628,-0.43169,0,5.50324,0.5,0,105
5.48828,-0.431919,0,5.50525,0.5,0,106
5.50329,-0.434209,0,5.52039,0.5,0,107
5.50781,-0.434972,0,5.52496,0.5,0,108
5.51972,-0.437306,0,5.53702,0.5,0,109
5.52734,-0.438921,0,5.54474,0.5,0,110
5.53572,-0.440847,0,5.55324,0.5,0,111
5.54688,-0.443477,0,5.56457,0.5,0,112
5.55156,-0.444533,0,5.56933,0.5,0,113
5.56641,-0.447922,0,5.5844,0.5,0,114
5.58395,-0.451205,0,5.60215,0.5,0,115
5.58594,-0.451527,0,5.60416,0.5,0,116
5.57341,-0.449219,0,5.59149,0.5,0,117
5.56755,-0.448078,0,5.58555,0.5,0,118
5.60021,-0.454474,0,5.61862,0.5,0,119
5.60547,-0.455416,0,5.62394,0.5,0,120
5.61732,-0.456904,0,5.63587,0.5,0,121
5.625,-0.457558,0,5.64358,0.5,0,122
5.63603,-0.457725,0,5.65458,0.5,0,123
5.64453,-0.457569,0,5.66305,0.5,0,124
5.65659,-0.456693,0,5.67499,0.5,0,125
5.66406,-0.456006,0,5.68239,0.5,0,126
5.67854,-0.454269,0,5.69668,0.5,0,127
5.68359,-0.453632,0,5.70167,0.5,0,128
5.70107,-0.451276,0,5.7189,0.5,0,129
5.70312,-0.451018,0,5.72093,0.5,0,130
5.71491,-0.449219,0,5.73253,0.5,0,131
5.72266,-0.447966,0,5.74016,0.5,0,132
5.72398,-0.447893,0,5.74148,0.5,0,133
5.74219,-0.446005,0,5.75948,0.5,0,134
5.74676,-0.444642,0,5.76394,0.5,0,135
5.76172,-0.443242,0,5.77874,0.5,0,136
5.76666,-0.444274,0,5.78375,0.5,0,137
5.78125,-0.443604,0,5.79824,0.5,0,138
5.78965,-0.440818,0,5.80641,0.5,0,139
5.80078,-0.4405,0,5.81748,0.5,0,140
5.80685,-0.443146,0,5.82374,0.5,0,141
5.82031,-0.443199,0,5.83716,0.5,0,142
5.82865,-0.44088,0,5.8453,0.5,0,143
5.83984,-0.441237,0,5.85649,0.5,0,144
5.8453,-0.443766,0,5.86212,0.5,0,145
5.85938,-0.444209,0,5.87619,0.5,0,146
5.86564,-0.442954,0,5.88234,0.5,0,147
5.87891,-0.443542,0,5.89561,0.5,0,148
5.88311,-0.445018,0,5.89991,0.5,0,149
5.89844,-0.445567,0,5.91524,0.5,0,150
5.90262,-0.44504,0,5.91937,0.5,0,151
5.91797,-0.445703,0,5.93473,0.5,0,152
5.92081,-0.446378,0,5.93761,0.5,0,153
5.9375,-0.446996,0,5.9543,0.5,0,154
5.93984,-0.446876,0,5.95663,0.5,0,155
5.95703,-0.447582,0,5.97382,0.5,0,156
5.95847,-0.44778,0,5.97527,0.5,0,157
5.97656,-0.448431,0,5.99336,0.5,0,158
5.97734,-0.44844,0,5.99414,0.5,0,159
5.99609,-0.449026,0,6.01288,0.5,0,160
6.01539,-0.449457,0,6.03215,0.5,0,161
6.01562,-0.449461,0,6.03239,0.5,0,162
6.00465,-0.449219,0,6.02143,0.5,0,163
5.99628,-0.449033,0,6.01307,0.5,0,164
6.03454,-0.449831,0,6.05129,0.5,0,165
6.03516,-0.449841,0,6.0519,0.5,0,166
6.05389,-0.450012,0,6.0706,0.5,0,167
6.05469,-0.450016,0,6.07139,0.5,0,168
6.07353,-0.449905,0,6.09017,0.5,0,169
6.07422,-0.449897,0,6.09086,0.5,0,170
6.09359,-0.449375,0,6.11014,0.5,0,171
6.09375,-0.449372,0,6.1103,0.5,0,172
6.09677,-0.449219,0,6.11329,0.5,0,173
6.11328,-0.44837,0,6.1297,0.5,0,174
6.11415,-0.448348,0,6.13057,0.5,0,175
6.13281,-0.447271,0,6.1491,0.5,0,176
6.13528,-0.446755,0,6.15152,0.5,0,177
6.15234,-0.445396,0,6.16844,0.5,0,178
6.15588,-0.445687,0,6.17199,0.5,0,179
6.17188,-0.444489,0,6.18786,0.5,0,180
6.17938,-0.441712,0,6.19515,0.5,0,181
6.19141,-0.440407,0,6.20705,0.5,0,182
6.19814,-0.442486,0,6.21391,0.5,0,183
6.21094,-0.441544,0,6.22661,0.5,0,184
6.2265,-0.433661,0,6.24158,0.5,0,185
6.23047,-0.433194,0,6.24551,0.5,0,186
6.24001,-0.439675,0,6.25548,0.5,0,187
6.25,-0.439133,0,6.26541,0.5,0,188
6.26602,-0.429688,0,6.28074,0.5,0,189
6.28079,-0.437961,0,6.29604,0.5,0,190
6.28906,-0.437754,0,6.30428,0.5,0,191
6.27355,-0.429688,0,6.28825,0.5,0,192
6.3023,-0.429688,0,6.31693,0.5,0,193
6.32029,-0.437522,0,6.33542,0.5,0,194
6.32812,-0.437568,0,6.34324,0.5,0,195
6.31503,-0.429688,0,6.32963,0.5,0,196
6.34193,-0.429688,0,6.35647,0.5,0,197
6.35871,-0.438168,0,6.37379,0.5,0,198
6.36719,-0.438409,0,6.38226,0.5,0,199
6.353,-0.429688,0,6.36752,0.5,0,200
6.38471,-0.429688,0,6.39915,0.5,0,201
6.3965,-0.439436,0,6.41158,0.5,0,202
6.40625,-0.439803,0,6.42133,0.5,0,203
6.38848,-0.429688,0,6.40291,0.5,0,204
6.42252,-0.432947,0,6.4371,0.5,0,205
6.42578,-0.433159,0,6.44036,0.5,0,206
6.43424,-0.440764,0,6.44931,0.5,0,207
6.44531,-0.441068,0,6.46039,0.5,0,208
6.45861,-0.435925,0,6.4733,0.5,0,209
6.46484,-0.436075,0,6.47953,0.5,0,210
6.47265,-0.441415,0,6.48768,0.5,0,211
6.48438,-0.44139,0,6.49938,0.5,0,212
6.498,-0.43559,0,6.51259,0.5,0,213
6.50391,-0.435396,0,6.51846,0.5,0,214
6.51232,-0.440802,0,6.52722,0.5,0,215
6.52344,-0.440411,0,6.53829,0.5,0,216
6.542,-0.430652,0,6.55616,0.5,0,217
6.54297,-0.430564,0,6.55712,0.5,0,218
6.55322,-0.438965,0,6.56791,0.5,0,219
6.5625,-0.438449,0,6.57713,0.5,0,220
6.57601,-0.429688,0,6.59003,0.5,0,221
6.59469,-0.436558,0,6.60913,0.5,0,222
6.60156,-0.436154,0,6.61595,0.5,0,223
6.58939,-0.429688,0,6.60338,0.5,0,224
6.61003,-0.429688,0,6.62399,0.5,0,225
6.63606,-0.434257,0,6.65025,0.5,0,226
6.64062,-0.434021,0,6.65479,0.5,0,227
6.63401,-0.429688,0,6.64791,0.5,0,228
6.64567,-0.429688,0,6.65955,0.5,0,229
6.67702,-0.432355,0,6.691,0.5,0,230
6.67969,-0.432249,0,6.69366,0.5,0,231
6.67636,-0.429688,0,6.69018,0.5,0,232
6.69728,-0.431624,0,6.71118,0.5,0,233
6.69922,-0.431557,0,6.7131,0.5,0,234
6.71746,-0.430973,0,6.73128,0.5,0,235
6.71875,-0.430934,0,6.73256,0.5,0,236
6.73757,-0.430403,0,6.7513,0.5,0,237
6.73828,-0.430383,0,6.75201,0.5,0,238
6.75778,-0.429722,0,6.77143,0.5,0,239
6.75781,-0.429721,0,6.77146,0.5,0,240
6.75862,-0.429688,0,6.77226,0.5,0,241
6.77734,-0.428914,0,6.7909,0.5,0,242
6.77815,-0.428883,0,6.7917,0.5,0,243
6.79688,-0.428112,0,6.81034,0.5,0,244
6.79853,-0.428035,0,6.81199,0.5,0,245
6.79884,-0.429688,0,6.8124,0.5,0,246
6.83187,-0.429688,0,6.84536,0.5,0,247
6.83594,-0.425991,0,6.8492,0.5,0,248
6.83988,-0.425746,0,6.85312,0.5,0,249
6.84151,-0.429688,0,6.85499,0.5,0,250
6.86705,-0.429688,0,6.88048,0.5,0,251
6.875,-0.423372,0,6.88802,0.5,0,252
6.88185,-0.422837,0,6.89483,0.5,0,253
6.88792,-0.429688,0,6.90131,0.5,0,254
6.89941,-0.429688,0,6.91278,0.5,0,255
6.91406,-0.420056,0,6.92681,0.5,0,256
6.92472,-0.41903,0,6.93739,0.5,0,257
6.93359,-0.42299,0,6.94648,0.5,0,258
6.94161,-0.421668,0,6.95441,0.5,0,259
6.95312,-0.416135,0,6.96557,0.5,0,260
6.96837,-0.414444,0,6.98068,0.5,0,261
6.97266,-0.414657,0,6.98497,0.5,0,262
6.99032,-0.412025,0,7.00245,0.5,0,263
6.99219,-0.411525,0,7.00429,0.5,0,264
7.00072,-0.410156,0,7.01272,0.5,0,265
7.01172,-0.408293,0,7.0236,0.5,0,266
7.01372,-0.408157,0,7.02558,0.5,0,267
7.03125,-0.405704,0,7.04294,0.5,0,268
7.03955,-0.401858,0,7.05101,0.5,0,269
7.05078,-0.399477,0,7.06209,0.5,0,270
7.0593,-0.401635,0,7.07072,0.5,0,271
7.07031,-0.399961,0,7.08162,0.5,0,272
7.08242,-0.398053,0,7.09359,0.5,0,273
7.08984,-0.396863,0,7.10094,0.5,0,274
7.10585,-0.394155,0,7.11677,0.5,0,275
7.10938,-0.393579,0,7.12026,0.5,0,276
7.12264,-0.390625,0,7.13334,0.5,0,277
7.12891,-0.389182,0,7.13952,0.5,0,278
7.13064,-0.38889,0,7.14124,0.5,0,279
7.14844,-0.385126,0,7.1588,0.5,0,280
7.15536,-0.383703,0,7.16564,0.5,0,281
7.16797,-0.381051,0,7.17809,0.5,0,282
7.18023,-0.378364,0,7.19019,0.5,0,283
7.1875,-0.376755,0,7.19737,0.5,0,284
7.20636,-0.371764,0,7.21594,0.5,0,285
7.20703,-0.37164,0,7.21661,0.5,0,286
7.20874,-0.371094,0,7.21829,0.5,0,287
7.22656,-0.365982,0,7.23582,0.5,0,288
7.2423,-0.355359,0,7.25101,0.5,0,289
7.24609,-0.353694,0,7.25472,0.5,0,290
7.25999,-0.357194,0,7.26878,0.5,0,291
7.26562,-0.355696,0,7.27433,0.5,0,292
7.27643,-0.351562,0,7.28492,0.5,0,293
7.28516,-0.348169,0,7.29347,0.5,0,294
7.28994,-0.346777,0,7.29819,0.5,0,295
7.30469,-0.341865,0,7.31268,0.5,0,296
7.32001,-0.336242,0,7.32773,0.5,0,297
7.32422,-0.334931,0,7.33187,0.5,0,298
7.32994,-0.332031,0,7.33746,0.5,0,299
7.34375,-0.325625,0,7.35097,0.5,0,300
7.35452,-0.321263,0,7.36153,0.5,0,301
7.36328,-0.317856,0,7.37014,0.5,0,302
7.37289,-0.3125,0,7.37951,0.5,0,303
7.38281,-0.306996,0,7.38919,0.5,0,304
7.3933,-0.302009,0,7.39947,0.5,0,305
7.40234,-0.297843,0,7.40833,0.5,0,306
7.40942,-0.292969,0,7.41521,0.5,0,307
7.42188,-0.285044,0,7.42735,0.5,0,308
7.43975,-0.273438,0,7.44477,0.5,0,309
7.44141,-0.272094,0,7.44638,0.5,0,310
7.44524,-0.269604,0,7.45012,0.5,0,311
7.46094,-0.25882,0,7.46543,0.5,0,312
7.46644,-0.253906,0,7.47076,0.5,0,313
7.48047,-0.241868,0,7.48438,0.5,0,314
7.48817,-0.234375,0,7.49184,0.5,0,315
7.5,-0.222094,0,7.50329,0.5,0,316
7.50678,-0.214844,0,7.50986,0.5,0,317
7.51953,-0.19846,0,7.52215,0.5,0,318
7.52227,-0.195312,0,7.5248,0.5,0,319
7.52585,-0.188991,0,7.52823,0.5,0,320
7.53394,-0.175781,0,7.53599,0.5,0,321
7.53906,-0.167914,0,7.54093,0.5,0,322
7.54629,-0.15625,0,7.54791,0.5,0,323
7.5517,-0.14361,0,7.55307,0.5,0,324
7.55442,-0.136719,0,7.55566,0.5,0,325
7.55859,-0.127478,0,7.55967,0.5,0,326
7.5632,-0.117188,0,7.56411,0.5,0,327
7.57582,-0.0999621,0,7.57648,0.5,0,328
7.57704,-0.0976562,0,7.57767,0.5,0,329
7.57237,-0.0838845,0,7.57283,0.5,0,330
7.57368,-0.078125,0,7.57408,0.5,0,331
7.57812,-0.0738366,0,7.57848,0.5,0,332
7.57812,-0.0514888,0,7.5783,0.5,0,333
7.58212,-0.0390625,0,7.58222,0.5,0,334
7.58033,-0.0390625,0,7.58043,0.5,0,335
7.5805,-0.0366897,0,7.58059,0.5,0,336
7.58193,-0.0195312,0,7.58195,0.5,0,337
7.58236,-0.015297,0,7.58237,0.5,0,338
7.58094,0,0,7.58094,0.5,0,339
4.93921,0.0173399,0,4.93925,0.5,0,340
4.93907,0.0195312,0,4.93911,0.5,0,341
4.94078,0.0384364,0,4.94093,0.5,0,342
4.94088,0.0390625,0,4.94103,0.5,0,343
4.94141,0.0421899,0,4.94159,0.5,0,344
4.94429,0.0585938,0,4.94463,0.5,0,345
4.94458,0.0617677,0,4.94497,0.5,0,346
4.94769,0.078125,0,4.94831,0.5,0,347
4.96094,0.0969948,0,4.96189,0.5,0,348
4.95668,0.112934,0,4.95797,0.5,0,349
4.96094,0.100223,0,4.96195,0.5,0,350
4.95779,0.117188,0,4.95917,0.5,0,351
4.96094,0.124474,0,4.9625,0.5,0,352
4.96598,0.136719,0,4.96786,0.5,0,353
4.96876,0.144543,0,4.97086,0.5,0,354
4.97317,0.15625,0,4.97562,0.5,0,355
4.98047,0.170709,0,4.98339,0.5,0,356
4.98332,0.175781,0,4.98642,0.5,0,357
4.98536,0.180669,0,4.98863,0.5,0,358
4.9924,0.195312,0,4.99622,0.5,0,359
5,0.207668,0,5.00431,0.5,0,360
5.00473,0.214844,0,5.00934,0.5,0,361
5.01065,0.225496,0,5.01572,0.5,0,362
5.01545,0.234375,0,5.02092,0.5,0,363
5.01953,0.239546,0,5.02524,0.5,0,364
5.02952,0.253906,0,5.03592,0.5,0,365
5.03906,0.266436,0,5.0461,0.5,0,366
5.04483,0.273438,0,5.05224,0.5,0,367
5.05859,0.292252,0,5.06703,0.5,0,368
5.05923,0.292969,0,5.06771,0.5,0,369
5.06089,0.295269,0,5.0695,0.5,0,370
5.07391,0.3125,0,5.08353,0.5,0,371
5.07812,0.317113,0,5.08802,0.5,0,372
5.09076,0.332031,0,5.10157,0.5,0,373
5.09766,0.339483,0,5.10895,0.5,0,374
5.10867,0.351562,0,5.12076,0.5,0,375
5.11719,0.360575,0,5.12988,0.5,0,376
5.12718,0.371094,0,5.14059,0.5,0,377
5.13672,0.380998,0,5.15083,0.5,0,378
5.14607,0.390625,0,5.16087,0.5,0,379
5.15625,0.40102,0,5.17182,0.5,0,380
5.16543,0.410156,0,5.18169,0.5,0,381
5.17578,0.420083,0,5.1928,0.5,0,382
5.18634,0.429688,0,5.20411,0.5,0,383
5.19531,0.437929,0,5.21374,0.5,0,384
5.209,0.449219,0,5.22833,0.5,0,385
5.21484,0.454371,0,5.2346,0.5,0,386
5.23438,0.463245,0,5.25483,0.5,0,387
5.22398,0.45835,0,5.24404,0.5,0,388
5.25391,0.466005,0,5.27453,0.5,0,389
5.251,0.465844,0,5.27162,0.5,0,390
5.27344,0.462686,0,5.2937,0.5,0,391
5.26857,0.46388,0,5.28895,0.5,0,392
5.29297,0.4552,0,5.31251,0.5,0,393
5.28332,0.459102,0,5.30323,0.5,0,394
5.3125,0.448881,0,5.33143,0.5,0,395
5.3122,0.448923,0,5.33114,0.5,0,396
5.31144,0.449219,0,5.3304,0.5,0,397
