Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
10.4643,-0.336451,0,10.4697,0.5,0
10.4688,-0.336179,0,10.4741,0.5,1
10.4633,-0.332031,0,10.4686,0.5,2
10.4603,-0.320901,0,10.4653,0.5,3
10.4585,-0.3125,0,10.4631,0.5,4
10.5858,-0.468843,0,10.5962,0.5,5
10.5859,-0.468854,0,10.5963,0.5,6
10.5858,-0.46875,0,10.5961,0.5,7
10.6021,-0.47213,0,10.6126,0.5,8
10.6055,-0.472355,0,10.616,0.5,9
10.6219,-0.471897,0,10.6323,0.5,10
10.625,-0.471809,0,10.6355,0.5,11
10.5025,-0.395957,0,10.5099,0.5,12
10.5078,-0.39961,0,10.5154,0.5,13
10.5004,-0.390625,0,10.5076,0.5,14
10.5398,-0.436739,0,10.5489,0.5,15
10.5469,-0.440678,0,10.5561,0.5,16
10.5352,-0.429688,0,10.544,0.5,17
10.5204,-0.417059,0,10.5287,0.5,18
10.5273,-0.421661,0,10.5358,0.5,19
10.5168,-0.410156,0,10.5247,0.5,20
10.5138,-0.404134,0,10.5216,0.5,21
10.5325,-0.424524,0,10.5411,0.5,22
10.4868,-0.372546,0,10.4934,0.5,23
10.4883,-0.373476,0,10.4949,0.5,24
10.4859,-0.371094,0,10.4925,0.5,25
10.4777,-0.362101,0,10.484,0.5,26
10.4804,-0.351562,0,10.4863,0.5,27
10.4961,-0.382813,0,10.5031,0.5,28
10.4787,-0.341634,0,10.4842,0.5,29
10.5607,-0.454968,0,10.5705,0.5,30
10.5664,-0.457416,0,10.5763,0.5,31
10.5567,-0.449219,0,10.5662,0.5,32
10.5526,-0.44346,0,10.5619,0.5,33
10.5738,-0.461332,0,10.5839,0.5,34
10.4256,-0.238509,0,10.4283,0.5,35
10.4297,-0.250382,0,10.4327,0.5,36
10.4247,-0.234375,0,10.4274,0.5,37
10.4459,-0.296244,0,10.4501,0.5,38
10.4492,-0.298799,0,10.4535,0.5,39
10.4439,-0.292969,0,10.448,0.5,40
10.439,-0.283654,0,10.4429,0.5,41
10.442,-0.273438,0,10.4455,0.5,42
10.4556,-0.306099,0,10.4601,0.5,43
10.44,-0.263091,0,10.4433,0.5,44
10.4308,-0.253906,0,10.4339,0.5,45
10.4307,-0.252873,0,10.4338,0.5,46
10.4216,-0.222942,0,10.424,0.5,47
10.4194,-0.214844,0,10.4216,0.5,48
10.4176,-0.207447,0,10.4196,0.5,49
10.4146,-0.195312,0,10.4164,0.5,50
10.4071,-0.159343,0,10.4083,0.5,51
10.4102,-0.174689,0,10.4116,0.5,52
10.4073,-0.15625,0,10.4085,0.5,53
10.4139,-0.191556,0,10.4157,0.5,54
10.4104,-0.175781,0,10.4118,0.5,55
10.4104,-0.175585,0,10.4118,0.5,56
10.4054,-0.141501,0,10.4063,0.5,57
10.4008,-0.136719,0,10.4017,0.5,58
10.3992,-0.128173,0,10.4,0.5,59
10.4041,-0.117188,0,10.4047,0.5,60
10.4031,-0.104679,0,10.4037,0.5,61
10.3906,-0.0997953,0,10.3911,0.5,62
10.3986,-0.078125,0,10.3989,0.5,63
10.3906,-0.0932392,0,10.391,0.5,64
10.403,-0.0657959,0,10.4032,0.5,65
10.4022,-0.078125,0,10.4025,0.5,66
10.403,-0.0390625,0,10.403,0.5,67
10.3972,-0.0325214,0,10.3972,0.5,68
10.3972,-0.0390625,0,10.3973,0.5,69
10.3906,-0.0315378,0,10.3907,0.5,70
10.4012,0,0,10.4012,0.5,71
10.3906,-0.0116849,0,10.3906,0.5,72
10.6339,-0.46875,0,10.6443,0.5,73
10.6445,-0.465114,0,10.6547,0.5,74
10.6497,-0.463551,0,10.6598,0.5,75
10.6641,-0.459207,0,10.6739,0.5,76
10.678,-0.454785,0,10.6877,0.5,77
10.6836,-0.453049,0,10.6932,0.5,78
10.6968,-0.449219,0,10.7062,0.5,79
10.7031,-0.447078,0,10.7125,0.5,80
10.7076,-0.444767,0,10.7168,0.5,81
10.7227,-0.439088,0,10.7316,0.5,82
10.7373,-0.429688,0,10.7459,0.5,83
10.7374,-0.429688,0,10.746,0.5,84
10.7422,-0.42594,0,10.7506,0.5,85
10.7459,-0.425926,0,10.7544,0.5,86
10.7812,-0.413156,0,10.7892,0.5,87
10.7978,-0.413142,0,10.8057,0.5,88
10.8203,-0.41908,0,10.8284,0.5,89
10.8259,-0.424131,0,10.8342,0.5,90
10.8398,-0.428363,0,10.8483,0.5,91
