Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
15.6243,-0.156969,0,15.6251,0.5,0,0
15.625,-0.159724,0,15.6258,0.5,0,1
15.6241,-0.15625,0,15.6249,0.5,0,2
15.6231,-0.153226,0,15.6239,0.5,0,3
15.6226,-0.151367,0,15.6233,0.5,0,4
15.622,-0.149513,0,15.6227,0.5,0,5
15.621,-0.146484,0,15.6217,0.5,0,6
15.6199,-0.141812,0,15.6206,0.5,0,7
15.6201,-0.142624,0,15.6208,0.5,0,8
15.6199,-0.141602,0,15.6205,0.5,0,9
15.6189,-0.137933,0,15.6195,0.5,0,10
15.6186,-0.136719,0,15.6192,0.5,0,11
15.6209,-0.145744,0,15.6215,0.5,0,12
15.615,-0.122349,0,15.6154,0.5,0,13
15.6152,-0.123668,0,15.6157,0.5,0,14
15.6149,-0.12207,0,15.6154,0.5,0,15
15.6141,-0.118369,0,15.6145,0.5,0,16
15.6138,-0.117188,0,15.6142,0.5,0,17
15.6178,-0.134108,0,15.6184,0.5,0,18
15.6172,-0.131836,0,15.6178,0.5,0,19
15.6168,-0.130285,0,15.6173,0.5,0,20
15.6159,-0.126953,0,15.6164,0.5,0,21
15.6158,-0.1264,0,15.6163,0.5,0,22
15.6131,-0.114417,0,15.6135,0.5,0,23
15.6126,-0.112305,0,15.613,0.5,0,24
15.6122,-0.110456,0,15.6126,0.5,0,25
15.6115,-0.107422,0,15.6119,0.5,0,26
15.6099,-0.0981468,0,15.6102,0.5,0,27
15.6104,-0.101256,0,15.6107,0.5,0,28
15.6098,-0.0976562,0,15.6101,0.5,0,29
15.6113,-0.106453,0,15.6117,0.5,0,30
15.6106,-0.102539,0,15.6109,0.5,0,31
15.6105,-0.102357,0,15.6109,0.5,0,32
15.6091,-0.0940272,0,15.6094,0.5,0,33
15.6089,-0.0927734,0,15.6091,0.5,0,34
15.6083,-0.0899027,0,15.6086,0.5,0,35
15.608,-0.0878906,0,15.6082,0.5,0,36
15.6076,-0.0857481,0,15.6078,0.5,0,37
15.6072,-0.0830078,0,15.6074,0.5,0,38
15.6069,-0.0815586,0,15.6071,0.5,0,39
15.6064,-0.078125,0,15.6066,0.5,0,40
15.6052,-0.0686169,0,15.6054,0.5,0,41
15.6055,-0.071068,0,15.6056,0.5,0,42
15.6052,-0.0683594,0,15.6053,0.5,0,43
15.6047,-0.0642647,0,15.6048,0.5,0,44
15.6046,-0.0634766,0,15.6047,0.5,0,45
15.6042,-0.0598954,0,15.6043,0.5,0,46
15.604,-0.0585938,0,15.6041,0.5,0,47
15.6037,-0.055488,0,15.6038,0.5,0,48
15.6035,-0.0537109,0,15.6036,0.5,0,49
15.6033,-0.0510408,0,15.6033,0.5,0,50
15.6031,-0.0488281,0,15.6031,0.5,0,51
15.6029,-0.0465561,0,15.6029,0.5,0,52
15.6026,-0.0439453,0,15.6027,0.5,0,53
15.6025,-0.0420352,0,15.6026,0.5,0,54
15.6023,-0.0390625,0,15.6023,0.5,0,55
15.6063,-0.0773295,0,15.6065,0.5,0,56
15.6057,-0.0732422,0,15.6059,0.5,0,57
15.6057,-0.0730345,0,15.6058,0.5,0,58
15.6022,-0.0374774,0,15.6022,0.5,0,59
15.602,-0.0341797,0,15.602,0.5,0,60
15.6019,-0.0328813,0,15.6019,0.5,0,61
15.6017,-0.0292969,0,15.6017,0.5,0,62
15.6016,-0.028244,0,15.6017,0.5,0,63
15.6015,-0.0244141,0,15.6015,0.5,0,64
15.6014,-0.0235632,0,15.6015,0.5,0,65
15.6013,-0.0195312,0,15.6013,0.5,0,66
15.6013,-0.0188379,0,15.6013,0.5,0,67
15.6012,-0.0146484,0,15.6012,0.5,0,68
15.6012,-0.014065,0,15.6012,0.5,0,69
15.6011,-0.00976562,0,15.6011,0.5,0,70
15.6011,-0.00924274,0,15.6011,0.5,0,71
15.6011,-0.00488281,0,15.6011,0.5,0,72
15.6011,-0.00437185,0,15.6011,0.5,0,73
15.6011,0,0,15.6011,0.5,0,74
15.7021,-0.342825,0,15.7058,0.5,0,75
15.7031,-0.34469,0,15.7069,0.5,0,76
15.7016,-0.341797,0,15.7054,0.5,0,77
15.6969,-0.333353,0,15.7005,0.5,0,78
15.6982,-0.335888,0,15.7018,0.5,0,79
15.6963,-0.332031,0,15.6998,0.5,0,80
15.7004,-0.339661,0,15.7041,0.5,0,81
15.6988,-0.336914,0,15.7024,0.5,0,82
15.6986,-0.336516,0,15.7022,0.5,0,83
15.6919,-0.323774,0,15.6952,0.5,0,84
15.6934,-0.326722,0,15.6968,0.5,0,85
15.6911,-0.322266,0,15.6944,0.5,0,86
15.6869,-0.314083,0,15.69,0.5,0,87
15.6885,-0.317237,0,15.6917,0.5,0,88
15.6861,-0.3125,0,15.6892,0.5,0,89
15.6902,-0.320543,0,15.6935,0.5,0,90
15.6885,-0.317383,0,15.6918,0.5,0,91
15.6885,-0.317323,0,15.6917,0.5,0,92
15.6952,-0.330153,0,15.6987,0.5,0,93
15.6936,-0.327148,0,15.697,0.5,0,94
15.6935,-0.326975,0,15.6969,0.5,0,95
15.7315,-0.391554,0,15.7364,0.5,0,96
15.7324,-0.392834,0,15.7373,0.5,0,97
15.731,-0.390625,0,15.7359,0.5,0,98
15.7413,-0.406142,0,15.7466,0.5,0,99
15.7422,-0.407212,0,15.7475,0.5,0,100
15.7409,-0.405273,0,15.7461,0.5,0,101
15.7394,-0.403177,0,15.7446,0.5,0,102
15.7374,-0.400391,0,15.7425,0.5,0,103
15.7354,-0.397411,0,15.7404,0.5,0,104
15.7373,-0.400182,0,15.7424,0.5,0,105
15.7341,-0.395508,0,15.7391,0.5,0,106
15.7335,-0.394411,0,15.7385,0.5,0,107
15.7374,-0.400283,0,15.7425,0.5,0,108
15.76,-0.431388,0,15.7659,0.5,0,109
15.7617,-0.433417,0,15.7677,0.5,0,110
15.7587,-0.429688,0,15.7646,0.5,0,111
15.7759,-0.449732,0,15.7823,0.5,0,112
15.7764,-0.450085,0,15.7828,0.5,0,113
15.7755,-0.449219,0,15.7819,0.5,0,114
15.7807,-0.454634,0,15.7873,0.5,0,115
15.7812,-0.454964,0,15.7878,0.5,0,116
15.7804,-0.454102,0,15.7869,0.5,0,117
15.7784,-0.452114,0,15.7848,0.5,0,118
15.7712,-0.444627,0,15.7775,0.5,0,119
15.7715,-0.444823,0,15.7778,0.5,0,120
15.771,-0.444336,0,15.7773,0.5,0,121
15.7689,-0.441993,0,15.7751,0.5,0,122
15.7668,-0.439453,0,15.7729,0.5,0,123
15.7644,-0.436735,0,15.7705,0.5,0,124
15.7666,-0.439269,0,15.7727,0.5,0,125
15.7627,-0.43457,0,15.7686,0.5,0,126
15.7623,-0.433965,0,15.7683,0.5,0,127
15.7667,-0.439343,0,15.7728,0.5,0,128
15.7736,-0.447125,0,15.7799,0.5,0,129
15.7515,-0.420344,0,15.7571,0.5,0,130
15.752,-0.420744,0,15.7576,0.5,0,131
15.7513,-0.419922,0,15.7569,0.5,0,132
15.7454,-0.411861,0,15.7508,0.5,0,133
15.7471,-0.414201,0,15.7525,0.5,0,134
15.7442,-0.410156,0,15.7495,0.5,0,135
15.7495,-0.417488,0,15.755,0.5,0,136
15.7477,-0.415039,0,15.7531,0.5,0,137
15.7475,-0.41462,0,15.7529,0.5,0,138
15.7557,-0.425942,0,15.7615,0.5,0,139
15.7568,-0.427231,0,15.7626,0.5,0,140
15.755,-0.424805,0,15.7607,0.5,0,141
15.7537,-0.42306,0,15.7594,0.5,0,142
15.758,-0.42854,0,15.7638,0.5,0,143
15.7434,-0.408908,0,15.7487,0.5,0,144
15.722,-0.376643,0,15.7265,0.5,0,145
15.7227,-0.377563,0,15.7272,0.5,0,146
15.7217,-0.375977,0,15.7262,0.5,0,147
15.7202,-0.373598,0,15.7246,0.5,0,148
15.7185,-0.371094,0,15.7229,0.5,0,149
15.7128,-0.361436,0,15.7169,0.5,0,150
15.7129,-0.361557,0,15.717,0.5,0,151
15.7128,-0.361328,0,15.7169,0.5,0,152
15.7074,-0.35219,0,15.7113,0.5,0,153
15.708,-0.353169,0,15.712,0.5,0,154
15.7071,-0.351562,0,15.7111,0.5,0,155
