Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
9.60734,-0.177821,0,9.60898,0.5,0,0
9.60938,-0.184615,0,9.61115,0.5,0,1
9.60698,-0.175781,0,9.60859,0.5,0,2
9.6011,-0.154763,0,9.60234,0.5,0,3
9.59896,-0.146484,0,9.60008,0.5,0,4
9.5952,-0.131361,0,9.5961,0.5,0,5
9.59194,-0.117188,0,9.59265,0.5,0,6
9.58995,-0.107316,0,9.59055,0.5,0,7
9.58636,-0.0878906,0,9.58677,0.5,0,8
9.58552,-0.0824501,0,9.58587,0.5,0,9
9.58221,-0.0585938,0,9.58239,0.5,0,10
9.57983,-0.0295482,0,9.57987,0.5,0,11
9.58008,-0.0325132,0,9.58013,0.5,0,12
9.57982,-0.0292969,0,9.57986,0.5,0,13
9.57826,-0.00181401,0,9.57826,0.5,0,14
9.57819,0,0,9.57819,0.5,0,15
9.58203,-0.0566381,0,9.5822,0.5,0,16
9.72432,-0.383102,0,9.73186,0.5,0,17
9.72656,-0.384812,0,9.73417,0.5,0,18
9.72326,-0.380859,0,9.73071,0.5,0,19
9.71151,-0.366615,0,9.71843,0.5,0,20
9.69946,-0.351562,0,9.70583,0.5,0,21
9.66139,-0.299548,0,9.66603,0.5,0,22
9.66797,-0.30859,0,9.67289,0.5,0,23
9.65808,-0.292969,0,9.66252,0.5,0,24
9.63094,-0.242107,0,9.63398,0.5,0,25
9.63867,-0.259077,0,9.64215,0.5,0,26
9.62787,-0.234375,0,9.63072,0.5,0,27
9.65059,-0.281051,0,9.65468,0.5,0,28
9.64075,-0.263672,0,9.64436,0.5,0,29
9.6403,-0.26204,0,9.64386,0.5,0,30
9.6856,-0.333927,0,9.69136,0.5,0,31
9.69727,-0.348761,0,9.70354,0.5,0,32
9.67707,-0.322266,0,9.68244,0.5,0,33
9.67375,-0.316482,0,9.67893,0.5,0,34
9.6988,-0.350028,0,9.70511,0.5,0,35
9.75175,-0.414262,0,9.76055,0.5,0,36
9.75586,-0.418152,0,9.76482,0.5,0,37
9.74914,-0.410156,0,9.75777,0.5,0,38
9.78247,-0.442139,0,9.79246,0.5,0,39
9.78516,-0.442393,0,9.79515,0.5,0,40
9.78002,-0.439453,0,9.78989,0.5,0,41
9.76577,-0.429546,0,9.77521,0.5,0,42
9.73825,-0.398472,0,9.7464,0.5,0,43
9.80893,-0.44498,0,9.81901,0.5,0,44
9.81445,-0.444613,0,9.82452,0.5,0,45
9.83896,-0.439453,0,9.84877,0.5,0,46
9.84375,-0.438384,0,9.85351,0.5,0,47
9.62205,-0.221705,0,9.6246,0.5,0,48
9.61505,-0.205078,0,9.61724,0.5,0,49
9.61382,-0.200634,0,9.61591,0.5,0,50
9.84508,-0.438122,0,9.85482,0.5,0,51
9.87305,-0.430358,0,9.88242,0.5,0,52
9.88529,-0.427206,0,9.89452,0.5,0,53
