Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
3.1033,-0.158423,0,3.10734,0.5,0
3.10547,-0.160123,0,3.10959,0.5,1
3.1028,-0.15625,0,3.10674,0.5,2
3.11846,-0.18232,0,3.12379,0.5,3
3.125,-0.187503,0,3.13062,0.5,4
3.11562,-0.175781,0,3.12058,0.5,5
3.11241,-0.168839,0,3.11699,0.5,6
3.08507,-0.118057,0,3.08733,0.5,7
3.08594,-0.119425,0,3.08825,0.5,8
3.08496,-0.117188,0,3.08719,0.5,9
3.08037,-0.103222,0,3.0821,0.5,10
3.07904,-0.0976562,0,3.08059,0.5,11
3.07666,-0.0874065,0,3.0779,0.5,12
3.0745,-0.078125,0,3.07549,0.5,13
3.09671,-0.145475,0,3.10013,0.5,14
3.09297,-0.136719,0,3.09599,0.5,15
3.09137,-0.131289,0,3.09415,0.5,16
3.07332,-0.0712127,0,3.07414,0.5,17
3.07117,-0.0585938,0,3.07173,0.5,18
3.07089,-0.0541083,0,3.07137,0.5,19
3.0692,-0.0390625,0,3.06945,0.5,20
3.06916,-0.0363066,0,3.06938,0.5,21
3.06821,-0.0195312,0,3.06828,0.5,22
3.06816,-0.0177754,0,3.06821,0.5,23
3.0679,0,0,3.0679,0.5,24
3.27672,-0.395153,0,3.30046,0.5,25
3.28125,-0.40145,0,3.30572,0.5,26
3.27547,-0.390625,0,3.29868,0.5,27
3.23547,-0.319218,0,3.25118,0.5,28
3.24219,-0.328081,0,3.25874,0.5,29
3.23274,-0.3125,0,3.24781,0.5,30
3.25658,-0.356698,0,3.27606,0.5,31
3.26172,-0.363518,0,3.28191,0.5,32
3.25696,-0.351562,0,3.27588,0.5,33
3.27106,-0.381284,0,3.29321,0.5,34
3.26591,-0.371094,0,3.28692,0.5,35
3.26509,-0.367723,0,3.28573,0.5,36
3.25312,-0.340635,0,3.2709,0.5,37
3.24478,-0.332031,0,3.26173,0.5,38
3.24431,-0.329913,0,3.26104,0.5,39
3.30006,-0.44994,0,3.33059,0.5,40
3.30078,-0.450358,0,3.33136,0.5,41
3.29999,-0.449219,0,3.33043,0.5,42
3.29514,-0.435331,0,3.32377,0.5,43
3.29443,-0.429688,0,3.32233,0.5,44
3.30957,-0.459963,0,3.34138,0.5,45
3.32031,-0.462171,0,3.35232,0.5,46
3.29068,-0.420258,0,3.31741,0.5,47
3.28599,-0.410156,0,3.31149,0.5,48
3.285,-0.406402,0,3.31005,0.5,49
3.32826,-0.460807,0,3.36,0.5,50
3.33984,-0.458808,0,3.37121,0.5,51
3.35469,-0.453899,0,3.38526,0.5,52
3.35938,-0.452408,0,3.3897,0.5,53
3.36969,-0.449219,0,3.3995,0.5,54
3.37891,-0.44637,0,3.40826,0.5,55
3.3826,-0.445526,0,3.41181,0.5,56
3.39844,-0.441699,0,3.42702,0.5,57
3.40722,-0.440432,0,3.43557,0.5,58
3.41797,-0.438883,0,3.44603,0.5,59
3.42858,-0.438609,0,3.45652,0.5,60
3.4375,-0.438379,0,3.46534,0.5,61
3.17527,-0.2427,0,3.18453,0.5,62
3.18359,-0.249284,0,3.19334,0.5,63
3.16874,-0.234375,0,3.17739,0.5,64
3.19789,-0.259138,0,3.20838,0.5,65
3.20312,-0.26183,0,3.21381,0.5,66
3.19121,-0.253906,0,3.2013,0.5,67
3.18685,-0.250648,0,3.19669,0.5,68
3.13652,-0.203326,0,3.1431,0.5,69
3.14453,-0.209708,0,3.15152,0.5,70
3.13163,-0.195312,0,3.13771,0.5,71
3.15563,-0.223278,0,3.16352,0.5,72
3.16406,-0.229749,0,3.17239,0.5,73
3.14943,-0.214844,0,3.15675,0.5,74
3.14801,-0.211367,0,3.1551,0.5,75
3.1297,-0.190616,0,3.1355,0.5,76
3.16732,-0.231117,0,3.17574,0.5,77
3.22012,-0.295504,0,3.23365,0.5,78
3.22266,-0.297401,0,3.23635,0.5,79
3.21939,-0.292969,0,3.23269,0.5,80
3.21481,-0.281286,0,3.22709,0.5,81
3.21236,-0.273438,0,3.22398,0.5,82
3.22975,-0.30541,0,3.24415,0.5,83
3.21523,-0.261335,0,3.22583,0.5,84
3.2152,-0.273438,0,3.22681,0.5,85
3.20312,-0.261154,0,3.21375,0.5,86
3.44752,-0.439199,0,3.47538,0.5,87
3.45703,-0.439978,0,3.48492,0.5,88
3.46475,-0.441502,0,3.49276,0.5,89
3.47656,-0.44387,0,3.50478,0.5,90
3.49499,-0.450324,0,3.52388,0.5,91
3.49609,-0.450477,0,3.525,0.5,92
3.49258,-0.449219,0,3.52135,0.5,93
3.481,-0.44478,0,3.5093,0.5,94
3.51015,-0.454692,0,3.53948,0.5,95
3.51562,-0.455827,0,3.54505,0.5,96
3.52808,-0.45629,0,3.55747,0.5,97
3.53516,-0.456553,0,3.56452,0.5,98
3.54928,-0.454626,0,3.57828,0.5,99
3.55469,-0.453889,0,3.58355,0.5,100
3.57274,-0.450699,0,3.60105,0.5,101
3.57422,-0.450456,0,3.60249,0.5,102
3.5826,-0.449219,0,3.61065,0.5,103
3.59375,-0.447435,0,3.6215,0.5,104
3.59594,-0.447025,0,3.62362,0.5,105
3.61328,-0.445171,0,3.6406,0.5,106
3.61758,-0.444921,0,3.64484,0.5,107
3.63281,-0.444464,0,3.6599,0.5,108
3.63725,-0.444782,0,3.66434,0.5,109
3.65234,-0.445305,0,3.67939,0.5,110
3.65579,-0.445774,0,3.68287,0.5,111
3.67188,-0.4468,0,3.69896,0.5,112
3.674,-0.447098,0,3.7011,0.5,113
3.69141,-0.448261,0,3.71852,0.5,114
3.71077,-0.449386,0,3.73788,0.5,115
3.71094,-0.449389,0,3.73805,0.5,116
3.70789,-0.449219,0,3.735,0.5,117
3.69229,-0.448334,0,3.71941,0.5,118
3.72968,-0.450009,0,3.75673,0.5,119
3.73047,-0.450028,0,3.75752,0.5,120
3.74902,-0.4502,0,3.77595,0.5,121
3.75,-0.450209,0,3.77693,0.5,122
3.7686,-0.450152,0,3.79539,0.5,123
3.76953,-0.450149,0,3.79631,0.5,124
3.78822,-0.450066,0,3.81486,0.5,125
3.78906,-0.450062,0,3.8157,0.5,126
3.80774,-0.450073,0,3.83425,0.5,127
3.80859,-0.450073,0,3.83509,0.5,128
3.82712,-0.450223,0,3.85351,0.5,129
3.82812,-0.450231,0,3.85451,0.5,130
3.84637,-0.450504,0,3.87266,0.5,131
3.84766,-0.450523,0,3.87394,0.5,132
3.86553,-0.450876,0,3.89174,0.5,133
3.86719,-0.450909,0,3.89339,0.5,134
3.88464,-0.451299,0,3.91077,0.5,135
3.88672,-0.451346,0,3.91284,0.5,136
3.90373,-0.451738,0,3.92978,0.5,137
3.90625,-0.451796,0,3.93229,0.5,138
3.92284,-0.45216,0,3.94881,0.5,139
3.92578,-0.452225,0,3.95174,0.5,140
3.942,-0.452528,0,3.96789,0.5,141
3.94531,-0.45259,0,3.97119,0.5,142
3.96126,-0.452799,0,3.98706,0.5,143
3.96484,-0.452846,0,3.99062,0.5,144
3.98062,-0.452975,0,4.00631,0.5,145
3.98438,-0.453005,0,4.01004,0.5,146
4.00003,-0.453096,0,4.02561,0.5,147
4.00391,-0.453119,0,4.02946,0.5,148
4.01943,-0.453225,0,4.0449,0.5,149
4.02344,-0.453252,0,4.04889,0.5,150
4.03878,-0.453404,0,4.06415,0.5,151
4.04297,-0.453445,0,4.06832,0.5,152
4.05811,-0.453608,0,4.08338,0.5,153
4.0625,-0.453655,0,4.08775,0.5,154
4.07746,-0.453787,0,4.10264,0.5,155
4.08203,-0.453828,0,4.10718,0.5,156
4.09687,-0.45391,0,4.12194,0.5,157
4.10156,-0.453936,0,4.12661,0.5,158
4.11634,-0.453977,0,4.14129,0.5,159
4.12109,-0.45399,0,4.14602,0.5,160
4.13583,-0.454018,0,4.16067,0.5,161
4.14062,-0.454027,0,4.16544,0.5,162
4.15536,-0.454019,0,4.18009,0.5,163
4.16016,-0.454016,0,4.18486,0.5,164
4.17499,-0.453919,0,4.19959,0.5,165
4.17969,-0.453889,0,4.20426,0.5,166
4.19474,-0.453701,0,4.2192,0.5,167
4.19922,-0.453645,0,4.22365,0.5,168
4.21456,-0.45341,0,4.23888,0.5,169
4.21875,-0.453346,0,4.24304,0.5,170
4.23442,-0.45308,0,4.25859,0.5,171
4.23828,-0.453014,0,4.26242,0.5,172
4.25432,-0.45271,0,4.27834,0.5,173
4.25781,-0.452643,0,4.2818,0.5,174
4.27423,-0.452333,0,4.2981,0.5,175
4.27734,-0.452274,0,4.30119,0.5,176
4.2941,-0.451994,0,4.31782,0.5,177
4.29688,-0.451947,0,4.32058,0.5,178
4.31392,-0.451705,0,4.3375,0.5,179
4.31641,-0.45167,0,4.33997,0.5,180
4.3336,-0.451557,0,4.35706,0.5,181
4.33594,-0.451454,0,4.35938,0.5,182
4.35824,-0.446452,0,4.38104,0.5,183
4.375,-0.446211,0,4.3977,0.5,184
4.33594,-0.450025,0,4.35923,0.5,185
4.39305,-0.450699,0,4.41611,0.5,186
4.39453,-0.450731,0,4.41759,0.5,187
4.375,-0.450808,0,4.39816,0.5,188
4.41279,-0.450496,0,4.43572,0.5,189
4.41406,-0.45048,0,4.43699,0.5,190
4.43256,-0.450248,0,4.45537,0.5,191
4.43359,-0.450235,0,4.4564,0.5,192
4.45233,-0.450012,0,4.47502,0.5,193
4.45312,-0.450003,0,4.4758,0.5,194
4.47211,-0.449768,0,4.49467,0.5,195
4.47266,-0.449761,0,4.49521,0.5,196
4.4919,-0.449503,0,4.51434,0.5,197
4.49219,-0.4495,0,4.51462,0.5,198
4.51172,-0.44922,0,4.53403,0.5,199
4.51172,-0.44922,0,4.53403,0.5,200
4.51181,-0.449219,0,4.53412,0.5,201
4.53125,-0.448919,0,4.55343,0.5,202
4.53156,-0.448909,0,4.55374,0.5,203
4.55078,-0.448595,0,4.57284,0.5,204
4.55143,-0.448573,0,4.57348,0.5,205
4.57031,-0.448249,0,4.59224,0.5,206
4.57132,-0.448213,0,4.59324,0.5,207
4.58984,-0.447876,0,4.61164,0.5,208
4.59124,-0.447821,0,4.61303,0.5,209
4.60938,-0.447452,0,4.63104,0.5,210
4.61123,-0.447364,0,4.63288,0.5,211
4.62891,-0.446935,0,4.65043,0.5,212
4.63133,-0.446795,0,4.65283,0.5,213
4.64844,-0.446285,0,4.66981,0.5,214
4.65159,-0.446068,0,4.67293,0.5,215
4.66797,-0.445483,0,4.68918,0.5,216
4.67185,-0.445336,0,4.69303,0.5,217
4.6875,-0.445034,0,4.70858,0.5,218
4.69231,-0.444413,0,4.7133,0.5,219
4.70703,-0.443395,0,4.72787,0.5,220
4.7135,-0.442745,0,4.73425,0.5,221
4.72656,-0.442055,0,4.74719,0.5,222
4.73465,-0.441134,0,4.75515,0.5,223
4.74609,-0.440442,0,4.76649,0.5,224
4.75618,-0.43913,0,4.77641,0.5,225
4.76562,-0.438473,0,4.78575,0.5,226
4.77826,-0.436585,0,4.79816,0.5,227
4.78516,-0.436027,0,4.80498,0.5,228
4.80111,-0.43326,0,4.82062,0.5,229
4.80469,-0.432921,0,4.82415,0.5,230
4.82107,-0.429688,0,4.84018,0.5,231
4.82113,-0.429688,0,4.84024,0.5,232
4.84375,-0.425372,0,4.86239,0.5,233
4.84807,-0.425372,0,4.86669,0.5,234
4.88281,-0.419917,0,4.90084,0.5,235
4.89258,-0.419917,0,4.91057,0.5,236
4.92188,-0.416049,0,4.93943,0.5,237
4.93551,-0.416049,0,4.95302,0.5,238
4.96094,-0.424418,0,4.97906,0.5,239
4.97868,-0.431479,0,4.99734,0.5,240
4.98047,-0.431397,0,4.99912,0.5,241
4.97345,-0.429688,0,4.99197,0.5,242
4.99929,-0.430399,0,5.01778,0.5,243
5,-0.430363,0,5.01849,0.5,244
4.96357,-0.427053,0,4.98191,0.5,245
4.96094,-0.427053,0,4.97928,0.5,246
