Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.87298,-0.0801487,0,1.87469,0.5,0
1.875,-0.0818176,0,1.87678,0.5,1
1.87221,-0.078125,0,1.87384,0.5,2
1.86618,-0.0674187,0,1.86739,0.5,3
1.86423,-0.0585938,0,1.86515,0.5,4
1.86236,-0.0517046,0,1.86308,0.5,5
1.86084,-0.0390625,0,1.86125,0.5,6
1.8602,-0.0343304,0,1.86052,0.5,7
1.85926,-0.0195312,0,1.85936,0.5,8
1.85909,-0.015908,0,1.85916,0.5,9
1.85873,0,0,1.85873,0.5,10
1.98913,-0.315559,0,2.014,0.5,11
1.99219,-0.317643,0,2.01735,0.5,12
1.98709,-0.3125,0,2.01152,0.5,13
2.00679,-0.336956,0,2.03489,0.5,14
2.01172,-0.339289,0,2.04013,0.5,15
2.0038,-0.332031,0,2.03112,0.5,16
1.99944,-0.324774,0,2.02565,0.5,17
2.02009,-0.34319,0,2.04904,0.5,18
2.03125,-0.349145,0,2.06104,0.5,19
2.08723,-0.393237,0,2.12395,0.5,20
2.08984,-0.393804,0,2.12662,0.5,21
2.08729,-0.390625,0,2.12353,0.5,22
2.10129,-0.398709,0,2.13878,0.5,23
2.10938,-0.402836,0,2.1475,0.5,24
2.04223,-0.360117,0,2.07373,0.5,25
2.05078,-0.368271,0,2.08359,0.5,26
2.03442,-0.351562,0,2.06457,0.5,27
2.06197,-0.379441,0,2.09659,0.5,28
2.07031,-0.378047,0,2.10455,0.5,29
2.05361,-0.371094,0,2.08687,0.5,30
2.05246,-0.369418,0,2.08544,0.5,31
2.03504,-0.347777,0,2.06454,0.5,32
2.03505,-0.351562,0,2.06519,0.5,33
2.03125,-0.347777,0,2.06081,0.5,34
2.08046,-0.380479,0,2.11496,0.5,35
2.12665,-0.412414,0,2.16627,0.5,36
2.12891,-0.413501,0,2.16869,0.5,37
2.12334,-0.410156,0,2.16259,0.5,38
2.11462,-0.404916,0,2.15303,0.5,39
2.13951,-0.419089,0,2.18016,0.5,40
2.14844,-0.416948,0,2.18852,0.5,41
2.15898,-0.419149,0,2.19929,0.5,42
2.16797,-0.427379,0,2.20969,0.5,43
2.17,-0.427654,0,2.21174,0.5,44
2.1875,-0.427994,0,2.22898,0.5,45
1.95302,-0.273542,0,1.97208,0.5,46
1.95312,-0.273542,0,1.97219,0.5,47
1.95302,-0.273438,0,1.97207,0.5,48
1.92581,-0.24216,0,1.94097,0.5,49
1.93359,-0.249923,0,1.94968,0.5,50
1.92696,-0.234375,0,1.94116,0.5,51
1.94302,-0.264007,0,1.96088,0.5,52
1.95302,-0.273438,0,1.97207,0.5,53
1.93759,-0.253906,0,1.95415,0.5,54
1.93589,-0.251615,0,1.95217,0.5,55
1.91231,-0.2166,0,1.92453,0.5,56
1.91406,-0.216581,0,1.92628,0.5,57
1.91196,-0.214844,0,1.92399,0.5,58
