Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
19.8987,-0.196296,0,19.8997,10.5068,0.5,0,12.4679,-26.3305,-10.5068,1.36321,-0.0197018,-0.0511767,1.36431,0,0,1
19.9022,-0.199244,0,19.9032,10.2624,0.5,0,12.3979,-22.1323,-10.2624,1.35361,-0.0203414,-0.0474557,1.35459,0,1,1
19.8948,-0.192723,0,19.8958,10.9079,0.5,0,12.5176,-27.5914,-10.9079,1.37947,-0.0207185,-0.0530752,1.38065,0,2,1
19.8901,-0.188889,0,19.891,10.0789,0.5,0,12.363,-19.0876,-10.0789,1.39454,-0.0230846,-0.0553106,1.39583,0,3,1
19.9067,-0.203704,0,19.9077,10.405,0.5,0,12.3791,-23.4584,-10.405,1.33297,-0.0202175,-0.0454081,1.3339,0,4,1
19.9095,-0.206385,0,19.9106,9.64738,0.5,0,12.1958,-22.4691,-9.64738,1.3178,-0.0210154,-0.0468539,1.3188,0,5,1
19.8875,-0.186319,0,19.8884,10.372,0.5,0,12.3711,-20.9113,-10.372,1.40737,-0.0226301,-0.0560964,1.40867,0,6,1
19.8801,-0.181923,0,19.881,11.3052,0.5,0,12.9403,-24.5581,-11.3052,1.42998,-0.00792663,-0.0659686,1.43153,0,7,1
19.9138,-0.211111,0,19.9149,9.43875,0.5,0,12.4323,-22.0074,-9.43875,1.29592,-0.0174906,-0.0492476,1.29698,0,8,1
19.9168,-0.213951,0,19.918,9.87845,0.5,0,12.6675,-23.0333,-9.87845,1.28881,-0.0176209,-0.0463096,1.28976,0,9,1
19.9216,-0.218519,0,19.9228,10.0842,0.5,0,12.6608,-24.8668,-10.0842,1.2689,-0.0165191,-0.0445291,1.26979,0,10,1
19.9242,-0.221085,0,19.9254,9.97293,0.5,0,12.6626,-25.1918,-9.97293,1.25827,-0.016522,-0.0436183,1.25914,0,11,1
19.9293,-0.225926,0,19.9305,9.2512,0.5,0,12.3047,-23.4031,-9.2512,1.24071,-0.0197575,-0.0381168,1.24145,0,12,1
19.9315,-0.228535,0,19.9328,8.73771,0.5,0,12.1944,-21.681,-8.73771,1.23009,-0.0192199,-0.0393238,1.23087,0,13,1
19.8708,-0.174074,0,19.8715,9.20026,0.5,0,12.8344,-14.8871,-9.14501,1.46501,-0.00974407,-0.0719863,1.46681,0,14,1
19.8728,-0.176063,0,19.8736,8.62312,0.5,0,12.7316,-13.3892,-8.58143,1.45417,-0.0107874,-0.0727041,1.45602,0,15,1
19.8655,-0.168167,0,19.8662,8.74849,0.5,0,12.5,-19.4616,-8.72537,1.49531,-0.00470995,-0.0694236,1.49693,0,16,1
