Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.321003,0.946934,0.0164992,1,6.5267,-0.47098,0,6.54367,0.5,0,13,-1368.27,-87.4597,0,-0.304703,0.373157,0.00775666,0.48182,0,0,1
0.329328,0.944071,0.0165212,1,6.52572,-0.470588,0,6.54266,0.5,0,13,-1243.14,-84.6818,0,-0.271135,0.398329,0.00763625,0.481911,0,1,1
0.270936,0.962496,0.0139578,1,6.53037,-0.472081,0,6.54741,0.5,0,13,-1608.49,-94.0688,0,-0.403663,0.269882,0.00484898,0.485596,0,2,1
0.180595,0.983514,0.00923766,1,6.53403,-0.472831,0,6.55112,0.5,0,13,-2421.71,-108.931,0,-0.450397,0.164452,-0.000558497,0.479481,0,3,1
0.0554438,0.998449,0.00500105,1,6.5377,-0.47324,0,6.5548,0.5,0,13,-3188.81,-120.413,0,-0.474279,0.0116806,-0.00240563,0.474429,0,4,1
-0.0890769,0.996024,0.000866639,1,6.54136,-0.47317,0,6.55845,0.5,0,13,-2606.47,-111.287,0,-0.45599,-0.14287,-0.00326343,0.47786,0,5,1
-0.197725,0.980257,-0.00051102,1,6.54502,-0.47269,0,6.56207,0.5,0,13,-1352.49,-91.0075,0,-0.41313,-0.240963,-0.00350025,0.47828,0,6,1
-0.320707,0.947178,0.000106077,1,6.54869,-0.471891,0,6.56567,0.5,0,13,-798.933,-79.6676,0,-0.361386,-0.290979,-0.00246636,0.463977,0,7,1
-0.43331,0.901245,0.000289687,1,6.55159,-0.470588,0,6.56847,0.5,0,13,-916.751,-83.0012,0,-0.291525,-0.337894,-0.000285486,0.446273,0,8,1
0.492598,0.870149,0.0137367,1,6.51937,-0.46854,0,6.53619,0.5,0,13,-90.7819,-54.7307,0,-0.0433931,0.498261,0.00306465,0.500157,0,9,1
0.537981,0.842855,0.013123,1,6.51655,-0.466912,0,6.53325,0.5,0,13,73.6604,-43.7173,0,0.114214,0.50191,0.00936596,0.514826,0,10,1
0.377534,0.925883,0.0144699,1,6.52304,-0.469621,0,6.53992,0.5,0,13,-790.414,-73.3253,0,-0.164342,0.46484,0.00564261,0.493068,0,11,1
-0.436665,0.899624,0.000279226,1,6.55235,-0.470313,0,6.56921,0.5,0,12.9253,-893.022,-80.7665,0,-0.244858,-0.346819,-6.35916e-05,0.424545,0,12,1
-0.374127,0.927377,-0.00036481,1,6.55602,-0.469184,0,6.57278,0.5,0,12.6181,-420.003,-64.4895,0,-0.0594922,-0.394699,0.00050332,0.399158,0,13,1
-0.345475,0.938428,-0.000308678,1,6.55968,-0.468276,0,6.57638,0.5,0,12.371,-22.6225,-47.3811,0,0.0333801,-0.394662,0.0003215,0.396071,0,14,1
-0.603359,0.797469,-0.000997059,1,6.56248,-0.466912,0,6.57907,0.5,0,12.7647,119.853,-43.5297,0,0.0815543,-0.425131,-1.43265e-05,0.432883,0,15,1
0.563278,0.826167,0.0128539,1,6.51571,-0.466286,0,6.53237,0.5,0,13,129.145,-39.2068,0,0.143948,0.505149,0.0098201,0.52535,0,16,1
0.54298,0.839669,0.0113326,1,6.51221,-0.463235,0,6.52866,0.5,0,13,332.644,-16.5245,0,0.250067,0.514453,0.0122759,0.572141,0,17,1
-0.588026,0.808841,-0.00131741,1,6.56335,-0.466208,0,6.57988,0.5,0,13,212.176,-42.2014,0,0.0833264,-0.436039,-0.000325079,0.443929,0,18,1
-0.440577,0.897714,-0.00134883,1,6.56701,-0.465263,0,6.58347,0.5,0,13,226.393,-33.9085,0,0.134228,-0.403025,0.000169344,0.42479,0,19,1
