Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.0432596,0.998098,-0.0428548,0.999954,14.6832,-0.440855,-4.33681e-19,14.6898,25.2102,0.5,2.28226e-05,10,-76.4192,-25.2102,0.538338,0.0178792,-0.0622632,0.542222,0,0,1
0.0801492,0.99496,-0.0439517,0.99915,14.682,-0.440741,-4.33681e-19,14.6886,25.3711,0.5,2.09695e-05,10,-76.406,-25.3711,0.544691,0.0251797,-0.0649464,0.549127,0,1,1
-0.0131773,0.999254,-0.0360104,0.999989,14.6905,-0.440759,0,14.6971,23.97,0.5,2.12686e-05,10,-71.5919,-23.97,0.52084,-0.0308701,-0.048183,0.523974,0,2,1
-0.00620964,0.999145,-0.0369916,0.999849,14.6896,-0.440774,0,14.6962,24.1239,0.5,2.15103e-05,10,-72.2667,-24.1239,0.522816,-0.0248083,-0.0501317,0.5258,0,3,1
-0.0131336,0.999287,-0.0347607,0.999978,14.6917,-0.440741,0,14.6983,23.7639,0.5,2.09695e-05,10,-70.7214,-23.7639,0.518082,-0.0389964,-0.0456423,0.521548,0,4,1
0.432115,0.900654,-0.0455626,0.999988,14.6615,-0.433366,0,14.6679,21.4954,0.5,9.35502e-08,10,-30.3741,-21.4954,0.813758,0.136626,-0.104949,0.831796,0,5,1
0.432061,0.900684,-0.0455735,0.999992,14.6615,-0.433333,0,14.6679,21.472,0.5,0,10,-30.1793,-21.472,0.814891,0.136898,-0.105064,0.832963,0,6,1
0.430487,0.901405,-0.0460577,0.999986,14.6649,-0.434969,0,14.6713,22.5755,0.5,4.63076e-06,10,-40.1712,-22.5755,0.758457,0.122165,-0.0992188,0.774613,0,7,1
0.429075,0.902134,-0.0448006,0.999979,14.6685,-0.436721,0,14.675,23.7824,0.5,9.58938e-06,10,-51.5082,-23.7824,0.699237,0.103977,-0.0910705,0.712767,0,8,1
0.265813,0.962845,-0.0468087,0.999959,14.6759,-0.440098,0,14.6825,25.8014,0.5,1.91508e-05,10,-74.4972,-25.8014,0.580724,0.0644114,-0.0765869,0.589283,0,9,1
0.348052,0.93229,-0.0470108,0.99625,14.6722,-0.438409,0,14.6788,24.7806,0.5,1.437e-05,10,-62.7156,-24.7806,0.639485,0.0853858,-0.0848108,0.650711,0,10,1
0.137975,0.983323,-0.0453047,0.993989,14.6801,-0.440546,-4.33681e-19,14.6867,25.5082,0.5,2.04194e-05,10,-75.9352,-25.5082,0.555514,0.0376609,-0.0691435,0.561066,0,11,1
0.155444,0.98058,-0.0457226,0.993877,14.6795,-0.440489,0,14.6861,25.5503,0.5,2.02557e-05,10,-75.7973,-25.5503,0.558722,0.0413941,-0.0703939,0.564658,0,12,1
-0.0129997,0.999321,-0.0315185,0.999902,14.6948,-0.440692,0,14.7014,23.2135,0.5,2.0832e-05,10,-68.4057,-23.2135,0.511141,-0.0594594,-0.0391361,0.516074,0,13,1
-0.012917,0.999429,-0.0291341,0.999937,14.6979,-0.440662,0,14.7045,22.6895,0.5,2.0748e-05,10,-66.622,-22.6895,0.503237,-0.0793969,-0.0339638,0.510593,0,14,1
-0.0237624,0.999124,-0.0280942,0.999801,14.6988,-0.440647,0,14.7054,22.5188,0.5,2.07032e-05,10,-65.8813,-22.5188,0.501115,-0.0857635,-0.0318733,0.509399,0,15,1
-0.054172,0.997068,-0.0251795,0.998856,14.7015,-0.440602,0,14.7081,22.0349,0.5,2.05769e-05,10,-63.7829,-22.0349,0.495045,-0.103888,-0.0259051,0.506491,0,16,1
-0.0965989,0.994973,-0.0222926,0.9999,14.7052,-0.440567,0,14.7118,21.4086,0.5,2.04781e-05,10,-61.6535,-21.4086,0.48546,-0.127865,-0.0196665,0.502402,0,17,1
-0.206695,0.978104,-0.0196171,0.999898,14.7125,-0.439224,0,14.7191,19.5834,0.5,1.66757e-05,10,-47.6706,-19.5834,0.510326,-0.143546,-0.0117826,0.530261,0,18,1
-0.152369,0.98653,-0.0211033,0.99845,14.7089,-0.439901,0,14.7154,20.5083,0.5,1.85914e-05,10,-54.9158,-20.5083,0.497572,-0.135826,-0.016267,0.516034,0,19,1
-0.23379,0.972,-0.018618,0.999894,14.7199,-0.437477,0,14.7264,17.6001,0.5,1.17293e-05,10,-30.9237,-17.6001,0.545358,-0.150258,-0.00540535,0.565705,0,20,1
-0.220421,0.975025,-0.0192591,0.999815,14.7162,-0.438352,0,14.7227,18.6036,0.5,1.42083e-05,10,-39.5252,-18.6036,0.527681,-0.147147,-0.00905429,0.547888,0,21,1
-0.230988,0.972679,-0.0177941,0.999888,14.7272,-0.435745,0,14.7336,15.6462,0.5,6.82813e-06,10,-14.474,-15.6462,0.575695,-0.15925,0.00171034,0.597318,0,22,1
