Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
6.03287,-0.265956,0,6.03873,0.5,0,0
6.03516,-0.268785,0,6.04114,0.5,0,1
6.03124,-0.263672,0,6.037,0.5,0,2
6.01979,-0.24974,0,6.02497,0.5,0,3
6.02051,-0.249769,0,6.02569,0.5,0,4
6.01979,-0.249023,0,6.02494,0.5,0,5
6.01055,-0.237013,0,6.01522,0.5,0,6
6.01318,-0.240373,0,6.01799,0.5,0,7
6.00856,-0.234375,0,6.01313,0.5,0,8
6.01592,-0.24629,0,6.02096,0.5,0,9
6.01964,-0.249023,0,6.02478,0.5,0,10
6.0142,-0.241699,0,6.01906,0.5,0,11
6.01388,-0.241007,0,6.0187,0.5,0,12
6.02645,-0.25773,0,6.03196,0.5,0,13
6.02783,-0.259222,0,6.0334,0.5,0,14
6.02167,-0.256348,0,6.02713,0.5,0,15
6.02088,-0.255978,0,6.02632,0.5,0,16
6.02051,-0.253049,0,6.02582,0.5,0,17
6.02985,-0.261651,0,6.03553,0.5,0,18
6.05532,-0.294782,0,6.06249,0.5,0,19
6.05713,-0.29641,0,6.06438,0.5,0,20
6.0541,-0.292969,0,6.06118,0.5,0,21
6.06199,-0.302759,0,6.06954,0.5,0,22
6.06445,-0.303003,0,6.07202,0.5,0,23
6.06199,-0.300293,0,6.06943,0.5,0,24
6.05909,-0.298331,0,6.06643,0.5,0,25
6.05926,-0.300293,0,6.0667,0.5,0,26
6.07783,-0.32354,0,6.08643,0.5,0,27
6.0791,-0.323644,0,6.08771,0.5,0,28
6.07782,-0.322266,0,6.08636,0.5,0,29
6.09167,-0.338991,0,6.1011,0.5,0,30
6.09375,-0.340839,0,6.10327,0.5,0,31
6.09132,-0.336914,0,6.10063,0.5,0,32
6.08514,-0.330873,0,6.09413,0.5,0,33
6.08643,-0.332285,0,6.09549,0.5,0,34
6.08409,-0.32959,0,6.09301,0.5,0,35
6.08173,-0.326963,0,6.09051,0.5,0,36
6.08276,-0.328047,0,6.0916,0.5,0,37
6.0791,-0.326674,0,6.08787,0.5,0,38
6.08358,-0.328773,0,6.09246,0.5,0,39
6.08853,-0.334807,0,6.09773,0.5,0,40
6.08853,-0.336914,0,6.09784,0.5,0,41
6.08727,-0.333252,0,6.09638,0.5,0,42
6.08696,-0.33272,0,6.09604,0.5,0,43
6.07177,-0.314947,0,6.07993,0.5,0,44
6.07178,-0.314947,0,6.07994,0.5,0,45
6.07177,-0.314941,0,6.07993,0.5,0,46
6.07063,-0.312427,0,6.07866,0.5,0,47
6.07177,-0.314941,0,6.07993,0.5,0,48
6.0695,-0.311279,0,6.07748,0.5,0,49
6.06853,-0.310866,0,6.07649,0.5,0,50
6.06816,-0.307617,0,6.07595,0.5,0,51
6.07503,-0.319008,0,6.0834,0.5,0,52
6.07544,-0.322244,0,6.08398,0.5,0,53
6.07406,-0.318604,0,6.08241,0.5,0,54
6.07291,-0.317471,0,6.0812,0.5,0,55
6.07178,-0.314955,0,6.07994,0.5,0,56
6.07544,-0.322262,0,6.08398,0.5,0,57
6.07545,-0.322266,0,6.08399,0.5,0,58
6.0658,-0.306273,0,6.07352,0.5,0,59
6.0658,-0.307617,0,6.0736,0.5,0,60
6.06445,-0.306082,0,6.07217,0.5,0,61
6.04886,-0.286592,0,6.05564,0.5,0,62
6.0498,-0.287495,0,6.05663,0.5,0,63
6.04836,-0.285645,0,6.0551,0.5,0,64
6.04575,-0.28237,0,6.05235,0.5,0,65
6.04257,-0.27832,0,6.04898,0.5,0,66
6.03932,-0.274159,0,6.04554,0.5,0,67
6.04248,-0.278204,0,6.04888,0.5,0,68
6.03685,-0.270996,0,6.04293,0.5,0,69
6.03625,-0.269899,0,6.04228,0.5,0,70
6.04255,-0.278254,0,6.04895,0.5,0,71
6.05226,-0.290514,0,6.05923,0.5,0,72
5.91694,-0.118219,0,5.91812,0.5,0,73
5.91797,-0.118376,0,5.91915,0.5,0,74
5.91694,-0.117188,0,5.9181,0.5,0,75
5.97494,-0.192055,0,5.97802,0.5,0,76
5.97656,-0.193806,0,5.9797,0.5,0,77
5.97387,-0.19043,0,5.97691,0.5,0,78
5.96812,-0.184222,0,5.97096,0.5,0,79
5.96924,-0.185135,0,5.97211,0.5,0,80
5.96812,-0.183105,0,5.97093,0.5,0,81
5.96519,-0.179825,0,5.9679,0.5,0,82
5.96557,-0.183105,0,5.96838,0.5,0,83
5.96437,-0.179443,0,5.96707,0.5,0,84
5.96322,-0.17814,0,5.96588,0.5,0,85
5.96208,-0.175781,0,5.96467,0.5,0,86
5.97185,-0.187815,0,5.97481,0.5,0,87
5.93885,-0.147571,0,5.94069,0.5,0,88
