Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.42675,0.887344,-0.174655,1,7.45518,-0.452206,0,7.46888,0.5,0,12.4288,-2192.86,-94.8824,0,-0.0348431,0.00974141,-0.00197138,0.0362329,0,0,1
0.258592,0.965808,0.018558,1,7.45728,-0.453405,0,7.47105,0.5,0,12.6737,-2555.07,-103.046,0,-0.0980188,-0.0543726,-0.00156362,0.1121,0,1,1
-0.107141,0.994244,-0.000255821,1,7.46094,-0.453272,0,7.4747,0.5,0,12.7099,-2558.79,-103.17,0,-0.0785209,-0.199103,-0.00173782,0.214034,0,2,1
-0.215121,0.976587,-0.000953345,1,7.46461,-0.452883,0,7.47833,0.5,0,12.8159,-1954.21,-95.1434,0,-0.0269937,-0.343445,-0.00127461,0.344507,0,3,1
-0.319147,0.947705,-0.00113267,1,7.46761,-0.452206,0,7.48129,0.5,0,13,-1175.1,-84.1979,0,0.0403884,-0.437891,-0.00117581,0.439751,0,4,1
0.350842,0.936428,0.00360659,1,7.6735,-0.453221,0,7.68687,0.5,0,12.724,494.29,-18.4559,0,0.31605,0.632107,0.00705184,0.706751,0,5,1
0.449086,0.893481,0.00349807,1,7.6715,-0.452206,0,7.68482,0.5,0,13,604.165,-4.54425,0,0.405924,0.647816,0.00474343,0.764501,0,6,1
0.206475,0.978451,0.00112711,1,7.67717,-0.453548,0,7.69055,0.5,0,12.3651,-146.306,-52.1451,0,0.237541,0.603315,0.0122925,0.64851,0,7,1
0.252163,0.967684,0.00155321,1,7.68083,-0.454172,0,7.69425,0.5,0,12.5347,-816.706,-72.4888,0,0.147142,0.536124,0.016386,0.556191,0,8,1
0.214133,0.9768,0.00289235,1,7.68449,-0.454793,0,7.69794,0.5,0,12.7038,-1943.37,-96.3957,0,0.0147776,0.422648,0.0111578,0.423054,0,9,1
0.0944534,0.995521,0.00401576,1,7.68816,-0.455171,0,7.70162,0.5,0,12.8065,-3370.55,-117.923,0,-0.0687115,0.244459,-0.00183438,0.253939,0,10,1
-0.065926,0.997806,0.00600395,1,7.69182,-0.455227,0,7.70528,0.5,0,13,-4435.87,-134.232,0,-0.114568,-0.029319,-0.00564201,0.118394,0,11,1
-0.242482,0.970145,0.00459964,1,7.69549,-0.454758,0,7.70891,0.5,0,13,-4191.38,-130.72,0,-0.0471488,-0.24709,-0.00347208,0.251572,0,12,1
-0.387636,0.921808,0.00284805,1,7.69915,-0.453708,0,7.71251,0.5,0,13,-3438.83,-119.263,0,0.0580021,-0.440709,-0.00310582,0.44452,0,13,1
-0.493751,0.8696,0.00237956,1,7.70245,-0.452206,0,7.71571,0.5,0,13,-2499.02,-107.103,0,0.164092,-0.593113,-0.00341376,0.615403,0,14,1
0.329245,0.943824,-0.0281605,1,7.44628,-0.450299,0,7.45988,0.5,0,13,-1127.97,-81.1567,0,0.102184,0.372604,-0.00771166,0.386438,0,15,1
0.418296,0.908305,0.00314145,1,7.44267,-0.448529,0,7.45617,0.5,0,13,-315.243,-63.2218,0,0.215428,0.42811,-0.00872995,0.479337,0,16,1
0.092977,0.983108,-0.157653,1,7.44995,-0.450844,0,7.46358,0.5,0,12,-1370.5,-74.2322,0,0.0892988,0.165233,-0.0029489,0.187843,0,17,1
0.381966,0.876493,-0.29302,1,7.45361,-0.450844,0,7.46723,0.5,0,12,-1479.59,-77.1943,0,0.0925262,0.0653994,-0.00199873,0.113323,0,18,1
-0.333787,0.942648,-0.00111993,1,7.46827,-0.451946,0,7.48193,0.5,0,13,-935.161,-80.0353,0,0.0545618,-0.452314,-0.00110384,0.455594,0,19,1
-0.330688,0.94374,-0.000791077,1,7.47194,-0.450589,0,7.48551,0.5,0,13,-182.865,-62.662,0,0.114269,-0.473666,-0.000961914,0.487255,0,20,1
-0.486284,0.873801,-0.000726992,1,7.4756,-0.449619,0,7.48911,0.5,0,13,-78.1399,-59.1885,0,0.15991,-0.477509,-0.00110199,0.503574,0,21,1
