Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.292637,0.955358,-0.025268,0.999492,14.1449,-0.450771,0,14.1521,30.7263,0.5,0,12.646,-63.8946,-30.7263,0.199661,0.0925831,0.00504089,0.22014,0,0,1
0.34111,0.938808,-0.0211459,0.999082,14.1417,-0.449487,0,14.1488,32.6127,0.5,0,12.8192,-87.6475,-32.6127,0.251729,0.104059,0.00352901,0.272412,0,1,1
0.382864,0.922142,-0.0337773,0.999035,14.1382,-0.448148,0,14.1453,33.2395,0.5,0,13,-72.9794,-33.2395,0.310018,0.108819,0.00158362,0.328565,0,2,1
0.127245,0.99162,-0.00955611,0.999796,14.1523,-0.451656,0,14.1595,32.872,0.5,0,12.2469,-124.041,-32.872,0.209107,0.064004,0.00630219,0.218774,0,3,1
0.218826,0.970256,-0.0399919,0.99543,14.1486,-0.45112,0,14.1558,30.3485,0.5,0,12.3192,-88.9801,-30.3485,0.218998,0.0787279,0.00579043,0.232791,0,4,1
0.0880443,0.994546,-0.00635559,0.998456,14.1596,-0.451949,0,14.1668,34.6699,0.5,0,12,-159.725,-34.6699,0.233946,0.0211792,0.00839308,0.235053,0,5,1
0.134566,0.99083,0.0102953,0.999979,14.1559,-0.4519,0,14.1632,34.5894,0.5,0,12.2469,-142.56,-34.5894,0.204668,0.0449812,0.00756159,0.209689,0,6,1
0.0210509,0.998047,0.0240124,0.998557,14.1669,-0.452406,0,14.1742,37.9865,0.5,0,12.2002,-175.572,-37.9865,0.218472,-0.0221777,0.0115882,0.2199,0,7,1
0.0317537,0.999148,-0.0259274,0.999989,14.1633,-0.452292,0,14.1705,37.6314,0.5,0,12.2002,-175.653,-37.6314,0.215165,-0.000294651,0.0112689,0.21546,0,8,1
-0.0241954,0.999055,-0.00233765,0.999351,14.1743,-0.452177,0,14.1815,35.1388,0.5,0,12,-146.195,-35.1388,0.25745,-0.0651341,0.0111521,0.265796,0,9,1
-0.00614977,0.997924,0.0194397,0.998132,14.1706,-0.452218,0,14.1778,35.4823,0.5,0,12,-154.697,-35.4823,0.247967,-0.0444326,0.0109434,0.252154,0,10,1
-0.10419,0.992618,0.0393368,0.998846,14.1816,-0.452209,0,14.1888,39.7463,0.5,0,12.4518,-108.577,-39.7463,0.238447,-0.0980061,0.0125364,0.258107,0,11,1
-0.0629605,0.996884,0.0124976,0.998949,14.1779,-0.452262,0,14.1852,37.2553,0.5,0,12.214,-125.305,-37.2553,0.248485,-0.0806974,0.0125964,0.261564,0,12,1
-0.149546,0.988184,0.0283035,0.999837,14.1889,-0.451396,0,14.1961,38.712,0.5,0,12.5615,-115.018,-38.712,0.254732,-0.127093,0.013206,0.284983,0,13,1
-0.135774,0.988048,0.0602161,0.999149,14.1853,-0.451756,0,14.1925,39.4626,0.5,0,12.513,-117.869,-39.4626,0.246065,-0.112606,0.0134354,0.270941,0,14,1
-0.246478,0.96903,0.00127944,0.999886,14.1963,-0.450855,0,14.2034,35.1576,0.5,0,12.6346,-42.5795,-35.1576,0.266375,-0.148756,0.0130806,0.305377,0,15,1
-0.192672,0.979158,0.00563703,0.99795,14.1926,-0.451086,0,14.1998,36.9899,0.5,0,12.6034,-79.2432,-36.9899,0.260649,-0.139132,0.0129571,0.295742,0,16,1
-0.408947,0.912074,0.00667496,0.999581,14.2036,-0.4484,0,14.2107,40.7832,0.5,0,12.9661,-119.359,-40.7832,0.348817,-0.175625,0.0107497,0.390682,0,17,1
-0.327323,0.940189,-0.0034122,0.995544,14.1999,-0.449638,0,14.2071,37.7087,0.5,0,12.7989,-70.5509,-37.7087,0.306852,-0.162266,0.0119855,0.347322,0,18,1
-0.409527,0.911937,0.0032237,0.999676,14.204,-0.448286,0,14.211,40.4814,0.5,0,12.9326,-116.395,-40.4814,0.354146,-0.176103,0.0105934,0.395656,0,19,1
-0.412681,0.910524,0.00493684,0.999692,14.2043,-0.448148,0,14.2114,40.1906,0.5,0,12.898,-114.164,-40.1906,0.360168,-0.176628,0.010523,0.401284,0,20,1
0.289095,0.957155,-0.00325524,0.999866,14.6655,-0.450207,0,14.6724,69.44,0.5,0,12.7221,-1062.98,-69.44,0.0576588,0.190571,0.00288875,0.199124,0,21,1
0.337466,0.939796,-0.00461027,0.99856,14.663,-0.449177,0,14.6698,70.6041,0.5,0,12.8611,-992.182,-70.6041,0.130189,0.275167,0.00115197,0.304413,0,22,1
0.383954,0.923169,-0.00450156,0.999841,14.6604,-0.448148,0,14.6672,71.9167,0.5,0,13,-910.062,-71.9167,0.198847,0.35181,-0.000246311,0.404117,0,23,1
-0.00427205,0.999854,-0.000510608,0.999864,14.6729,-0.450905,0,14.6798,70.9699,0.5,0,12.6278,-1385.22,-70.9699,0.00852392,0.0040704,0.0035289,0.0100836,0,24,1
0.143088,0.978419,-0.00197124,0.988829,14.6692,-0.450555,0,14.6761,69.8413,0.5,0,12.6751,-1199.91,-69.8413,0.0321073,0.0982877,0.00425677,0.103487,0,25,1
-0.316155,0.948502,0.00351176,0.999811,14.6802,-0.450158,0,14.6871,70.1304,0.5,0,12.7287,-1187.13,-70.1304,0.0454201,-0.182597,0.00299071,0.188185,0,26,1
-0.159547,0.974542,8.26484e-05,0.987516,14.6765,-0.450536,0,14.6834,70.5837,0.5,0,12.6776,-1289.44,-70.5837,0.0266669,-0.0886469,0.00450706,0.0926807,0,27,1
-0.349619,0.935791,0.00791148,0.999,14.6824,-0.449157,0,14.6893,70.4444,0.5,0,12.8638,-1052.44,-70.4444,0.0835901,-0.238298,0.00281411,0.252549,0,28,1
-0.3842,0.922892,0.00689701,0.999693,14.6847,-0.448148,0,14.6915,70.9625,0.5,0,13,-921.577,-70.9625,0.122675,-0.295022,0.00294538,0.319524,0,29,1
0.628777,0.76989,0.0806364,0.997293,14.1156,-0.441798,0,14.1225,18.8234,0.5,0,12.5,-33.549,-18.8234,0.409224,0.16243,-0.00119475,0.440283,0,30,1
