Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.390769,0.920487,-0.00198609,1,5.42365,-0.467723,0,5.44378,0.5,0,12.7795,-1276.47,-86.1801,0,-0.0804975,0.463637,-0.00213457,0.470578,0,0,1
0.492946,0.870058,-0.00166892,1,5.42163,-0.466912,0,5.4417,0.5,0,13,-522.6,-75.1427,0,0.0702812,0.554213,-0.00289406,0.558659,0,1,1
0.192919,0.981211,-0.00266335,1,5.42731,-0.468385,0,5.44749,0.5,0,12.5993,-2118.83,-95.9088,0,-0.224558,0.294966,-0.0024047,0.370725,0,2,1
0.0659061,0.997822,-0.0027014,1,5.43098,-0.468625,0,5.45116,0.5,0,12.5341,-2560.74,-102.106,0,-0.282486,0.140079,-0.00185598,0.315315,0,3,1
-0.028031,0.999604,-0.00227151,1,5.43465,-0.468658,0,5.45482,0.5,0,12.5249,-3374.07,-112.758,0,-0.309914,-0.0216283,-0.00114091,0.31067,0,4,1
-0.136787,0.990599,-0.00185619,1,5.43831,-0.46851,0,5.45846,0.5,0,12.5653,-3600.36,-114.41,0,-0.275263,-0.194914,-0.000242627,0.337285,0,5,1
-0.304049,0.952655,-0.00162585,1,5.44198,-0.468058,0,5.46207,0.5,0,12.6884,-2674.03,-105.898,0,-0.212958,-0.375285,0.000989136,0.431499,0,6,1
-0.478879,0.877879,-0.00158561,1,5.4455,-0.466912,0,5.46548,0.5,0,13,-1042.88,-86.73,0,-0.0984042,-0.524963,0.00170504,0.534109,0,7,1
0.529925,0.848044,-0.00100643,1,5.41998,-0.465777,0,5.43996,0.5,0,13,152.608,-56.6762,0,0.121743,0.60089,-0.00317468,0.613107,0,8,1
0.523965,0.851739,-0.000654272,1,5.41649,-0.463235,0,5.43626,0.5,0,13,695.009,-23.6972,0,0.237888,0.61026,-0.00272116,0.654993,0,9,1
-0.481488,0.876451,-0.00155042,1,5.44565,-0.466807,0,5.46562,0.5,0,13,-927.952,-85.0425,0,-0.0935208,-0.528004,0.00171525,0.536225,0,10,1
-0.500131,0.865949,-0.000836186,1,5.44931,-0.464793,0,5.4691,0.5,0,13,78.0034,-58.2775,0,-0.0205143,-0.513062,0.00132092,0.513473,0,11,1
-0.450479,0.892786,-0.000803383,1,5.45156,-0.463235,0,5.47121,0.5,0,13,-36.0854,-55.5326,0,0.0317961,-0.513012,0.0010001,0.513997,0,12,1
0.322598,0.946533,0.00249937,1,5.22565,-0.460426,0,5.2459,0.5,0,13,-2117.26,-112.935,0,0.0479068,0.501005,0.00485228,0.503313,0,13,1
0.418057,0.908417,0.00273253,1,5.22387,-0.459559,0,5.24404,0.5,0,13,-1243.62,-100.673,0,0.174143,0.570022,0.00326989,0.596038,0,14,1
0.326542,0.945181,0.00195686,1,5.22932,-0.460774,0,5.24958,0.5,0,13,-3755.56,-133.147,0,-0.0693005,0.377272,0.00585262,0.383629,0,15,1
0.192526,0.981292,0.000392417,1,5.23299,-0.46167,0,5.25331,0.5,0,12.5742,-5473.18,-148.787,0,-0.0899959,0.102617,0.00186531,0.136503,0,16,1
-0.00710872,0.999975,-0.000126569,1,5.23665,-0.462004,0,5.25699,0.5,0,12.6652,-5587.81,-147.586,0,-0.134644,-0.116278,0.000721195,0.177905,0,17,1
-0.276215,0.961096,0.000506874,1,5.24032,-0.461336,0,5.26059,0.5,0,13,-5270.53,-148.285,0,-0.155244,-0.42684,0.00139006,0.454198,0,18,1
-0.395728,0.918367,0.00147213,1,5.24399,-0.460716,0,5.26419,0.5,0,13,-3203.49,-125.823,0,-0.064658,-0.605626,0.00233848,0.609072,0,19,1
-0.471232,0.882008,0.00115049,1,5.24627,-0.459559,0,5.26636,0.5,0,13,-1776.63,-105.98,0,0.0653972,-0.704211,0.00180894,0.707244,0,20,1
0.654407,0.756142,0.000153168,1,5.40898,-0.459608,0,5.42847,0.5,0,13,318.932,4.52482,0,0.495903,0.571644,-0.00363562,0.756775,0,21,1
0.651037,0.759046,0.000145858,1,5.40886,-0.459559,0,5.42835,0.5,0,13,313.644,4.83235,0,0.497611,0.571395,-0.00367812,0.757708,0,22,1
0.416355,0.909202,-0.000125203,1,5.41265,-0.46202,0,5.43233,0.5,0,12.6694,408.844,-21.559,0,0.385503,0.615667,-0.00207281,0.726404,0,23,1
0.517358,0.855769,-0.000641065,1,5.41632,-0.463143,0,5.43608,0.5,0,12.975,709.803,-22.7729,0,0.247015,0.610647,-0.00268062,0.658721,0,24,1
