Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
5.62459,-0.10295,0,5.62553,0.5,0,0
5.625,-0.105432,0,5.62599,0.5,0,1
5.62459,-0.102539,0,5.62552,0.5,0,2
5.625,-0.10216,0,5.62593,0.5,0,3
5.62473,-0.102539,0,5.62566,0.5,0,4
5.6237,-0.0965193,0,5.62452,0.5,0,5
5.625,-0.0968,0,5.62583,0.5,0,6
5.6235,-0.0952148,0,5.62431,0.5,0,7
5.62467,-0.0918791,0,5.62542,0.5,0,8
5.62458,-0.0915527,0,5.62533,0.5,0,9
5.62295,-0.0899377,0,5.62367,0.5,0,10
5.62324,-0.0878906,0,5.62393,0.5,0,11
5.62175,-0.0838169,0,5.62237,0.5,0,12
5.62189,-0.0878906,0,5.62257,0.5,0,13
5.62204,-0.0805664,0,5.62262,0.5,0,14
5.62129,-0.0769526,0,5.62182,0.5,0,15
5.62043,-0.0805664,0,5.62101,0.5,0,16
5.62129,-0.0769043,0,5.62182,0.5,0,17
5.62134,-0.0767377,0,5.62186,0.5,0,18
5.62214,-0.0732422,0,5.62262,0.5,0,19
5.62116,-0.0697533,0,5.6216,0.5,0,20
5.62059,-0.0732422,0,5.62107,0.5,0,21
5.62024,-0.065918,0,5.62062,0.5,0,22
5.62004,-0.0635501,0,5.6204,0.5,0,23
5.61966,-0.0585938,0,5.61997,0.5,0,24
5.61954,-0.0567332,0,5.61982,0.5,0,25
5.61918,-0.0512695,0,5.61941,0.5,0,26
5.61909,-0.0498531,0,5.61931,0.5,0,27
5.61876,-0.0439453,0,5.61893,0.5,0,28
5.61871,-0.0429133,0,5.61887,0.5,0,29
5.61842,-0.0366211,0,5.61854,0.5,0,30
5.6184,-0.0359005,0,5.61851,0.5,0,31
5.61817,-0.0292969,0,5.61824,0.5,0,32
5.61815,-0.0288195,0,5.61823,0.5,0,33
5.61798,-0.0219727,0,5.61802,0.5,0,34
5.61797,-0.0216762,0,5.61801,0.5,0,35
5.61786,-0.0146484,0,5.61788,0.5,0,36
5.61786,-0.0144682,0,5.61787,0.5,0,37
5.6178,-0.00732422,0,5.6178,0.5,0,38
5.61782,-0.00717885,0,5.61783,0.5,0,39
5.61984,0,0,5.61984,0.5,0,40
5.69601,-0.236612,0,5.70092,0.5,0,41
5.69824,-0.236991,0,5.70317,0.5,0,42
5.6938,-0.234375,0,5.69862,0.5,0,43
5.7128,-0.249112,0,5.71823,0.5,0,44
5.71289,-0.249112,0,5.71832,0.5,0,45
5.7128,-0.249023,0,5.71822,0.5,0,46
5.70444,-0.242822,0,5.70961,0.5,0,47
5.70557,-0.243614,0,5.71076,0.5,0,48
5.70307,-0.241699,0,5.70819,0.5,0,49
5.70031,-0.239632,0,5.70534,0.5,0,50
5.7019,-0.240791,0,5.70699,0.5,0,51
5.69824,-0.239652,0,5.70328,0.5,0,52
5.7025,-0.241106,0,5.70759,0.5,0,53
5.70859,-0.245996,0,5.71389,0.5,0,54
5.70923,-0.247813,0,5.7146,0.5,0,55
5.7079,-0.245361,0,5.71317,0.5,0,56
5.70669,-0.244237,0,5.71191,0.5,0,57
5.70981,-0.248444,0,5.71521,0.5,0,58
5.71249,-0.249023,0,5.71791,0.5,0,59
5.734,-0.264536,0,5.7401,0.5,0,60
5.73486,-0.264533,0,5.74096,0.5,0,61
5.73329,-0.263672,0,5.73935,0.5,0,62
5.73593,-0.266269,0,5.7421,0.5,0,63
5.73853,-0.267075,0,5.74474,0.5,0,64
5.73486,-0.265162,0,5.74099,0.5,0,65
5.74189,-0.26763,0,5.74813,0.5,0,66
5.74219,-0.268125,0,5.74844,0.5,0,67
5.73999,-0.267334,0,5.74621,0.5,0,68
5.73865,-0.267206,0,5.74487,0.5,0,69
5.71566,-0.249914,0,5.72112,0.5,0,70
5.71655,-0.250707,0,5.72205,0.5,0,71
5.71289,-0.249114,0,5.71832,0.5,0,72
5.71714,-0.252098,0,5.7227,0.5,0,73
5.72021,-0.252163,0,5.72577,0.5,0,74
5.72578,-0.258102,0,5.7316,0.5,0,75
5.72754,-0.258092,0,5.73335,0.5,0,76
5.72575,-0.256348,0,5.73149,0.5,0,77
5.72199,-0.254569,0,5.72765,0.5,0,78
5.72274,-0.256348,0,5.72847,0.5,0,79
5.72021,-0.254552,0,5.72588,0.5,0,80
5.7302,-0.261008,0,5.73614,0.5,0,81
5.72754,-0.260373,0,5.73345,0.5,0,82
5.8576,-0.353341,0,5.86824,0.5,0,83
5.85938,-0.354534,0,5.87009,0.5,0,84
5.85559,-0.351562,0,5.86614,0.5,0,85
5.77785,-0.29393,0,5.78532,0.5,0,86
5.77881,-0.294564,0,5.78631,0.5,0,87
5.77785,-0.292969,0,5.78527,0.5,0,88
5.7821,-0.297005,0,5.78972,0.5,0,89
5.78247,-0.2976,0,5.79012,0.5,0,90
5.78169,-0.296631,0,5.78929,0.5,0,91
5.78014,-0.295302,0,5.78768,0.5,0,92
5.78422,-0.298546,0,5.79192,0.5,0,93
5.78613,-0.299512,0,5.79388,0.5,0,94
5.79906,-0.309341,0,5.8073,0.5,0,95
5.80078,-0.310302,0,5.80907,0.5,0,96
5.79824,-0.307617,0,5.80639,0.5,0,97
5.79283,-0.30458,0,5.80083,0.5,0,98
5.79346,-0.304908,0,5.80148,0.5,0,99
5.79212,-0.303955,0,5.80009,0.5,0,100
5.79079,-0.302965,0,5.79871,0.5,0,101
