Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
14.7623,-0.296289,0,14.7653,0.5,0,0
14.7656,-0.296863,0,14.7686,0.5,0,1
14.7622,-0.292969,0,14.7651,0.5,0,2
14.721,-0.235028,0,14.7229,0.5,0,3
14.7217,-0.235965,0,14.7236,0.5,0,4
14.7208,-0.234375,0,14.7227,0.5,0,5
14.735,-0.257688,0,14.7372,0.5,0,6
14.7363,-0.259251,0,14.7386,0.5,0,7
14.7344,-0.256348,0,14.7366,0.5,0,8
14.7322,-0.253178,0,14.7343,0.5,0,9
14.7294,-0.249023,0,14.7315,0.5,0,10
14.7264,-0.244285,0,14.7284,0.5,0,11
14.729,-0.248392,0,14.7311,0.5,0,12
14.7249,-0.241699,0,14.7269,0.5,0,13
14.7237,-0.239643,0,14.7257,0.5,0,14
14.7293,-0.248723,0,14.7314,0.5,0,15
14.7501,-0.279201,0,14.7527,0.5,0,16
14.751,-0.279248,0,14.7536,0.5,0,17
14.7501,-0.27832,0,14.7527,0.5,0,18
14.7407,-0.266585,0,14.7431,0.5,0,19
14.7437,-0.269652,0,14.7461,0.5,0,20
14.7393,-0.263672,0,14.7417,0.5,0,21
14.7476,-0.274362,0,14.7502,0.5,0,22
14.7499,-0.27832,0,14.7525,0.5,0,23
14.7455,-0.270996,0,14.748,0.5,0,24
14.7443,-0.270319,0,14.7468,0.5,0,25
14.7569,-0.287068,0,14.7597,0.5,0,26
14.7571,-0.292969,0,14.7601,0.5,0,27
14.7515,-0.285645,0,14.7543,0.5,0,28
14.7512,-0.285443,0,14.7539,0.5,0,29
14.751,-0.284096,0,14.7537,0.5,0,30
14.7382,-0.261809,0,14.7405,0.5,0,31
14.7066,-0.205545,0,14.708,0.5,0,32
14.707,-0.20572,0,14.7085,0.5,0,33
14.7066,-0.205078,0,14.708,0.5,0,34
14.707,-0.2042,0,14.7084,0.5,0,35
14.7067,-0.205078,0,14.7081,0.5,0,36
14.7026,-0.194817,0,14.7039,0.5,0,37
14.707,-0.19595,0,14.7083,0.5,0,38
14.7009,-0.19043,0,14.7021,0.5,0,39
14.6989,-0.183915,0,14.7,0.5,0,40
14.6997,-0.186473,0,14.7009,0.5,0,41
14.6983,-0.183105,0,14.6995,0.5,0,42
14.6964,-0.179128,0,14.6975,0.5,0,43
14.696,-0.175781,0,14.6971,0.5,0,44
14.7007,-0.189462,0,14.7019,0.5,0,45
14.6916,-0.161942,0,14.6925,0.5,0,46
14.6924,-0.164761,0,14.6933,0.5,0,47
14.6914,-0.161133,0,14.6923,0.5,0,48
14.6924,-0.158023,0,14.6932,0.5,0,49
14.688,-0.150834,0,14.6888,0.5,0,50
14.6924,-0.15243,0,14.6932,0.5,0,51
14.6867,-0.146484,0,14.6874,0.5,0,52
14.6951,-0.1731,0,14.6961,0.5,0,53
14.6934,-0.168457,0,14.6944,0.5,0,54
14.6932,-0.167614,0,14.6942,0.5,0,55
14.685,-0.139207,0,14.6857,0.5,0,56
14.6851,-0.139386,0,14.6857,0.5,0,57
14.685,-0.13916,0,14.6857,0.5,0,58
14.6837,-0.133167,0,14.6843,0.5,0,59
14.6835,-0.131836,0,14.6841,0.5,0,60
14.6865,-0.145068,0,14.6872,0.5,0,61
14.6824,-0.127133,0,14.683,0.5,0,62
14.6819,-0.124512,0,14.6824,0.5,0,63
14.6813,-0.120961,0,14.6818,0.5,0,64
14.6807,-0.117188,0,14.6812,0.5,0,65
14.7135,-0.220569,0,14.7152,0.5,0,66
14.7144,-0.222147,0,14.716,0.5,0,67
14.7133,-0.219727,0,14.7149,0.5,0,68
14.7184,-0.230309,0,14.7202,0.5,0,69
14.7166,-0.227051,0,14.7183,0.5,0,70
14.7159,-0.225494,0,14.7176,0.5,0,71
14.7112,-0.215592,0,14.7127,0.5,0,72
14.707,-0.215015,0,14.7086,0.5,0,73
14.6775,-0.0734824,0,14.6777,0.5,0,74
14.6777,-0.0759062,0,14.6779,0.5,0,75
14.6775,-0.0732422,0,14.6777,0.5,0,76
14.6777,-0.0731005,0,14.6779,0.5,0,77
14.6776,-0.0732422,0,14.6778,0.5,0,78
14.6769,-0.0593989,0,14.677,0.5,0,79
14.6777,-0.0594472,0,14.6779,0.5,0,80
14.6769,-0.0585938,0,14.6771,0.5,0,81
14.6803,-0.114581,0,14.6808,0.5,0,82
14.6798,-0.109863,0,14.6802,0.5,0,83
14.6796,-0.108019,0,14.68,0.5,0,84
14.6791,-0.102539,0,14.6795,0.5,0,85
14.679,-0.101225,0,14.6794,0.5,0,86
14.6777,-0.101071,0,14.6781,0.5,0,87
14.6783,-0.0878906,0,14.6786,0.5,0,88
14.6777,-0.0885604,0,14.678,0.5,0,89
14.6783,-0.0873592,0,14.6785,0.5,0,90
14.6777,-0.0873546,0,14.678,0.5,0,91
14.6756,-0.0460825,0,14.6757,0.5,0,92
14.6762,-0.0585938,0,14.6763,0.5,0,93
14.6757,-0.0439453,0,14.6757,0.5,0,94
14.6777,-0.0418401,0,14.6778,0.5,0,95
14.6762,-0.0439453,0,14.6763,0.5,0,96
14.6753,-0.0317575,0,14.6753,0.5,0,97
14.6777,-0.0327082,0,14.6778,0.5,0,98
14.6752,-0.0292969,0,14.6752,0.5,0,99
14.6777,-0.0249505,0,14.6778,0.5,0,100
14.6748,-0.017598,0,14.6748,0.5,0,101
14.6777,-0.0192922,0,14.6777,0.5,0,102
14.6747,-0.0146484,0,14.6747,0.5,0,103
14.6777,-0.00915916,0,14.6777,0.5,0,104
14.6745,-0.00323691,0,14.6745,0.5,0,105
14.6777,-0.00560236,0,14.6777,0.5,0,106
14.6745,0,0,14.6745,0.5,0,107
14.8223,-0.360797,0,14.8267,0.5,0,108
14.8242,-0.362529,0,14.8287,0.5,0,109
14.8208,-0.358887,0,14.8251,0.5,0,110
14.819,-0.356767,0,14.8233,0.5,0,111
14.8188,-0.351562,0,14.823,0.5,0,112
14.874,-0.411667,0,14.8797,0.5,0,113
14.8755,-0.41277,0,14.8812,0.5,0,114
14.8727,-0.410156,0,14.8783,0.5,0,115
14.8817,-0.41864,0,14.8875,0.5,0,116
14.8828,-0.419373,0,14.8887,0.5,0,117
14.8807,-0.41748,0,14.8865,0.5,0,118
14.878,-0.414962,0,14.8838,0.5,0,119
14.8442,-0.382881,0,14.8491,0.5,0,120
14.8462,-0.384636,0,14.8512,0.5,0,121
14.8424,-0.380859,0,14.8473,0.5,0,122
14.8516,-0.390142,0,14.8567,0.5,0,123
14.8535,-0.391798,0,14.8587,0.5,0,124
14.8498,-0.388184,0,14.8549,0.5,0,125
14.8481,-0.38627,0,14.8531,0.5,0,126
14.8295,-0.368232,0,14.8341,0.5,0,127
14.8315,-0.370046,0,14.8362,0.5,0,128
14.8278,-0.366211,0,14.8323,0.5,0,129
14.8368,-0.375583,0,14.8416,0.5,0,130
14.8389,-0.37738,0,14.8437,0.5,0,131
14.835,-0.373535,0,14.8397,0.5,0,132
14.8334,-0.371674,0,14.8381,0.5,0,133
14.8261,-0.364286,0,14.8306,0.5,0,134
14.8407,-0.378981,0,14.8456,0.5,0,135
14.859,-0.39737,0,14.8643,0.5,0,136
14.8608,-0.398901,0,14.8662,0.5,0,137
14.8573,-0.395508,0,14.8626,0.5,0,138
14.8664,-0.40455,0,14.8719,0.5,0,139
14.8682,-0.405903,0,14.8737,0.5,0,140
14.8649,-0.402832,0,14.8704,0.5,0,141
14.863,-0.400718,0,14.8684,0.5,0,142
14.8555,-0.393505,0,14.8607,0.5,0,143
14.8704,-0.407878,0,14.876,0.5,0,144
14.7875,-0.322407,0,14.791,0.5,0,145
14.7876,-0.322496,0,14.7911,0.5,0,146
14.7874,-0.322266,0,14.7909,0.5,0,147
14.791,-0.32617,0,14.7946,0.5,0,148
14.7949,-0.326202,0,14.7985,0.5,0,149
14.776,-0.311861,0,14.7793,0.5,0,150
14.7803,-0.313038,0,14.7836,0.5,0,151
14.7755,-0.307617,0,14.7787,0.5,0,152
14.7702,-0.303032,0,14.7733,0.5,0,153
14.7702,-0.307617,0,14.7734,0.5,0,154
14.7656,-0.302807,0,14.7687,0.5,0,155
14.7839,-0.318593,0,14.7874,0.5,0,156
14.7803,-0.318583,0,14.7837,0.5,0,157
14.805,-0.341511,0,14.8089,0.5,0,158
14.8096,-0.341694,0,14.8135,0.5,0,159
14.8049,-0.336914,0,14.8088,0.5,0,160
14.7991,-0.332751,0,14.8028,0.5,0,161
14.7996,-0.336914,0,14.8035,0.5,0,162
14.7949,-0.331775,0,14.7986,0.5,0,163
14.8132,-0.347956,0,14.8173,0.5,0,164
14.8134,-0.351562,0,14.8176,0.5,0,165
14.8096,-0.347379,0,14.8136,0.5,0,166
14.9107,-0.440876,0,14.9172,0.5,0,167
14.9121,-0.441536,0,14.9186,0.5,0,168
14.9087,-0.439453,0,14.9152,0.5,0,169
14.8896,-0.425337,0,14.8957,0.5,0,170
14.8901,-0.425589,0,14.8962,0.5,0,171
14.8892,-0.424805,0,14.8952,0.5,0,172
14.8937,-0.428555,0,14.8999,0.5,0,173
14.8975,-0.43153,0,14.9037,0.5,0,174
14.8857,-0.421886,0,14.8917,0.5,0,175
14.9019,-0.434975,0,14.9083,0.5,0,176
14.9048,-0.436964,0,14.9112,0.5,0,177
14.8982,-0.432129,0,14.9045,0.5,0,178
14.8979,-0.43171,0,14.9041,0.5,0,179
14.9064,-0.437866,0,14.9128,0.5,0,180
14.9153,-0.443548,0,14.9219,0.5,0,181
14.9194,-0.445804,0,14.9261,0.5,0,182
14.9254,-0.448159,0,14.9321,0.5,0,183
14.9268,-0.448576,0,14.9335,0.5,0,184
14.9219,-0.446777,0,14.9286,0.5,0,185
14.9202,-0.446035,0,14.9268,0.5,0,186
14.9308,-0.450026,0,14.9376,0.5,0,187
14.9341,-0.450968,0,14.9409,0.5,0,188
14.9367,-0.451492,0,14.9435,0.5,0,189
14.9414,-0.45218,0,14.9482,0.5,0,190
14.9432,-0.452282,0,14.9501,0.5,0,191
14.9487,-0.452348,0,14.9556,0.5,0,192
14.9506,-0.452212,0,14.9575,0.5,0,193
14.9561,-0.451619,0,14.9629,0.5,0,194
14.9591,-0.451032,0,14.9659,0.5,0,195
14.9634,-0.450079,0,14.9701,0.5,0,196
14.9692,-0.448259,0,14.9759,0.5,0,197
14.9707,-0.447854,0,14.9774,0.5,0,198
14.973,-0.446777,0,14.9797,0.5,0,199
14.978,-0.444609,0,14.9846,0.5,0,200
14.9815,-0.443291,0,14.9881,0.5,0,201
14.9854,-0.441818,0,14.9919,0.5,0,202
14.99,-0.439453,0,14.9965,0.5,0,203
14.9927,-0.438031,0,14.9991,0.5,0,204
14.995,-0.437163,0,15.0013,0.5,0,205
15,-0.435009,0,15.0063,0.5,0,206
14.6777,0.00610169,0,14.6777,0.5,0,207
14.6744,0.0112974,0,14.6744,0.5,0,208
14.6777,0.00852028,0,14.6777,0.5,0,209
14.6744,0.0146484,0,14.6744,0.5,0,210
14.6777,0.0207088,0,14.6777,0.5,0,211
14.6748,0.0263706,0,14.6748,0.5,0,212
14.6777,0.0234862,0,14.6778,0.5,0,213
14.6752,0.0292969,0,14.6753,0.5,0,214
14.6743,0.0404876,0,14.6743,0.5,0,215
14.6734,0.0292969,0,14.6734,0.5,0,216
14.6745,0.0439453,0,14.6745,0.5,0,217
14.6777,0.0476725,0,14.6778,0.5,0,218
14.6752,0.0439453,0,14.6752,0.5,0,219
14.6752,0.0560683,0,14.6753,0.5,0,220
14.6777,0.05444,0,14.6778,0.5,0,221
14.6753,0.0585938,0,14.6754,0.5,0,222
14.6777,0.0618961,0,14.6779,0.5,0,223
14.6759,0.0713706,0,14.676,0.5,0,224
14.6777,0.0704864,0,14.6779,0.5,0,225
14.676,0.0732422,0,14.6761,0.5,0,226
14.6777,0.0753458,0,14.6779,0.5,0,227
14.6767,0.0868946,0,14.677,0.5,0,228
14.6777,0.0866094,0,14.678,0.5,0,229
14.6768,0.0878906,0,14.6771,0.5,0,230
14.6777,0.0888374,0,14.678,0.5,0,231
14.6785,0.102539,0,14.6788,0.5,0,232
14.6777,0.0983647,0,14.6781,0.5,0,233
14.6781,0.102951,0,14.6785,0.5,0,234
14.6781,0.102539,0,14.6785,0.5,0,235
14.6777,0.103071,0,14.6781,0.5,0,236
14.6798,0.117188,0,14.6803,0.5,0,237
14.6777,0.114904,0,14.6782,0.5,0,238
14.6802,0.119628,0,14.6807,0.5,0,239
14.6777,0.122779,0,14.6782,0.5,0,240
14.6821,0.131836,0,14.6827,0.5,0,241
14.6777,0.125456,0,14.6783,0.5,0,242
14.683,0.137109,0,14.6836,0.5,0,243
14.683,0.13916,0,14.6837,0.5,0,244
14.685,0.146465,0,14.6858,0.5,0,245
14.685,0.146484,0,14.6858,0.5,0,246
14.6851,0.146532,0,14.6858,0.5,0,247
14.6872,0.153809,0,14.688,0.5,0,248
14.6874,0.156116,0,14.6882,0.5,0,249
14.6885,0.161133,0,14.6894,0.5,0,250
14.6924,0.165677,0,14.6933,0.5,0,251
14.6921,0.17554,0,14.6932,0.5,0,252
14.6924,0.175279,0,14.6934,0.5,0,253
14.6922,0.175781,0,14.6932,0.5,0,254
14.6924,0.176368,0,14.6934,0.5,0,255
14.6944,0.183105,0,14.6955,0.5,0,256
14.6951,0.185786,0,14.6962,0.5,0,257
14.6963,0.19043,0,14.6975,0.5,0,258
14.6977,0.195765,0,14.699,0.5,0,259
14.698,0.197754,0,14.6993,0.5,0,260
14.6997,0.20184,0,14.7011,0.5,0,261
14.7009,0.205078,0,14.7023,0.5,0,262
14.7033,0.208625,0,14.7047,0.5,0,263
14.7051,0.212402,0,14.7067,0.5,0,264
14.7048,0.217534,0,14.7064,0.5,0,265
14.7055,0.219727,0,14.7071,0.5,0,266
14.707,0.223103,0,14.7087,0.5,0,267
14.7088,0.227051,0,14.7105,0.5,0,268
14.7098,0.229771,0,14.7115,0.5,0,269
14.7115,0.234375,0,14.7134,0.5,0,270
14.7144,0.240207,0,14.7163,0.5,0,271
14.7153,0.241699,0,14.7173,0.5,0,272
14.7157,0.243058,0,14.7177,0.5,0,273
14.7185,0.249023,0,14.7207,0.5,0,274
14.7217,0.25455,0,14.7239,0.5,0,275
14.7228,0.256348,0,14.7251,0.5,0,276
14.7239,0.258548,0,14.7262,0.5,0,277
14.7266,0.263672,0,14.7289,0.5,0,278
14.729,0.267295,0,14.7314,0.5,0,279
14.7322,0.270996,0,14.7347,0.5,0,280
14.7352,0.277242,0,14.7379,0.5,0,281
