Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.86734,-0.320157,0,1.89459,0.5,0
1.875,-0.322792,0,1.90258,0.5,1
1.85973,-0.3125,0,1.8858,0.5,2
1.71839,-0.0882517,0,1.72065,0.5,3
1.71875,-0.0899253,0,1.7211,0.5,4
1.71835,-0.0878906,0,1.7206,0.5,5
1.71709,-0.0797822,0,1.71895,0.5,6
1.7171,-0.078125,0,1.71887,0.5,7
1.71425,-0.0630889,0,1.71542,0.5,8
1.71533,-0.078125,0,1.71711,0.5,9
1.71354,-0.0585938,0,1.71454,0.5,10
1.71079,-0.0470222,0,1.71144,0.5,11
1.71186,-0.0390625,0,1.7123,0.5,12
1.70898,-0.0373946,0,1.70939,0.5,13
1.70857,-0.0390625,0,1.70901,0.5,14
1.71139,-0.0292969,0,1.71165,0.5,15
1.71082,-0.0274565,0,1.71105,0.5,16
1.7106,-0.0195312,0,1.71071,0.5,17
1.71087,-0.0176446,0,1.71096,0.5,18
1.7108,-0.00976562,0,1.71083,0.5,19
1.71078,-0.00796722,0,1.7108,0.5,20
1.71276,0,0,1.71276,0.5,21
1.78484,-0.236641,0,1.80046,0.5,22
1.78711,-0.239235,0,1.80305,0.5,23
1.78384,-0.234375,0,1.79917,0.5,24
1.79263,-0.24839,0,1.80975,0.5,25
1.79688,-0.252265,0,1.8145,0.5,26
1.79055,-0.244141,0,1.80712,0.5,27
1.78925,-0.242005,0,1.80554,0.5,28
1.75568,-0.18768,0,1.76568,0.5,29
1.75781,-0.191231,0,1.76818,0.5,30
1.75492,-0.185547,0,1.7647,0.5,31
1.7524,-0.181196,0,1.76174,0.5,32
1.74949,-0.175781,0,1.7583,0.5,33
1.74605,-0.168009,0,1.75412,0.5,34
1.74805,-0.172449,0,1.75653,0.5,35
1.74276,-0.166016,0,1.75065,0.5,36
1.74054,-0.16376,0,1.74822,0.5,37
1.74032,-0.15625,0,1.74732,0.5,38
1.74916,-0.174665,0,1.75786,0.5,39
1.77351,-0.218677,0,1.78694,0.5,40
1.77734,-0.224571,0,1.79148,0.5,41
1.77112,-0.214844,0,1.78411,0.5,42
1.7661,-0.206559,0,1.77814,0.5,43
1.76758,-0.20871,0,1.77986,0.5,44
1.76382,-0.205078,0,1.77571,0.5,45
1.7607,-0.20219,0,1.77227,0.5,46
1.75986,-0.195312,0,1.77067,0.5,47
1.7701,-0.212323,0,1.78279,0.5,48
1.78125,-0.230466,0,1.7961,0.5,49
1.77737,-0.224609,0,1.7915,0.5,50
1.77736,-0.22459,0,1.7915,0.5,51
1.75931,-0.193813,0,1.76996,0.5,52
1.81573,-0.274117,0,1.8363,0.5,53
1.81641,-0.274532,0,1.83704,0.5,54
1.81534,-0.273438,0,1.83582,0.5,55
1.83544,-0.293469,0,1.85875,0.5,56
1.83594,-0.293469,0,1.85924,0.5,57
1.83544,-0.292969,0,1.85867,0.5,58
1.82554,-0.283831,0,1.84748,0.5,59
1.82617,-0.285534,0,1.84836,0.5,60
1.82515,-0.283203,0,1.84699,0.5,61
1.82178,-0.277833,0,1.84284,0.5,62
1.82939,-0.289751,0,1.85219,0.5,63
1.83489,-0.292969,0,1.85813,0.5,64
1.80648,-0.263834,0,1.82564,0.5,65
1.80664,-0.263936,0,1.82582,0.5,66
1.80623,-0.263672,0,1.82537,0.5,67
1.80052,-0.260027,0,1.8192,0.5,68
1.79818,-0.253906,0,1.81601,0.5,69
1.81228,-0.2678,0,1.83196,0.5,70
1.79776,-0.253026,0,1.81547,0.5,71
1.84097,-0.297703,0,1.86488,0.5,72
1.8457,-0.301414,0,1.87015,0.5,73
1.83594,-0.293665,0,1.85928,0.5,74
1.85039,-0.307808,0,1.87582,0.5,75
1.85547,-0.31048,0,1.88127,0.5,76
1.84651,-0.302734,0,1.87116,0.5,77
1.84617,-0.302265,0,1.87075,0.5,78
1.85674,-0.311225,0,1.88265,0.5,79
1.85674,-0.3125,0,1.88286,0.5,80
1.73699,-0.147772,0,1.74327,0.5,81
1.73828,-0.15081,0,1.74481,0.5,82
1.73668,-0.146484,0,1.74285,0.5,83
1.73423,-0.140772,0,1.73993,0.5,84
1.73258,-0.136719,0,1.73796,0.5,85
1.72662,-0.119084,0,1.73072,0.5,86
1.72852,-0.125064,0,1.73303,0.5,87
1.72626,-0.117188,0,1.73023,0.5,88
1.73195,-0.133282,0,1.73707,0.5,89
1.72919,-0.126953,0,1.73384,0.5,90
1.72898,-0.12649,0,1.7336,0.5,91
1.73982,-0.154715,0,1.74668,0.5,92
1.72438,-0.11156,0,1.72798,0.5,93
1.71875,-0.109612,0,1.72224,0.5,94
1.72029,-0.0976562,0,1.72306,0.5,95
1.71875,-0.101759,0,1.72176,0.5,96
1.72003,-0.0963752,0,1.72273,0.5,97
1.89059,-0.335975,0,1.92021,0.5,98
1.89453,-0.338546,0,1.92454,0.5,99
1.88482,-0.332031,0,1.91384,0.5,100
1.8787,-0.32833,0,1.90718,0.5,101
1.88477,-0.331994,0,1.91378,0.5,102
1.875,-0.32833,0,1.90353,0.5,103
1.88479,-0.332002,0,1.91381,0.5,104
