Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
2.49958,-0.25433,0,2.51248,0.5,0,0
2.5,-0.254695,0,2.51294,0.5,0,1
2.49942,-0.253906,0,2.51228,0.5,0,2
2.48743,-0.237182,0,2.49871,0.5,0,3
2.49023,-0.240792,0,2.50185,0.5,0,4
2.48623,-0.234375,0,2.49725,0.5,0,5
2.49781,-0.246327,0,2.50993,0.5,0,6
2.49464,-0.244141,0,2.50656,0.5,0,7
2.49168,-0.242692,0,2.50347,0.5,0,8
2.4604,-0.186089,0,2.46742,0.5,0,9
2.46094,-0.186988,0,2.46803,0.5,0,10
2.46029,-0.185547,0,2.46728,0.5,0,11
2.45751,-0.179205,0,2.46404,0.5,0,12
2.45608,-0.175781,0,2.46236,0.5,0,13
2.44912,-0.1583,0,2.45423,0.5,0,14
2.45117,-0.163716,0,2.45663,0.5,0,15
2.44864,-0.15625,0,2.45362,0.5,0,16
2.45528,-0.171673,0,2.46127,0.5,0,17
2.4522,-0.166016,0,2.45781,0.5,0,18
2.45181,-0.165373,0,2.45739,0.5,0,19
2.48033,-0.224752,0,2.49049,0.5,0,20
2.48047,-0.224907,0,2.49064,0.5,0,21
2.48029,-0.224609,0,2.49044,0.5,0,22
2.47675,-0.218561,0,2.48638,0.5,0,23
2.47468,-0.214844,0,2.48398,0.5,0,24
2.46999,-0.205793,0,2.47855,0.5,0,25
2.4707,-0.206934,0,2.47935,0.5,0,26
2.46938,-0.205078,0,2.47788,0.5,0,27
2.46574,-0.200273,0,2.47386,0.5,0,28
2.46471,-0.195312,0,2.47244,0.5,0,29
2.47362,-0.211925,0,2.48268,0.5,0,30
2.48403,-0.230815,0,2.49473,0.5,0,31
2.46358,-0.192669,0,2.4711,0.5,0,32
2.4214,-0.0297692,0,2.42159,0.5,0,33
2.42188,-0.0375668,0,2.42217,0.5,0,34
2.42139,-0.0292969,0,2.42157,0.5,0,35
2.42091,-0.0204946,0,2.421,0.5,0,36
2.42086,-0.0195312,0,2.42094,0.5,0,37
2.42188,-0.0183183,0,2.42194,0.5,0,38
2.42031,-0.00156635,0,2.42031,0.5,0,39
2.42188,-0.00179938,0,2.42188,0.5,0,40
2.42028,0,0,2.42028,0.5,0,41
2.43725,-0.121343,0,2.44027,0.5,0,42
2.44141,-0.121833,0,2.44444,0.5,0,43
2.43597,-0.117188,0,2.43879,0.5,0,44
2.44653,-0.151128,0,2.45119,0.5,0,45
2.44141,-0.150214,0,2.44602,0.5,0,46
2.44168,-0.136719,0,2.4455,0.5,0,47
2.44141,-0.137219,0,2.44526,0.5,0,48
2.44182,-0.136305,0,2.44562,0.5,0,49
2.44182,-0.136719,0,2.44564,0.5,0,50
2.44141,-0.135917,0,2.44519,0.5,0,51
2.43124,-0.0980524,0,2.43322,0.5,0,52
2.43164,-0.0998307,0,2.43369,0.5,0,53
2.4312,-0.0976562,0,2.43316,0.5,0,54
2.43582,-0.113011,0,2.43844,0.5,0,55
2.43372,-0.107422,0,2.43609,0.5,0,56
2.43293,-0.106129,0,2.43525,0.5,0,57
2.42953,-0.0900056,0,2.43119,0.5,0,58
2.42778,-0.0878906,0,2.42937,0.5,0,59
2.42849,-0.0812792,0,2.42985,0.5,0,60
2.42822,-0.078125,0,2.42948,0.5,0,61
2.4273,-0.0726952,0,2.42839,0.5,0,62
2.42696,-0.078125,0,2.42822,0.5,0,63
2.4239,-0.0585938,0,2.4246,0.5,0,64
2.42369,-0.0567748,0,2.42436,0.5,0,65
2.42205,-0.0390625,0,2.42237,0.5,0,66
2.42196,-0.038977,0,2.42227,0.5,0,67
2.42196,-0.0390625,0,2.42228,0.5,0,68
2.55499,-0.3161,0,2.57447,0.5,0,69
2.55859,-0.319555,0,2.57847,0.5,0,70
2.55499,-0.3125,0,2.57403,0.5,0,71
2.57585,-0.334304,0,2.59745,0.5,0,72
2.57812,-0.334304,0,2.59971,0.5,0,73
2.57316,-0.332031,0,2.59449,0.5,0,74
2.56499,-0.325634,0,2.58558,0.5,0,75
2.56836,-0.328394,0,2.58927,0.5,0,76
2.56139,-0.322266,0,2.58158,0.5,0,77
2.56014,-0.320722,0,2.58015,0.5,0,78
2.57061,-0.329785,0,2.59167,0.5,0,79
2.60281,-0.356175,0,2.62707,0.5,0,80
2.60742,-0.358051,0,2.63189,0.5,0,81
2.59812,-0.351562,0,2.6218,0.5,0,82
2.6152,-0.363313,0,2.64032,0.5,0,83
2.61719,-0.364138,0,2.6424,0.5,0,84
2.61262,-0.361328,0,2.63749,0.5,0,85
2.60954,-0.359214,0,2.63414,0.5,0,86
2.58678,-0.342903,0,2.60941,0.5,0,87
2.59766,-0.350907,0,2.62125,0.5,0,88
2.57812,-0.338213,0,2.60021,0.5,0,89
2.5979,-0.351316,0,2.62155,0.5,0,90
2.59766,-0.351316,0,2.62131,0.5,0,91
2.6337,-0.374108,0,2.66014,0.5,0,92
2.63672,-0.375687,0,2.66335,0.5,0,93
2.62833,-0.371094,0,2.6544,0.5,0,94
2.62141,-0.36687,0,2.64696,0.5,0,95
2.62695,-0.370324,0,2.65293,0.5,0,96
2.62754,-0.370508,0,2.65353,0.5,0,97
2.64641,-0.380931,0,2.67369,0.5,0,98
2.64648,-0.380972,0,2.67376,0.5,0,99
2.64632,-0.380859,0,2.67359,0.5,0,100
2.64058,-0.376993,0,2.66736,0.5,0,101
2.65576,-0.381352,0,2.683,0.5,0,102
2.65625,-0.381894,0,2.68356,0.5,0,103
2.67346,-0.392949,0,2.70218,0.5,0,104
2.67578,-0.392941,0,2.70448,0.5,0,105
2.67343,-0.390625,0,2.70182,0.5,0,106
2.68638,-0.399558,0,2.71593,0.5,0,107
2.69531,-0.400628,0,2.72492,0.5,0,108
2.67578,-0.395854,0,2.7049,0.5,0,109
2.7004,-0.405065,0,2.73062,0.5,0,110
2.70182,-0.410156,0,2.73278,0.5,0,111
2.69531,-0.40541,0,2.72563,0.5,0,112
2.71299,-0.410156,0,2.74382,0.5,0,113
2.71484,-0.409418,0,2.74554,0.5,0,114
2.72304,-0.41173,0,2.75399,0.5,0,115
2.72461,-0.411998,0,2.75558,0.5,0,116
2.71763,-0.410156,0,2.74841,0.5,0,117
2.73073,-0.4138,0,2.76191,0.5,0,118
2.73438,-0.41475,0,2.76565,0.5,0,119
2.71547,-0.409526,0,2.74618,0.5,0,120
2.66073,-0.386148,0,2.6886,0.5,0,121
2.66636,-0.390625,0,2.69482,0.5,0,122
2.65625,-0.386229,0,2.68418,0.5,0,123
2.74031,-0.413987,0,2.7714,0.5,0,124
2.74414,-0.415433,0,2.77541,0.5,0,125
2.74681,-0.417255,0,2.77832,0.5,0,126
2.75391,-0.416081,0,2.78516,0.5,0,127
2.76409,-0.419509,0,2.79574,0.5,0,128
2.77344,-0.422233,0,2.80539,0.5,0,129
2.75391,-0.420466,0,2.78582,0.5,0,130
2.77959,-0.423539,0,2.81167,0.5,0,131
2.79297,-0.423161,0,2.82484,0.5,0,132
2.79689,-0.425765,0,2.82911,0.5,0,133
2.79906,-0.429688,0,2.83185,0.5,0,134
2.79297,-0.426181,0,2.8253,0.5,0,135
2.80699,-0.429688,0,2.83969,0.5,0,136
2.8125,-0.426595,0,2.84467,0.5,0,137
2.51486,-0.278106,0,2.53019,0.5,0,138
2.51953,-0.278823,0,2.53491,0.5,0,139
2.51475,-0.273438,0,2.52957,0.5,0,140
2.53532,-0.296714,0,2.55262,0.5,0,141
2.53906,-0.296714,0,2.55634,0.5,0,142
2.53153,-0.292969,0,2.54842,0.5,0,143
2.52557,-0.286933,0,2.54181,0.5,0,144
2.5293,-0.290758,0,2.54595,0.5,0,145
2.51953,-0.286675,0,2.53579,0.5,0,146
2.53056,-0.29171,0,2.54731,0.5,0,147
2.50782,-0.26562,0,2.52185,0.5,0,148
2.50799,-0.273438,0,2.52285,0.5,0,149
