Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.0568077,0.99836,-0.000125408,0.999975,4.82591,-0.47564,0,4.84929,113.955,0.5,0,12,-2732.72,-113.955,-0.891422,0.130416,-0.000677788,0.900912,0,0,1
0.0807784,0.996416,-0.000103625,0.999685,4.82454,-0.475505,0,4.84792,112.849,0.5,0,12,-2669.88,-112.849,-0.88892,0.17732,-0.000886076,0.906433,0,1,1
0.10481,0.994467,-0.000125962,0.999975,4.82317,-0.475369,0,4.84654,111.741,0.5,0,12,-2607.01,-111.741,-0.886434,0.224303,-0.000767647,0.914373,0,2,1
-0.0301795,0.999519,-0.000111398,0.999974,4.8308,-0.475699,0,4.85416,113.6,0.5,0,12,-2600.44,-113.6,-0.867691,-0.0296412,-0.000487774,0.868197,0,3,1
0.0133159,0.99894,-0.000118401,0.999028,4.82835,-0.47567,0,4.85173,113.773,0.5,0,12,-2666.31,-113.773,-0.87957,0.050357,-0.000319288,0.88101,0,4,1
-0.0686,0.996875,-0.000149743,0.999233,4.83312,-0.475534,0,4.85646,111.991,0.5,0,12,-2417.9,-111.991,-0.842129,-0.100948,-0.000621852,0.848158,0,5,1
-0.106968,0.994237,-9.76317e-05,0.999975,4.83544,-0.475369,0,4.85876,110.371,0.5,0,12,-2234.67,-110.371,-0.816612,-0.172174,-0.000268729,0.834565,0,6,1
0.402033,0.915606,-3.93854e-05,0.999982,4.80147,-0.47054,0,4.82447,56.5283,0.5,0,12,-384.76,-56.5267,-0.515798,0.70332,-0.000961555,0.872185,0,7,1
0.402595,0.915358,-2.82275e-05,0.999982,4.80136,-0.470492,0,4.82436,56.2787,0.5,0,12,-379.126,-56.2778,-0.51258,0.704848,-0.000976708,0.871522,0,8,1
0.403159,0.915111,-3.91172e-05,0.999982,4.80125,-0.470443,0,4.82424,56.0284,0.5,0,12,-373.473,-56.0284,-0.509355,0.706382,-0.000963361,0.870873,0,9,1
0.339731,0.940504,-5.42675e-05,0.999982,4.80636,-0.472324,0,4.82951,63.5441,0.5,0,12,-549.719,-63.5441,-0.634931,0.604386,-0.000932611,0.876595,0,10,1
0.370881,0.928055,-4.68837e-05,0.999419,4.80391,-0.471432,0,4.82699,60.0363,0.5,0,12,-467.15,-60.0355,-0.575362,0.653876,-0.000594335,0.870974,0,11,1
0.248513,0.968613,-7.23528e-05,0.999985,4.81124,-0.473487,0,4.83449,72.3726,0.5,0,12,-812.772,-72.3726,-0.733674,0.530008,-0.000934706,0.905089,0,12,1
0.29412,0.954558,0.000161317,0.998843,4.8088,-0.472905,0,4.832,67.9605,0.5,0,12,-681.327,-67.9605,-0.684309,0.567224,-0.000537023,0.888832,0,13,1
0.194319,0.980919,-9.96019e-05,0.999981,4.81613,-0.474383,0,4.83944,89.8457,0.5,0,12,-1569.42,-89.8457,-0.816587,0.439394,-0.000908939,0.927299,0,14,1
0.221414,0.974766,-0.000359108,0.999596,4.81369,-0.473935,0,4.83696,81.1123,0.5,0,12,-1191.45,-81.1123,-0.775161,0.484721,-0.000368973,0.914237,0,15,1
0.139581,0.990186,-0.000124009,0.999976,4.82102,-0.47516,0,4.84438,107.815,0.5,0,12,-2443.27,-107.815,-0.877357,0.296972,-0.000827798,0.926255,0,16,1
0.166953,0.985552,-0.000534278,0.999593,4.81858,-0.474771,0,4.84191,98.8346,0.5,0,12,-2006.74,-98.8346,-0.847001,0.368178,-0.000281044,0.923561,0,17,1
0.122171,0.992329,-0.000201201,0.999821,4.82209,-0.475265,0,4.84546,109.782,0.5,0,12,-2525.33,-109.782,-0.881912,0.26057,-0.000617807,0.919601,0,18,1
-0.108864,0.99403,-9.00112e-05,0.999974,4.83557,-0.475361,0,4.85887,110.19,0.5,0,12,-2222.33,-110.19,-0.815032,-0.175824,-0.000252575,0.833781,0,19,1
-0.110707,0.993828,-9.65986e-05,0.999975,4.83568,-0.475352,0,4.85899,110.014,0.5,0,12,-2210.38,-110.014,-0.813495,-0.17937,-0.000256342,0.833035,0,20,1
-0.164876,0.986294,-8.99916e-05,0.99998,4.84057,-0.474685,0,4.86379,95.2222,0.5,0,12,-1348.44,-95.2222,-0.718551,-0.296828,3.60445e-05,0.777446,0,21,1
-0.137795,0.990061,0.000233358,0.999604,4.83813,-0.475019,0,4.86139,102.612,0.5,0,12,-1778.96,-102.612,-0.766019,-0.238083,0.000109448,0.802165,0,22,1
-0.196803,0.980427,-0.000100557,0.999984,4.84546,-0.47391,0,4.86858,80.5675,0.5,0,12,-584.092,-80.5675,-0.616789,-0.361573,0.000339183,0.714957,0,23,1
-0.180846,0.983359,0.000305437,0.99985,4.84302,-0.474298,0,4.86619,87.8925,0.5,0,12,-966.193,-87.8925,-0.667666,-0.329165,0.000382467,0.744398,0,24,1
-0.246936,0.969015,-0.000145675,0.999984,4.85035,-0.473053,0,4.87336,74.99,0.5,0,12,-406.499,-74.99,-0.509322,-0.395571,0.000631831,0.644892,0,25,1
-0.221879,0.974718,-0.000163445,0.999653,4.8479,-0.473481,0,4.87097,77.782,0.5,0,12,-495.533,-77.782,-0.563048,-0.378539,0.000653788,0.678465,0,26,1
-0.318113,0.94803,-0.000221921,0.999979,4.85524,-0.471907,0,4.87812,73.068,0.5,0,12,-431.128,-73.068,-0.385391,-0.445555,0.000879551,0.589107,0,27,1
-0.282525,0.958521,-0.000607071,0.999291,4.85279,-0.47248,0,4.87574,74.0375,0.5,0,12,-419.019,-74.0375,-0.447326,-0.420548,0.000986378,0.613972,0,28,1
-0.331345,0.943384,-0.000295853,0.999881,4.85747,-0.471175,0,4.88027,69.4443,0.5,0,12,-285.631,-69.4443,-0.326011,-0.467953,0.00075724,0.570319,0,29,1
-0.344542,0.938749,-0.000254951,0.99998,4.8597,-0.470443,0,4.88242,65.8448,0.5,0,12,-140.366,-65.8448,-0.266557,-0.490347,0.00101686,0.558116,0,30,1
0.476589,0.879108,-4.28001e-05,0.999984,4.79169,-0.466558,0,4.81435,23.5219,0.5,0,12,255.999,-23.5219,-0.2688,0.783895,-0.000806084,0.828701,0,31,1
0.48299,0.875577,-3.11693e-05,0.999958,4.79072,-0.466038,0,4.81333,21.5198,0.5,0,12,260.528,-21.5198,-0.242425,0.78862,-0.00089535,0.82504,0,32,1
0.489393,0.872046,-4.94404e-05,0.999984,4.78975,-0.465517,0,4.81231,19.5166,0.5,0,12,265.088,-19.5166,-0.216032,0.793354,-0.000763015,0.822241,0,33,1
0.418122,0.908376,-3.21073e-05,0.999986,4.79658,-0.468601,0,4.81942,37.7539,0.5,0,12,44.5833,-37.7539,-0.387071,0.757329,-0.000897914,0.850512,0,34,1
0.447353,0.893743,0.00011724,0.999451,4.79414,-0.46758,0,4.81688,30.6384,0.5,0,12,150.384,-30.6384,-0.327928,0.770628,-0.000566577,0.837499,0,35,1
0.410637,0.911745,-0.00037359,0.99995,4.79892,-0.469522,0,4.82183,46.8922,0.5,0,12,-164.379,-46.8922,-0.448216,0.73187,-0.000556704,0.858214,0,36,1
-0.344019,0.938941,-0.000211203,0.99998,4.85991,-0.470366,0,4.88262,65.0675,0.5,0,12,-120.276,-65.0675,-0.260675,-0.491654,0.00104786,0.556485,0,37,1
-0.343502,0.939131,-0.000254676,0.99998,4.86012,-0.47029,0,4.88282,64.2955,0.5,0,12,-100.338,-64.2955,-0.254859,-0.492946,0.00103382,0.554932,0,38,1
-0.327705,0.944764,-0.00022173,0.999985,4.86501,-0.468773,0,4.88754,50.1801,0.5,0,12,200.724,-50.1801,-0.145721,-0.47691,0.00102628,0.498677,0,39,1
