Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.384933,0.922924,-0.000265714,0.999981,2.69069,-0.475644,0,2.73241,59.9083,0.5,0,12,-413.366,-59.4563,-0.605447,0.749916,0.000251483,0.963815,0,0,1
0.386464,0.922283,-0.0002162,0.99998,2.69037,-0.475507,0,2.73207,58.4969,0.5,0,12,-387.302,-58.2702,-0.595319,0.755151,0.000198742,0.961591,0,1,1
0.388003,0.921638,-0.000259765,0.999982,2.69005,-0.475369,0,2.73173,57.0775,0.5,0,12,-361.091,-57.0775,-0.585145,0.760415,0.000243901,0.959493,0,2,1
0.310702,0.95049,-0.000282528,0.999984,2.69558,-0.477269,0,2.73751,70.3066,0.5,0,12,-717.462,-70.3066,-0.733619,0.614143,0.000304033,0.956749,0,3,1
0.347828,0.936703,-8.16004e-05,0.999198,2.69314,-0.476457,0,2.73496,65.1108,0.5,0,12,-565.443,-64.8841,-0.669531,0.68203,0.000511286,0.955739,0,4,1
0.20918,0.977863,-0.000293985,0.999986,2.70047,-0.478278,0,2.7425,79.052,0.5,0,12,-963.92,-79.052,-0.842852,0.521106,0.000395519,0.990934,0,5,1
0.259933,0.964178,-7.86902e-05,0.998601,2.69803,-0.477774,0,2.74,74.6789,0.5,0,12,-840.717,-74.6789,-0.788238,0.567606,0.000627988,0.971337,0,6,1
0.139499,0.990205,-0.000349277,0.999983,2.70536,-0.478957,0,2.74743,99.9385,0.5,0,12,-2024.95,-99.9385,-0.928132,0.412452,0.000531323,1.01565,0,7,1
0.174331,0.984034,-0.000573408,0.999357,2.70292,-0.478618,0,2.74496,89.4893,0.5,0,12,-1494.22,-89.4893,-0.885497,0.466778,0.000911799,1.00099,0,8,1
0.0670917,0.997726,-0.000404944,0.999979,2.71025,-0.479402,0,2.75232,119.664,0.5,0,12,-3231.02,-119.664,-0.974845,0.230224,0.000701728,1.00166,0,9,1
0.103302,0.993963,-0.000704583,0.999317,2.70781,-0.479179,0,2.74988,109.798,0.5,0,12,-2627.81,-109.798,-0.951491,0.321356,0.00111883,1.00429,0,10,1
-0.0236144,0.999699,-0.000405952,0.999978,2.71514,-0.479496,0,2.75715,125.092,0.5,0,12,-3467.1,-125.092,-0.965769,0.0265301,0.000855734,0.966133,0,11,1
0.021754,0.998712,-0.000509784,0.998949,2.7127,-0.479449,0,2.75474,122.378,0.5,0,12,-3348.94,-122.378,-0.970307,0.128391,0.00121023,0.978765,0,12,1
-0.103778,0.99458,-0.000347517,0.99998,2.72003,-0.479211,0,2.76192,114.871,0.5,0,12,-2549.19,-114.871,-0.899576,-0.159575,0.000938042,0.91362,0,13,1
-0.0636835,0.997141,-0.000222249,0.999173,2.71759,-0.479353,0,2.75954,119.984,0.5,0,12,-3008.24,-119.984,-0.932671,-0.0664989,0.00140291,0.93504,0,14,1
-0.16107,0.986927,-0.000253927,0.999984,2.72492,-0.478663,0,2.76664,100.186,0.5,0,12,-1402.36,-100.186,-0.796758,-0.273052,0.000913372,0.842248,0,15,1
-0.132426,0.990755,7.56842e-05,0.999566,2.72248,-0.478937,0,2.76428,107.535,0.5,0,12,-1976.22,-107.535,-0.848174,-0.216296,0.00130868,0.875319,0,16,1
-0.229815,0.973217,-0.000195177,0.999983,2.72981,-0.477919,0,2.77133,96.4088,0.5,0,12,-1179.4,-96.4088,-0.668025,-0.347606,0.00084815,0.753052,0,17,1
-0.195451,0.980071,-0.000343564,0.99937,2.72737,-0.478291,0,2.76899,98.3037,0.5,0,12,-1291.36,-98.3037,-0.732406,-0.310343,0.00119081,0.795445,0,18,1
-0.317692,0.94817,-0.000144378,0.999977,2.7347,-0.476812,0,2.77596,94.4404,0.5,0,12,-1096.74,-94.4404,-0.50958,-0.447013,0.000797104,0.677859,0,19,1
-0.27375,0.960695,-0.000603262,0.998937,2.73226,-0.477366,0,2.77364,95.4261,0.5,0,12,-1138.16,-95.4261,-0.588815,-0.397339,0.00125144,0.71034,0,20,1
-0.333913,0.942422,-6.04938e-05,0.999828,2.73686,-0.47609,0,2.77796,88.0315,0.5,0,12,-723.36,-88.0315,-0.436287,-0.486687,0.000392242,0.653613,0,21,1
-0.350127,0.936677,-8.36498e-05,0.999977,2.73902,-0.475369,0,2.77996,81.6214,0.5,0,12,-349.664,-81.6214,-0.363033,-0.526387,0.000723731,0.639434,0,22,1
0.464183,0.885719,-0.000243854,0.999982,2.68091,-0.471886,0,2.72212,18.0159,0.5,0,12,444.276,-15.9501,-0.339536,0.830248,7.96181e-05,0.896993,0,23,1
0.47504,0.879858,-0.000118328,0.999907,2.67953,-0.471165,0,2.72064,15.3872,0.5,0,12,436.452,-12.5233,-0.303084,0.839182,-0.000125268,0.892237,0,24,1
0.48591,0.873991,-0.000242713,0.999984,2.67814,-0.470443,0,2.71915,12.7635,0.5,0,12,428.828,-9.09452,-0.266614,0.848114,3.57826e-05,0.889033,0,25,1
