Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
14.9733,-0.307882,0,14.9765,14.1668,0.5,0,12,-14.8988,14.1668,1.28284,-0.219869,-0.00033455,1.30155,0,0,1
14.9765,-0.312172,0,14.9798,11.7603,0.5,0,12,8.48421,11.7603,1.2777,-0.204222,-0.000188878,1.29392,0,1,1
14.9716,-0.305662,0,14.9747,14.462,0.5,0,12,-14.4975,14.462,1.28044,-0.228192,-0.000200685,1.30061,0,2,1
14.977,-0.312808,0,14.9803,11.2801,0.5,0,12,12.5455,11.2801,1.27651,-0.202291,-9.41798e-05,1.29244,0,3,1
14.9696,-0.302956,0,14.9727,13.8256,0.5,0,12,-7.96331,13.8256,1.27955,-0.237872,-0.000132358,1.30148,0,4,1
14.9806,-0.317734,0,14.984,10.0288,0.5,0,12,18.6709,10.0288,1.25567,-0.191695,0.000384226,1.27022,0,5,1
14.9814,-0.318704,0,14.9848,10.4569,0.5,0,12,15.3244,10.4569,1.2527,-0.188706,0.000415905,1.26683,0,6,1
14.9667,-0.298913,0,14.9697,13.1466,0.5,0,12,10.5517,13.1466,1.28664,-0.245178,-7.94274e-05,1.30979,0,7,1
14.9661,-0.29803,0,14.969,12.9836,0.5,0,12,12.4832,12.9836,1.28898,-0.247185,-9.51385e-05,1.31247,0,8,1
14.9845,-0.32266,0,14.9879,12.4214,0.5,0,12,-5.62456,12.4214,1.24459,-0.172693,0.000686945,1.25651,0,9,1
14.9863,-0.324851,0,14.9898,12.7844,0.5,0,12,-6.04732,12.7844,1.2421,-0.15964,0.000795556,1.25232,0,10,1
14.9628,-0.293103,0,14.9657,15.9057,0.5,0,12,-14.5635,15.9057,1.29879,-0.256054,-0.000131884,1.32379,0,11,1
14.9618,-0.29175,0,14.9647,16.6592,0.5,0,12,-19.8419,16.6592,1.29692,-0.260278,-0.000111003,1.32278,0,12,1
14.9594,-0.288177,0,14.9622,16.6128,0.5,0,12,-19.396,16.6128,1.29262,-0.272396,-4.84877e-05,1.32101,0,13,1
14.9885,-0.327586,0,14.9921,11.4922,0.5,0,12,0.869174,11.4922,1.23997,-0.141488,0.00101989,1.24802,0,14,1
14.9912,-0.330776,0,14.9948,9.70527,0.5,0,12,19.3952,9.70527,1.22657,-0.120205,0.00100432,1.23245,0,15,1
14.957,-0.284478,0,14.9597,15.9539,0.5,0,12,3.84968,15.9539,1.29484,-0.279487,-3.25388e-06,1.32466,0,16,1
14.9561,-0.283251,0,14.9588,15.4997,0.5,0,12,8.51205,15.4997,1.29706,-0.282136,-3.5296e-06,1.32739,0,17,1
14.9927,-0.332512,0,14.9963,7.91393,0.5,0,12,29.338,7.91393,1.21817,-0.110971,0.0009001,1.22321,0,18,1
14.9961,-0.336558,0,14.9998,7.36695,0.5,0,12,31.8515,7.36695,1.18882,-0.0919784,0.000734214,1.19238,0,19,1
14.9531,-0.278325,0,14.9557,18.2777,0.5,0,12,-21.2743,18.2777,1.30385,-0.288243,-4.08689e-05,1.33533,0,20,1
14.9521,-0.276754,0,14.9546,18.9173,0.5,0,12,-24.2431,18.9173,1.30076,-0.292271,-4.86298e-05,1.33319,0,21,1
14.9499,-0.273399,0,14.9524,18.0168,0.5,0,12,-16.1066,18.0168,1.29541,-0.301669,-5.748e-05,1.33008,0,22,1
14.9968,-0.337438,0,15.0006,7.2521,0.5,0,12,30.3518,7.2521,1.18224,-0.0886868,0.000836367,1.18556,0,23,1
15.0009,-0.342238,0,15.0049,12.0377,0.5,0,12,-8.25935,12.0377,1.16064,-0.0699622,0.00149998,1.16275,0,24,1
14.9472,-0.268859,0,14.9496,18.4026,0.5,0,12,-4.96968,18.4026,1.30189,-0.307198,-5.50492e-05,1.33764,0,25,1
14.9469,-0.268473,0,14.9493,18.3387,0.5,0,12,-5.30745,18.3387,1.30267,-0.307989,-4.81054e-05,1.33859,0,26,1
15.0011,-0.342365,0,15.005,12.1448,0.5,0,12,-9.0881,12.1448,1.16024,-0.0692782,0.00153244,1.16231,0,27,1
15.0053,-0.347291,0,15.0094,14.1153,0.5,0,12,-24.4594,14.1153,1.16757,-0.0441348,0.00187463,1.16841,0,28,1
14.9441,-0.263547,0,14.9465,19.5092,0.5,0,12,-29.4103,19.5092,1.29907,-0.31676,0.000196434,1.33713,0,29,1
14.9423,-0.26045,0,14.9446,19.4127,0.5,0,12,-16.2109,19.4127,1.29607,-0.322595,0.000202443,1.33562,0,30,1
14.9412,-0.258621,0,14.9434,18.5186,0.5,0,12,-7.42268,18.5186,1.29674,-0.326133,0.000192713,1.33713,0,31,1
15.0058,-0.347833,0,15.0099,13.6913,0.5,0,12,-22.0701,13.6913,1.16849,-0.041739,0.00192891,1.16924,0,32,1
14.9386,-0.253695,0,14.9407,19.8785,0.5,0,12,-16.795,19.8785,1.29803,-0.329214,0.000119127,1.33913,0,33,1
14.9374,-0.251664,0,14.9395,20.3671,0.5,0,12,-15.9369,20.3671,1.29536,-0.332088,0.000103001,1.33726,0,34,1
14.9358,-0.248768,0,14.9379,19.3165,0.5,0,12,-8.8835,19.3165,1.29381,-0.337155,7.70167e-05,1.33702,0,35,1
15.0098,-0.352217,0,15.0139,8.39003,0.5,0,12,6.57229,8.39003,1.17554,-0.040183,0.00213921,1.17623,0,36,1
15.0107,-0.35326,0,15.0149,6.78183,0.5,0,12,10.3631,6.6718,1.17341,-0.0401914,0.00214075,1.1741,0,37,1
14.9333,-0.243842,0,14.9353,20.6222,0.5,0,12,-15.6072,20.6222,1.29497,-0.340502,1.56232e-05,1.33899,0,38,1
14.9325,-0.242442,0,14.9345,21.08,0.5,0,12,-16.5927,21.08,1.29312,-0.342105,7.7297e-06,1.33761,0,39,1
14.9307,-0.238916,0,14.9326,20.0649,0.5,0,12,-13.2791,20.0649,1.2903,-0.346932,2.90871e-06,1.33613,0,40,1
15.0143,-0.357143,0,15.0186,3.36643,0.5,0,12,11.6467,3.13087,1.16731,-0.0592696,0.00192038,1.16881,0,41,1
15.0156,-0.358477,0,15.0199,2.98844,0.5,0,12,9.4112,2.66399,1.16021,-0.0618554,0.00191037,1.16185,0,42,1
14.9333,0.243842,0,14.9353,20.6822,0.5,0,12,-15.9125,-20.6822,1.29432,0.341004,-9.81554e-05,1.33848,0,43,1
14.9325,0.24247,0,14.9345,21.1156,0.5,0,12,-16.7717,-21.1156,1.29249,0.342558,-9.73649e-05,1.33712,0,44,1
14.9358,0.248768,0,14.9378,19.441,0.5,0,12,-10.5892,-19.441,1.29351,0.337597,-7.19245e-05,1.33684,0,45,1
14.9374,0.251688,0,14.9395,20.5193,0.5,0,12,-18.1378,-20.5193,1.29551,0.332361,-4.43944e-05,1.33746,0,46,1
14.9307,0.238916,0,14.9326,20.0407,0.5,0,12,-13.1152,-20.0407,1.28963,0.347274,-8.49566e-05,1.33557,0,47,1
14.9283,-0.23399,0,14.9302,20.9343,0.5,0,12,-12.3722,20.9343,1.28822,-0.350233,9.59461e-06,1.33498,0,48,1
14.9276,-0.232671,0,14.9294,21.3145,0.5,0,12,-12.8576,21.3145,1.28699,-0.351202,-6.90213e-06,1.33405,0,49,1
