Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.238493,0.971122,3.58839e-05,0.999978,8.7157,-0.480375,0,8.72893,35.7209,0.5,0,12,-137.93,-34.8343,-0.681355,0.335419,-4.23673e-05,0.759441,0,0,1
0.238892,0.971024,5.13857e-05,0.999978,8.71555,-0.480335,0,8.72878,35.5816,0.5,0,12,-134.846,-34.601,-0.679955,0.337136,-5.82696e-05,0.758946,0,1,1
0.239291,0.970926,3.54871e-05,0.999978,8.7154,-0.480296,0,8.72862,35.4427,0.5,0,12,-131.77,-34.3684,-0.678559,0.338848,-4.4538e-05,0.75846,0,2,1
0.196554,0.980471,3.51346e-05,0.999979,8.72059,-0.481377,0,8.73386,46.5588,0.5,0,12,-232.522,-39.5555,-0.711601,0.262995,-1.29965e-05,0.758645,0,3,1
0.217522,0.975797,6.78014e-05,0.999748,8.71814,-0.480876,0,8.73139,41.1404,0.5,0,12,-185.228,-37.1957,-0.696479,0.299208,0.000170307,0.758029,0,4,1
0.14698,0.98912,2.82591e-05,0.999981,8.72547,-0.482073,0,8.73878,52.038,0.5,0,12,-284.368,-42.0162,-0.742646,0.196924,1.40515e-05,0.768311,0,5,1
0.171766,0.984796,0.000190911,0.999663,8.72303,-0.481725,0,8.73632,49.2984,0.5,0,12,-258.44,-40.7862,-0.727125,0.229959,0.000215445,0.762622,0,6,1
0.100322,0.994938,1.88388e-05,0.999983,8.73036,-0.482544,0,8.74369,54.8333,0.5,0,12,-327.171,-43.8494,-0.767159,0.138345,3.61812e-05,0.779533,0,7,1
0.123651,0.992029,0.000199539,0.999705,8.72792,-0.482308,0,8.74123,53.4355,0.5,0,12,-305.763,-42.9328,-0.754905,0.167635,0.000323949,0.773294,0,8,1
0.0595219,0.998211,9.32463e-06,0.999984,8.73525,-0.482841,0,8.74858,56.3846,0.5,0,12,-376.514,-45.5982,-0.779996,0.0853451,5.16754e-05,0.784651,0,9,1
