Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.349132,0.937056,-0.000207519,0.999983,5.05091,-0.470764,0,5.0728,122.88,0.5,0,12,-3187.8,-122.88,-0.469551,0.569564,-9.16142e-05,0.738161,0,0,1
0.356444,0.934266,-0.000171177,0.999953,5.05054,-0.470604,0,5.07241,120.972,0.5,0,12,-3060.47,-120.972,-0.454183,0.582898,-0.000223988,0.738953,0,1,1
0.363782,0.931467,-0.000202222,0.999984,5.05016,-0.470443,0,5.07203,119.057,0.5,0,12,-2932.71,-119.057,-0.438763,0.596277,-0.000108573,0.74031,0,2,1
0.203084,0.979144,-0.000203688,0.999983,5.0558,-0.472048,0,5.07779,138.694,0.5,0,12,-4547.28,-138.694,-0.585095,0.313215,5.05829e-05,0.663657,0,3,1
0.276117,0.958097,-0.000274328,0.997091,5.05335,-0.471406,0,5.07529,130.786,0.5,0,12,-3867.48,-130.786,-0.527317,0.441389,0.000873202,0.687668,0,4,1
0.0319072,0.999474,-0.000176692,0.999983,5.06068,-0.472499,0,5.08269,142.423,0.5,0,12,-4862.36,-142.423,-0.616168,0.0597766,0.00019949,0.61906,0,5,1
0.117496,0.98931,-0.000189085,0.996262,5.05824,-0.472273,0,5.08024,140.557,0.5,0,12,-4704.61,-140.557,-0.600618,0.186491,0.000881011,0.628905,0,6,1
-0.133242,0.991064,-0.000153512,0.999981,5.06557,-0.472303,0,5.08754,140.534,0.5,0,12,-4520.71,-140.534,-0.567613,-0.176449,0.000331594,0.594407,0,7,1
-0.0506681,0.99527,-0.000314126,0.996559,5.06313,-0.472401,0,5.08512,141.478,0.5,0,12,-4691.35,-141.478,-0.591865,-0.0583311,0.00101211,0.594734,0,8,1
-0.282407,0.959273,-0.000119839,0.999979,5.07046,-0.471407,0,5.09233,131.096,0.5,0,12,-3466.52,-131.096,-0.445714,-0.400106,0.000389907,0.598954,0,9,1
-0.207821,0.97517,-0.000291018,0.997069,5.06802,-0.471855,0,5.08993,135.818,0.5,0,12,-3993.77,-135.818,-0.506636,-0.288264,0.00117863,0.582905,0,10,1
-0.308259,0.950892,-0.000237516,0.99961,5.07189,-0.470925,0,5.0937,125.981,0.5,0,12,-3005.09,-125.981,-0.398169,-0.447464,1.55309e-05,0.598968,0,11,1
-0.334092,0.94252,-8.81243e-05,0.999981,5.07331,-0.470443,0,5.09508,120.876,0.5,0,12,-2544.22,-120.876,-0.350621,-0.494784,0.000383813,0.606421,0,12,1
0.541169,0.8409,-0.000115321,0.999989,5.04113,-0.46648,0,5.06267,55.1098,0.5,0,12,53.4455,-55.1098,-0.104524,0.785408,-0.000165287,0.792333,0,13,1
0.550961,0.834435,-9.16452e-05,0.99992,5.04041,-0.465999,0,5.06191,52.2865,0.5,0,12,99.6066,-52.2865,-0.0682084,0.790433,-0.000198128,0.793371,0,14,1
0.560757,0.827967,-0.000110075,0.999989,5.03969,-0.465517,0,5.06115,49.4586,0.5,0,12,145.807,-49.4586,-0.0318876,0.795456,-0.000155665,0.796095,0,15,1
0.43688,0.899506,-0.00015719,0.999988,5.04602,-0.468813,0,5.06775,85.1136,0.5,0,12,-1038.6,-85.1136,-0.289284,0.720818,-0.000158361,0.776701,0,16,1
0.489019,0.870205,-0.000258261,0.998197,5.04358,-0.467646,0,5.06521,70.1065,0.5,0,12,-492.568,-70.1065,-0.196921,0.753113,0.00012504,0.778433,0,17,1
0.400322,0.915489,-0.000527839,0.999189,5.04809,-0.469628,0,5.06989,102.087,0.5,0,12,-1985.87,-102.087,-0.36405,0.658537,0.000217933,0.752465,0,18,1
-0.346481,0.937945,0.000156933,0.999895,5.07433,-0.470096,0,5.09606,113.916,0.5,0,12,-2078.32,-113.916,-0.3139,-0.521849,0.000622787,0.608983,0,19,1
-0.358862,0.933373,-6.08484e-05,0.999983,5.07535,-0.469749,0,5.09704,106.956,0.5,0,12,-1612.42,-106.956,-0.277223,-0.548905,0.000372444,0.614938,0,20,1
-0.417478,0.90867,2.86219e-06,0.999985,5.08024,-0.468044,0,5.10175,84.0929,0.5,0,12,-488.163,-84.0929,-0.11589,-0.588673,0.000352517,0.599972,0,21,1
-0.388172,0.921022,9.38689e-05,0.999479,5.07779,-0.468897,0,5.0994,95.5317,0.5,0,12,-1050.53,-95.5317,-0.196523,-0.56879,0.000648323,0.601784,0,22,1
-0.492776,0.870136,5.83527e-05,0.999982,5.08512,-0.465856,0,5.10642,73.394,0.5,0,12,-158.493,-73.394,0.0475262,-0.620224,0.000316007,0.622043,0,23,1
-0.455126,0.889405,-0.00018088,0.99909,5.08268,-0.46695,0,5.10408,78.746,0.5,0,12,-323.023,-78.746,-0.0341235,-0.604454,0.000556254,0.605417,0,24,1
-0.494793,0.868988,4.65768e-05,0.99998,5.08542,-0.465687,0,5.1067,72.9458,0.5,0,12,-148.011,-72.9458,0.057978,-0.620457,0.000300644,0.62316,0,25,1
-0.496812,0.867838,6.50014e-05,0.999983,5.08571,-0.465517,0,5.10698,72.4958,0.5,0,12,-137.383,-72.4958,0.0684436,-0.620689,0.000303591,0.624452,0,26,1
0.256278,0.966584,-0.000335488,0.999982,5.43219,-0.466758,0,5.4522,46.2983,0.5,0,12,-305.735,-46.2983,-0.180916,0.276458,-0.000485089,0.330394,0,27,1
0.274429,0.961403,-0.000290667,0.999803,5.42988,-0.466138,0,5.44985,43.5454,0.5,0,12,-252.225,-43.5454,-0.155314,0.306292,-0.000680861,0.34342,0,28,1
0.292627,0.956208,-0.000394332,0.999983,5.42757,-0.465517,0,5.44749,40.7938,0.5,0,12,-198.752,-40.7938,-0.129697,0.336192,-0.000540834,0.360343,0,29,1
0.18913,0.981936,-0.000237768,0.999984,5.43708,-0.467654,0,5.45715,49.1144,0.5,0,12,-355.134,-49.1144,-0.224967,0.212018,-0.000415988,0.309131,0,30,1
0.222707,0.974261,-9.75968e-05,0.999391,5.43463,-0.467206,0,5.45468,47.7084,0.5,0,12,-330.509,-47.7084,-0.202952,0.244233,-0.000285634,0.317552,0,31,1
0.124222,0.992241,-0.000148989,0.999986,5.44196,-0.468244,0,5.46207,50.4979,0.5,0,12,-373.137,-50.4979,-0.259514,0.152219,-0.000327971,0.300863,0,32,1
0.156672,0.987091,3.24559e-05,0.999447,5.43952,-0.467949,0,5.45961,49.8062,0.5,0,12,-364.13,-49.8062,-0.242246,0.182109,-0.000116244,0.303063,0,33,1
0.0700685,0.99753,-7.97252e-05,0.999988,5.44685,-0.468605,0,5.46697,51.9733,0.5,0,12,-424.663,-51.9733,-0.282518,0.0951809,-0.000235476,0.298121,0,34,1
