Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.566888,0.823775,0.00573399,1,5.49262,-0.466922,0,5.51243,0.5,0,12.9972,-503.468,-85.7985,0,0.219856,0.616654,-0.000259136,0.654675,0,0,1
0.567786,0.823156,0.0057368,1,5.4926,-0.466912,0,5.51241,0.5,0,13,-493.83,-85.6658,0,0.222074,0.617357,-0.000247622,0.656084,0,1,1
0.224837,0.974392,0.00306331,1,5.49629,-0.468239,0,5.51619,0.5,0,12.6391,-2282.34,-105.446,0,-0.0554508,0.42714,-0.000525597,0.430725,0,2,1
0.100765,0.994909,0.00139954,1,5.49995,-0.468337,0,5.51986,0.5,0,12.6124,-3548.86,-120.735,0,-0.14712,0.265294,-0.00189,0.303362,0,3,1
0.178381,0.983959,0.00226396,1,5.50362,-0.468876,0,5.52355,0.5,0,13,-4961.57,-144.132,0,-0.184487,0.00816957,-0.00150055,0.184674,0,4,1
-0.231705,0.972785,0.00168132,1,5.50728,-0.468984,0,5.52722,0.5,0,13,-6112.09,-157.427,0,-0.198515,-0.17345,-0.000993092,0.263617,0,5,1
-0.339593,0.940573,3.18043e-05,1,5.51095,-0.468024,0,5.53079,0.5,0,12.6975,-4703.37,-138.056,0,-0.145245,-0.489216,-0.00160201,0.510325,0,6,1
-0.507513,0.861644,-0.000777396,1,5.51397,-0.466912,0,5.5337,0.5,0,13,-2727.65,-120.771,0,-0.00870741,-0.64314,-0.00146525,0.6432,0,7,1
0.578014,0.816019,0.00368596,1,5.48895,-0.46381,0,5.50852,0.5,0,13,1176.51,-36.4338,0,0.403673,0.700252,-0.00515006,0.808289,0,8,1
0.576714,0.816939,0.00328245,1,5.48829,-0.463235,0,5.5078,0.5,0,13,1218.44,-29.8174,0,0.441411,0.692587,-0.00589993,0.821313,0,9,1
-0.549489,0.835501,-0.000984308,1,5.51461,-0.466405,0,5.5343,0.5,0,13,-1904.81,-111.903,0,0.017729,-0.662849,-0.00150453,0.663088,0,10,1
-0.556523,0.830826,-0.00305018,1,5.51828,-0.46342,0,5.5377,0.5,0,13,-346.939,-89.0988,0,0.131334,-0.667059,-0.00121405,0.679866,0,11,1
-0.549175,0.835701,-0.00333759,1,5.51867,-0.463235,0,5.53807,0.5,0,13,-323.034,-88.4799,0,0.143865,-0.671539,-0.00117319,0.686778,0,12,1
0.636055,0.771643,0.000672396,1,5.48529,-0.460976,0,5.50462,0.5,0,13,1314.31,4.63588,0,0.640962,0.6186,-0.0044246,0.890796,0,13,1
0.606338,0.795207,-0.000504328,1,5.48272,-0.459559,0,5.50194,0.5,0,13,983.866,10.715,0,0.728722,0.568943,-0.00427996,0.924527,0,14,1
-0.47444,0.880282,-0.00317132,1,5.52194,-0.461532,0,5.5412,0.5,0,12.5368,-21.4994,-65.6492,0,0.343545,-0.653411,0.000669151,0.738221,0,15,1
-0.552218,0.83369,-0.0039196,1,5.52561,-0.460228,0,5.54474,0.5,0,12.8179,257.522,-49.4343,0,0.432584,-0.633803,0.000366448,0.767356,0,16,1
-0.579496,0.814964,-0.00429735,1,5.52634,-0.459559,0,5.54541,0.5,0,13,277.947,-49.0392,0,0.472809,-0.638623,0.000300867,0.794599,0,17,1
0.62589,0.779911,-0.000751966,1,5.48162,-0.458948,0,5.5008,0.5,0,13,881.31,10.843,0,0.75137,0.54861,-0.00384115,0.930347,0,18,1
0.688991,0.72477,1.56362e-05,1,5.47905,-0.455882,0,5.49798,0.5,0,12.2975,575.042,1.20972,0,0.835348,0.511741,-0.000166518,0.979635,0,19,1
