Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
2.74999,-0.469008,0,2.78969,0.5,0,0
2.75024,-0.46905,0,2.78996,0.5,0,1
2.74945,-0.46875,0,2.78912,0.5,0,2
2.75295,-0.469705,0,2.79273,0.5,0,3
2.75391,-0.469841,0,2.7937,0.5,0,4
2.75642,-0.469901,0,2.79618,0.5,0,5
2.75757,-0.46985,0,2.79731,0.5,0,6
2.7608,-0.469178,0,2.80039,0.5,0,7
2.76123,-0.469101,0,2.80079,0.5,0,8
2.76191,-0.46875,0,2.8014,0.5,0,9
2.69325,-0.39757,0,2.72244,0.5,0,10
2.69531,-0.397724,0,2.7245,0.5,0,11
2.69199,-0.395508,0,2.72089,0.5,0,12
2.68798,-0.388188,0,2.71587,0.5,0,13
2.68799,-0.388188,0,2.71587,0.5,0,14
2.68798,-0.388184,0,2.71587,0.5,0,15
2.68501,-0.383837,0,2.71231,0.5,0,16
2.68411,-0.380859,0,2.711,0.5,0,17
2.69057,-0.392929,0,2.71911,0.5,0,18
2.69165,-0.394889,0,2.72046,0.5,0,19
2.68799,-0.392232,0,2.71645,0.5,0,20
2.69191,-0.39525,0,2.72077,0.5,0,21
2.68055,-0.373649,0,2.70647,0.5,0,22
2.68066,-0.373819,0,2.7066,0.5,0,23
2.68053,-0.373535,0,2.70643,0.5,0,24
2.67786,-0.369013,0,2.70317,0.5,0,25
2.67777,-0.366211,0,2.7027,0.5,0,26
2.67307,-0.355499,0,2.6966,0.5,0,27
2.67334,-0.356336,0,2.69698,0.5,0,28
2.67302,-0.355225,0,2.69652,0.5,0,29
2.6722,-0.352698,0,2.69538,0.5,0,30
2.67186,-0.351562,0,2.69489,0.5,0,31
2.67592,-0.363626,0,2.70052,0.5,0,32
2.67564,-0.366211,0,2.70058,0.5,0,33
2.67411,-0.362549,0,2.69858,0.5,0,34
2.67375,-0.362144,0,2.69816,0.5,0,35
2.67409,-0.358887,0,2.69807,0.5,0,36
2.67392,-0.358302,0,2.69782,0.5,0,37
2.68296,-0.378561,0,2.70954,0.5,0,38
2.6721,-0.34914,0,2.69481,0.5,0,39
2.67153,-0.3479,0,2.69409,0.5,0,40
2.67058,-0.346996,0,2.69303,0.5,0,41
2.66998,-0.344238,0,2.69208,0.5,0,42
2.66951,-0.340744,0,2.69117,0.5,0,43
2.66968,-0.341965,0,2.69149,0.5,0,44
2.66948,-0.340576,0,2.69111,0.5,0,45
2.66906,-0.337527,0,2.69032,0.5,0,46
2.66906,-0.336914,0,2.69024,0.5,0,47
2.66995,-0.343966,0,2.69202,0.5,0,48
2.66885,-0.33408,0,2.68968,0.5,0,49
2.66851,-0.333252,0,2.68924,0.5,0,50
2.66844,-0.330825,0,2.68887,0.5,0,51
2.66874,-0.32959,0,2.68902,0.5,0,52
2.66884,-0.326764,0,2.68877,0.5,0,53
2.6687,-0.325928,0,2.68853,0.5,0,54
2.66904,-0.322901,0,2.6885,0.5,0,55
2.66923,-0.322266,0,2.68861,0.5,0,56
2.66968,-0.319983,0,2.68879,0.5,0,57
2.66997,-0.318604,0,2.68891,0.5,0,58
2.67002,-0.318263,0,2.68892,0.5,0,59
2.67083,-0.314941,0,2.68934,0.5,0,60
2.67334,-0.311738,0,2.69145,0.5,0,61
2.67318,-0.307774,0,2.69084,0.5,0,62
2.67334,-0.308417,0,2.69107,0.5,0,63
2.67323,-0.307617,0,2.69087,0.5,0,64
2.67334,-0.3074,0,2.69096,0.5,0,65
2.67485,-0.303955,0,2.69206,0.5,0,66
2.67606,-0.30123,0,2.69297,0.5,0,67
2.67642,-0.300293,0,2.69321,0.5,0,68
2.677,-0.299374,0,2.69369,0.5,0,69
2.67909,-0.296631,0,2.69547,0.5,0,70
2.68035,-0.293287,0,2.69634,0.5,0,71
2.68046,-0.292969,0,2.69642,0.5,0,72
2.68066,-0.292627,0,2.69659,0.5,0,73
2.68034,-0.292969,0,2.6963,0.5,0,74
