Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
1,-1.09821e-16,-0,1,19.9984,-0.5,0,20.0047,1.44936,0.5,0.254557,5,-2.19447e-06,-1.44936,0.0157423,5.34618e-07,-2.77295e-06,0.0157423,1,0,1
1,-8.23661e-17,-5.49107e-17,1,19.9984,-0.496296,0,20.0046,1.65935,0.5,0.20715,5,-2.98957e-06,-1.65935,0.023195,7.40132e-07,-3.59368e-06,0.023195,1,1,1
1,5.49107e-17,-5.49107e-17,1,19.9984,-0.492593,0,20.0045,1.86933,0.5,0.159742,5,-4.05836e-06,-1.86933,0.0306477,9.45824e-07,-5.19607e-06,0.0306477,1,2,1
0.20753,0.978165,-0.00359049,0.999945,12.5063,-0.48635,0,12.5157,17.3469,0.5,0.0281486,11,215.551,-11.8764,-0.328465,0.13492,0.0269923,0.35612,0,3,1
0.197307,0.980174,0.0146325,0.999942,12.5031,-0.485774,0,12.5125,19.4745,0.5,0.014232,11,298.816,-16.3879,-0.279114,0.155657,0.0341759,0.321406,0,4,1
0.186123,0.982381,0.0123032,0.999932,12.4996,-0.485185,0,12.509,21.4796,0.5,0,11,415.671,-21.24,-0.223463,0.178644,0.0443852,0.289516,0,5,1
0.0786733,0.99684,0.00225967,0.999943,12.5136,-0.488102,0,12.5231,13.6278,0.5,0.079726,11,118.078,-2.12488,-0.394568,0.115248,0.0120053,0.41123,0,6,1
0.141782,0.987873,-0.00106351,0.997996,12.5099,-0.487236,0,12.5194,15.5278,0.5,0.0542015,11,174.818,-7.01769,-0.361706,0.125543,0.0200072,0.383396,0,7,1
0.136525,0.990572,0.00188388,0.999938,12.5209,-0.487837,0,12.5304,20.027,0.5,0,11.358,183.827,4.47993,-0.51193,0.117091,0.0063684,0.525188,0,8,1
0.107021,0.993758,0.00182236,0.999506,12.5173,-0.487967,0,12.5268,16.6153,0.5,0.0397565,11.1792,148.352,0.908712,-0.454501,0.117123,0.00936798,0.469443,0,9,1
0.161053,0.98678,0.00422761,0.999846,12.5283,-0.488924,0,12.5378,30.422,0.5,0,11.5047,99.0316,9.1534,-0.588787,0.134313,-0.00312309,0.603921,0,10,1
0.148909,0.988687,-0.000138107,0.999838,12.5246,-0.48838,0,12.5341,24.9328,0.5,0,11.4314,146.363,6.48069,-0.548174,0.124697,0.00398038,0.562192,0,11,1
0.0697497,0.997464,0.004727,0.999911,12.5356,-0.489267,0,12.5451,32.0653,0.5,0,11.5511,86.9525,7.13116,-0.658315,0.125864,-0.0155281,0.670419,0,12,1
0.115216,0.992128,0.00660263,0.998818,12.5319,-0.489095,0,12.5415,32.0858,0.5,0,11.5278,91.3725,8.60091,-0.626183,0.129164,-0.00958156,0.639437,0,13,1
0.0350317,0.999341,0.00250485,0.999958,12.5429,-0.489465,0,12.5525,30.5312,0.5,0,11.5778,75.4797,4.23962,-0.699777,0.0950551,-0.00328764,0.706211,0,14,1
0.0512489,0.998415,0.0059092,0.999747,12.5392,-0.489365,0,12.5488,31.6156,0.5,0,11.5643,66.7124,5.6764,-0.688109,0.112911,-0.0118122,0.697411,0,15,1
-0.0181038,0.999653,-0.00874932,0.999855,12.5502,-0.489542,0,12.5598,31.4118,0.5,0,11.5881,-22.2426,5.74953,-0.732741,0.0672014,0.0043439,0.735829,0,16,1
0.00185333,0.999268,-0.00181598,0.999272,12.5466,-0.489494,0,12.5561,30.1439,0.5,0,11.5816,49.865,4.18073,-0.710798,0.0754922,1.90763e-05,0.714796,0,17,1
0.0156748,0.99666,-0.063404,0.998797,12.5576,-0.489278,0,12.5671,27.1696,0.5,0,11.5525,32.5502,5.16559,-0.738013,0.0474941,0.00435576,0.739552,0,18,1
0.031014,0.997734,-0.036346,0.998877,12.5539,-0.489342,0,12.5634,29.0935,0.5,0,11.5612,-6.27576,6.25478,-0.7398,0.0552752,0.00115371,0.741863,0,19,1
0.0829429,0.979958,0.112421,0.989866,12.5649,-0.490149,0,12.5745,22.0023,0.5,0.0922169,11.2767,8.99172,6.05487,-0.616935,0.01621,0.00871133,0.61721,0,20,1
0.0900011,0.980271,0.0551347,0.985937,12.5612,-0.490222,0,12.5708,23.5035,0.5,0.0922169,11.2866,17.4511,6.3162,-0.636534,0.0316501,0.00916094,0.637386,0,21,1
-0.0909833,0.972342,0.104517,0.982166,12.5722,-0.489816,0,12.5818,20.1882,0.5,0.0805737,11.2586,-16.7926,7.36076,-0.613077,0.00103975,0.0107207,0.613172,0,22,1
-0.160051,0.974031,0.101905,0.99234,12.5686,-0.489951,0,12.5781,20.8683,0.5,0.0805737,11.2767,11.8721,6.5578,-0.621777,0.0110125,0.00905448,0.621941,0,23,1
0.0397906,0.966533,-0.15445,0.979604,12.5795,-0.489746,0,12.5891,18.2553,0.5,0.0922315,11.2262,-22.3306,7.4015,-0.585971,-0.012446,0.00550268,0.586129,0,24,1
-0.0199224,0.991951,0.00591711,0.992169,12.5759,-0.488776,0,12.5854,22.217,0.5,0,11.4847,-46.6429,7.20754,-0.668079,-0.0011423,0.00871758,0.668137,0,25,1
-0.103174,0.961876,-0.096545,0.972199,12.5869,-0.489581,0,12.5964,15.7995,0.5,0.0832327,11.2268,56.082,6.62615,-0.54752,-0.0160892,0.00720282,0.547804,0,26,1
0.15633,0.968858,-0.123235,0.989096,12.5832,-0.48975,0,12.5927,16.8689,0.5,0.0922315,11.2268,43.0234,6.67303,-0.559887,-0.0130047,0.00991924,0.560126,0,27,1
0.04767,0.991554,0.00619704,0.992719,12.5942,-0.489117,0,12.6037,12.9977,0.5,0.0724765,11.1963,51.8627,4.34647,-0.492227,-0.0175746,-0.00337948,0.492552,0,28,1
-0.0709801,0.957501,-0.108556,0.966245,12.5905,-0.490379,0,12.6001,12.5058,0.5,0.155709,11,41.9089,5.88826,-0.45904,-0.0208674,-0.00124473,0.459516,0,29,1
-0.0742136,0.970991,0.0181405,0.973992,12.6015,-0.48958,0,12.611,9.98768,0.5,0.120246,11,49.4245,2.68299,-0.396224,-0.0229853,0.000320177,0.39689,0,30,1
-0.185504,0.975554,0.015905,0.993162,12.5979,-0.488868,0,12.6074,12.3968,0.5,0.0615683,11.1963,51.6606,3.35365,-0.472778,-0.0186029,-0.00299937,0.473154,0,31,1
-0.0967673,0.98731,-0.0816822,0.995397,12.6089,-0.488376,0,12.6183,10.8555,0.5,0.0523337,11.1622,14.3124,-0.472148,-0.360134,-0.0293991,0.00546106,0.361373,0,32,1
0.00238883,0.988605,0.0148917,0.98872,12.6052,-0.488552,0,12.6147,11.0776,0.5,0.0586774,11.1622,17.0703,0.811586,-0.389565,-0.0246025,0.00402437,0.390362,0,33,1
-0.0234563,0.992263,-0.0973434,0.997302,12.6162,-0.488112,0,12.6256,10.7629,0.5,0.0487218,11.145,64.3896,-4.29622,-0.2808,-0.0399688,0.015141,0.284034,0,34,1
-0.0150479,0.992315,-0.0999114,0.997446,12.6125,-0.488249,0,12.622,10.3547,0.5,0.0523337,11.145,68.3922,-2.57987,-0.321731,-0.0337142,0.0130867,0.323758,0,35,1
0.0186053,0.982925,0.123291,0.990802,12.6235,-0.488193,0,12.633,11.0617,0.5,0.075736,11,38.3174,-6.78473,-0.193303,-0.0542295,0.0156736,0.201377,0,36,1
0.00770803,0.976031,0.0424466,0.976984,12.6199,-0.488488,0,12.6293,10.7734,0.5,0.0855768,11,39.0898,-5.28081,-0.226131,-0.0482854,0.0165697,0.231822,0,37,1
-0.068947,0.992604,-0.0632019,0.997001,12.6308,-0.488093,0,12.6403,10.8836,0.5,0.0705139,11,40.0246,-7.92667,-0.122899,-0.0648852,0.0115711,0.139457,0,38,1
