Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.133105,0.98606,0.0374769,0.995709,14.8964,-0.470713,0,14.9039,219.668,0.5,0,12.9538,-12152.7,-219.668,-0.638178,-0.0541327,-0.0167049,0.640687,0,0,1
-0.0925755,0.993108,0.048343,0.998585,14.896,-0.470521,0,14.9034,219.807,0.5,0,12.9797,-11948.1,-219.807,-0.619978,-0.00609659,-0.0165661,0.620229,0,1,1
-0.0829419,0.993234,0.0517863,0.998036,14.8958,-0.47037,0,14.9032,221.706,0.5,0,13,-11991.4,-221.706,-0.612675,0.0150073,-0.015851,0.613063,0,2,1
-0.147264,0.98585,0.027352,0.997163,14.8966,-0.470562,0,14.9041,219.799,0.5,0,12.9487,-12125.2,-219.799,-0.632714,-0.0649091,-0.0168325,0.636258,0,3,1
-0.161638,0.982512,0.0274472,0.996098,14.8969,-0.47037,0,14.9043,220.078,0.5,0,12.9426,-12101.1,-220.078,-0.626234,-0.0775265,-0.0170329,0.631245,0,4,1
0.743389,0.661703,0.0727881,0.997886,14.8818,-0.463948,0,14.889,27.6725,0.5,0,12.867,1730.78,-21.4484,0.353849,0.777122,0.00258223,0.853894,0,5,1
0.762195,0.639563,0.0961403,0.999613,14.8811,-0.463086,0,14.8883,25.9779,0.5,0,12.8845,1785.08,-19.7226,0.428372,0.769613,0.00345298,0.880805,0,6,1
0.764235,0.636503,0.0988026,0.999476,14.881,-0.462963,0,14.8882,25.431,0.5,0,12.8921,1803.13,-19.088,0.438473,0.768703,0.00366779,0.884972,0,7,1
0.382721,0.915228,0.123747,0.999716,14.8891,-0.467836,0,14.8965,152.507,0.5,0,12.7894,-4795.82,-152.507,-0.21736,0.685343,-0.000283192,0.718986,0,8,1
0.590289,0.763765,0.114964,0.972108,14.8854,-0.465815,0,14.8927,84.8244,0.5,0,12.9834,-1142.6,-79.2866,0.0942511,0.749314,-0.000189501,0.755218,0,9,1
0.115099,0.957498,0.070055,0.966932,14.8923,-0.46881,0,14.8997,185.847,0.5,0,12.7894,-8316.86,-185.847,-0.379051,0.341479,-0.00407393,0.5102,0,10,1
-0.22793,0.961097,0.0296007,0.988199,14.9003,-0.468768,0,14.9077,168.773,0.5,0,12.6909,-7596.97,-168.773,-0.433116,-0.296752,-0.0116929,0.525155,0,11,1
