Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
5.15519,-0.381922,0,5.16932,0.5,0,0
5.15625,-0.382845,0,5.17044,0.5,0,1
5.15462,-0.380859,0,5.16868,0.5,0,2
5.13272,-0.353123,0,5.14485,0.5,0,3
5.13428,-0.353722,0,5.14645,0.5,0,4
5.13185,-0.351562,0,5.14388,0.5,0,5
5.13915,-0.361343,0,5.15183,0.5,0,6
5.1416,-0.364163,0,5.15448,0.5,0,7
5.13856,-0.358887,0,5.15107,0.5,0,8
5.13611,-0.357059,0,5.1485,0.5,0,9
5.1361,-0.358887,0,5.14862,0.5,0,10
5.13428,-0.357031,0,5.14668,0.5,0,11
5.14575,-0.369383,0,5.15899,0.5,0,12
5.14893,-0.373484,0,5.16245,0.5,0,13
5.14329,-0.366211,0,5.15631,0.5,0,14
5.15214,-0.377641,0,5.16597,0.5,0,15
5.14897,-0.373535,0,5.1625,0.5,0,16
5.14895,-0.373506,0,5.16248,0.5,0,17
5.1427,-0.365113,0,5.15564,0.5,0,18
5.0898,-0.293497,0,5.09826,0.5,0,19
5.09033,-0.294231,0,5.09883,0.5,0,20
5.08958,-0.292969,0,5.098,0.5,0,21
5.09526,-0.302694,0,5.10424,0.5,0,22
5.09766,-0.305189,0,5.10678,0.5,0,23
5.09499,-0.300293,0,5.10384,0.5,0,24
5.09258,-0.298041,0,5.1013,0.5,0,25
5.09251,-0.300293,0,5.10136,0.5,0,26
5.09178,-0.296631,0,5.10041,0.5,0,27
5.09133,-0.295632,0,5.09991,0.5,0,28
5.0676,-0.242458,0,5.0734,0.5,0,29
5.06836,-0.242461,0,5.07416,0.5,0,30
5.06743,-0.241699,0,5.07319,0.5,0,31
5.06836,-0.23903,0,5.07399,0.5,0,32
5.06625,-0.236486,0,5.07176,0.5,0,33
5.06836,-0.237606,0,5.07393,0.5,0,34
5.06584,-0.234375,0,5.07126,0.5,0,35
5.08163,-0.279697,0,5.08932,0.5,0,36
5.08301,-0.28076,0,5.09076,0.5,0,37
5.08111,-0.27832,0,5.08872,0.5,0,38
5.07484,-0.264515,0,5.08173,0.5,0,39
5.07568,-0.2671,0,5.08271,0.5,0,40
5.07484,-0.263672,0,5.08169,0.5,0,41
5.0792,-0.274799,0,5.08663,0.5,0,42
5.07805,-0.270996,0,5.08527,0.5,0,43
5.07671,-0.269973,0,5.08388,0.5,0,44
5.07671,-0.270996,0,5.08393,0.5,0,45
5.07576,-0.267334,0,5.0828,0.5,0,46
5.07575,-0.26727,0,5.08278,0.5,0,47
5.08557,-0.286749,0,5.09364,0.5,0,48
5.08667,-0.288368,0,5.09484,0.5,0,49
5.08508,-0.285645,0,5.09309,0.5,0,50
5.08899,-0.290644,0,5.09729,0.5,0,51
5.08756,-0.289307,0,5.09578,0.5,0,52
5.08706,-0.288918,0,5.09526,0.5,0,53
5.08429,-0.284358,0,5.09224,0.5,0,54
5.08301,-0.284358,0,5.09096,0.5,0,55
5.0727,-0.259336,0,5.07932,0.5,0,56
5.07377,-0.263672,0,5.08062,0.5,0,57
5.07148,-0.256348,0,5.07795,0.5,0,58
5.07067,-0.254035,0,5.07703,0.5,0,59
5.06917,-0.249023,0,5.07528,0.5,0,60
5.06905,-0.248336,0,5.07513,0.5,0,61
5.06836,-0.24679,0,5.07436,0.5,0,62
5.11042,-0.324153,0,5.12069,0.5,0,63
5.1123,-0.325706,0,5.12267,0.5,0,64
5.11033,-0.322266,0,5.12048,0.5,0,65
5.12662,-0.344569,0,5.13819,0.5,0,66
5.12695,-0.344842,0,5.13854,0.5,0,67
5.12649,-0.344238,0,5.13803,0.5,0,68
5.12347,-0.340392,0,5.13477,0.5,0,69
5.12104,-0.336914,0,5.13211,0.5,0,70
5.1172,-0.332019,0,5.12796,0.5,0,71
5.11963,-0.332282,0,5.1304,0.5,0,72
5.11723,-0.32959,0,5.12783,0.5,0,73
5.1144,-0.327496,0,5.12487,0.5,0,74
5.11458,-0.32959,0,5.12519,0.5,0,75
5.1206,-0.335946,0,5.13161,0.5,0,76
5.11963,-0.33578,0,5.13063,0.5,0,77
5.10427,-0.315652,0,5.11402,0.5,0,78
5.10498,-0.31573,0,5.11473,0.5,0,79
5.10427,-0.314941,0,5.11398,0.5,0,80
5.10294,-0.313319,0,5.11255,0.5,0,81
5.104,-0.314941,0,5.11371,0.5,0,82
5.10196,-0.311279,0,5.11145,0.5,0,83
5.10159,-0.311007,0,5.11106,0.5,0,84
5.10134,-0.307617,0,5.1106,0.5,0,85
5.10766,-0.319582,0,5.11765,0.5,0,86
5.10765,-0.322266,0,5.1178,0.5,0,87
5.10498,-0.319061,0,5.11494,0.5,0,88
5.09897,-0.306299,0,5.10817,0.5,0,89
5.09897,-0.307617,0,5.10824,0.5,0,90
5.12988,-0.348631,0,5.14172,0.5,0,91
5.06587,-0.233203,0,5.07123,0.5,0,92
5.06536,-0.230713,0,5.07062,0.5,0,93
5.06517,-0.230241,0,5.0704,0.5,0,94
5.06478,-0.227051,0,5.06987,0.5,0,95
5.06448,-0.223602,0,5.06942,0.5,0,96
5.0647,-0.226087,0,5.06974,0.5,0,97
5.06444,-0.223389,0,5.06937,0.5,0,98
5.06414,-0.22028,0,5.06893,0.5,0,99
5.06415,-0.219727,0,5.06892,0.5,0,100
5.06478,-0.226973,0,5.06986,0.5,0,101
5.06396,-0.216802,0,5.0686,0.5,0,102
5.06368,-0.216064,0,5.06829,0.5,0,103
5.06354,-0.213562,0,5.06804,0.5,0,104
5.06376,-0.212402,0,5.06821,0.5,0,105
5.06369,-0.209743,0,5.06804,0.5,0,106
5.06327,-0.20874,0,5.06758,0.5,0,107
5.06326,-0.206514,0,5.06747,0.5,0,108
5.06367,-0.205078,0,5.06782,0.5,0,109
5.0637,-0.202409,0,5.06775,0.5,0,110
5.06339,-0.201416,0,5.06739,0.5,0,111
5.06349,-0.198958,0,5.0674,0.5,0,112
5.06385,-0.197754,0,5.06771,0.5,0,113
5.06399,-0.194802,0,5.06773,0.5,0,114
5.06389,-0.194092,0,5.06761,0.5,0,115
5.06412,-0.191008,0,5.06772,0.5,0,116
5.06425,-0.19043,0,5.06783,0.5,0,117
5.06453,-0.186939,0,5.06797,0.5,0,118
5.06453,-0.186768,0,5.06797,0.5,0,119
5.0647,-0.185298,0,5.06809,0.5,0,120
5.06493,-0.183105,0,5.06824,0.5,0,121
5.065,-0.182802,0,5.0683,0.5,0,122
5.06538,-0.179443,0,5.06856,0.5,0,123
5.06536,-0.17878,0,5.06851,0.5,0,124
5.06568,-0.175781,0,5.06872,0.5,0,125
