Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.0507911,0.962129,-0.000545114,0.963469,4.3419,-0.471708,0,4.36744,37.4749,0.5,0,12,-221.101,-37.4749,-0.171406,0.0846546,-0.00257527,0.191188,0,0,1
0.160375,0.953581,0.0406115,0.967825,4.34047,-0.47104,0,4.36596,39.2009,0.5,0,12.1941,-191.73,-39.2009,-0.153054,0.102481,-0.00268634,0.184215,0,1,1
0.269684,0.944752,0.000261724,0.98249,4.33905,-0.47037,0,4.36447,41.5208,0.5,0,12.388,-184.528,-41.5208,-0.135876,0.119957,-0.00334125,0.181282,0,2,1
-0.0264636,0.972283,-0.0567753,0.974299,4.34374,-0.471039,0,4.36921,43.9506,0.5,0,12.2517,-313.548,-43.9506,-0.175905,0.0684962,-0.00421596,0.188817,0,3,1
-0.103052,0.982373,-0.00114086,0.987764,4.34558,-0.47037,0,4.37096,51.1194,0.5,0,12.502,-430.566,-51.1194,-0.182724,0.0519919,-0.00285609,0.189998,0,4,1
0.432295,0.900996,-0.000771254,0.999336,4.3199,-0.465183,0,4.34487,29.2346,0.5,0,12,-115.492,-29.2346,-0.00287713,0.247007,-0.00112891,0.247026,0,5,1
0.494314,0.865418,0.000818491,0.996642,4.31785,-0.464074,0,4.34272,28.386,0.5,0,12.2796,-96.9916,-28.386,0.0416176,0.261038,-0.000833682,0.264336,0,6,1
0.567481,0.822286,-0.00183782,0.999096,4.31579,-0.462963,0,4.34055,27.6684,0.5,0,12.561,-79.116,-27.6684,0.0851157,0.275547,-0.000783311,0.288395,0,7,1
0.290455,0.956876,-7.00401e-05,0.999988,4.32723,-0.46649,0,4.3523,30.6667,0.5,0,12.5239,-127.155,-30.6667,-0.126651,0.183219,-0.00196481,0.222741,0,8,1
0.36097,0.929127,-0.0211139,0.997006,4.32357,-0.465838,0,4.34859,29.9888,0.5,0,12.2618,-124.927,-29.9888,-0.0640622,0.214643,-0.00317973,0.224021,0,9,1
0.449804,0.892943,0.00114486,0.999836,4.33456,-0.46856,0,4.35982,38.3994,0.5,0,13,-61.2698,-38.3994,-0.118901,0.163455,-0.00429257,0.202172,0,10,1
0.370045,0.92495,-0.00601754,0.996244,4.3309,-0.467525,0,4.35606,33.7072,0.5,0,12.7621,-66.8271,-33.7072,-0.122101,0.174317,-0.00297266,0.212847,0,11,1
0.359562,0.918911,-0.0834113,0.990273,4.33681,-0.469464,0,4.36214,40.3934,0.5,0,12.6941,-133.536,-40.3934,-0.127856,0.141531,-0.00241666,0.190745,0,12,1
-0.160511,0.979202,0.0702338,0.994753,4.34741,-0.469735,0,4.37271,54.6951,0.5,0,12.666,-506.093,-54.6951,-0.181002,0.0321781,-0.00152027,0.183846,0,13,1
-0.217982,0.975859,-0.000806392,0.999908,4.34923,-0.469105,0,4.37445,57.7734,0.5,0,12.8292,-564.189,-57.7734,-0.177642,0.0128525,-0.00287095,0.17813,0,14,1
-0.0626754,0.99783,-0.000796848,0.999796,4.35656,-0.468631,0,4.38169,58.8223,0.5,0,12.7652,-596.672,-58.8223,-0.140597,-0.0861182,-0.00196226,0.164887,0,15,1
-0.140445,0.986834,-0.00411825,0.996786,4.35289,-0.468869,0,4.37807,57.8888,0.5,0,12.7974,-560.286,-57.8888,-0.158907,-0.0383911,-0.00235962,0.163496,0,16,1
-0.234933,0.971857,-0.00154607,0.999851,4.36389,-0.468381,0,4.38896,51.3345,0.5,0,12.7315,-293.19,-51.3345,-0.092209,-0.164591,-0.00214735,0.188673,0,17,1
-0.14854,0.984882,0.000296683,0.99602,4.36023,-0.468504,0,4.38532,54.6736,0.5,0,12.748,-434.858,-54.6736,-0.114877,-0.124283,-0.00221861,0.169257,0,18,1
-0.209944,0.977703,-0.000751363,0.999991,4.37122,-0.466889,0,4.39609,39.8694,0.5,0,12.47,-64.2512,-39.8694,-0.0225562,-0.203845,-0.000929486,0.205091,0,19,1
-0.22248,0.974779,0.00530502,0.99986,4.36756,-0.467638,0,4.39252,45.7668,0.5,0,12.6013,-186.805,-45.7668,-0.0573484,-0.183139,-0.00104894,0.191911,0,20,1
-0.221329,0.975187,-0.00108461,0.999989,4.37855,-0.466162,0,4.4033,36.101,0.5,0,12.5682,-16.4235,-36.101,0.0202407,-0.224425,-0.000355992,0.225337,0,21,1
-0.216084,0.976344,-0.00105244,0.999971,4.37489,-0.466525,0,4.39969,38.0306,0.5,0,12.5191,-43.4628,-38.0306,-0.00112633,-0.213799,-0.00108744,0.213804,0,22,1
-0.371113,0.928425,-0.00435304,0.999858,4.38589,-0.464758,0,4.41044,30.893,0.5,0,12.7577,40.5086,-30.893,0.0642566,-0.229292,0.000888769,0.238128,0,23,1
-0.296449,0.95162,-0.0088142,0.996765,4.38222,-0.465455,0,4.40687,33.4312,0.5,0,12.6636,14.389,-33.4312,0.0428464,-0.22695,0.000269572,0.230959,0,24,1
-0.437432,0.896128,-0.0026321,0.997195,4.38816,-0.463854,0,4.41261,31.8073,0.5,0,12.8797,32.1704,-31.8073,0.098168,-0.236612,0.000561344,0.256169,0,25,1
-0.50167,0.864798,-0.00480321,0.999786,4.39039,-0.462963,0,4.41473,32.6357,0.5,0,13,23.2187,-32.6357,0.132469,-0.243318,0.000481332,0.277042,0,26,1
0.536371,0.843778,0.0128831,0.999911,4.30524,-0.458634,0,4.3296,14.6399,0.5,0,12.5844,36.462,-14.6399,0.145094,0.299393,-0.00152841,0.332703,0,27,1
0.549539,0.831283,-0.0428646,0.997428,4.30311,-0.457037,0,4.32731,11.6405,0.5,0,12.8,42.9556,-11.6405,0.18717,0.300451,-0.000877648,0.353983,0,28,1
0.554333,0.828373,-0.0503867,0.998011,4.30098,-0.455556,0,4.32504,8.49928,0.5,0,13,48.1033,-8.49928,0.232714,0.304732,-0.000188068,0.383428,0,29,1
