Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.220584,0.975353,0.00547555,1,9.84361,-0.452877,0,9.85402,0.5,0,12.8174,-1069.75,-71.0346,0,0.110211,0.105838,-0.00221166,0.152816,0,0,1
0.324391,0.945899,0.00669716,1,9.84066,-0.452206,0,9.85105,0.5,0,13,-869.336,-68.7328,0,0.180082,0.183817,0.00198469,0.257337,0,1,1
0.109244,0.99401,0.00298048,1,9.84728,-0.45326,0,9.8577,0.5,0,12.7134,-1108.9,-71.7722,0,0.0767879,0.0202717,-0.00202994,0.0794446,0,2,1
0.0251133,0.999684,0.0014161,1,9.85094,-0.453403,0,9.86137,0.5,0,12.6743,-1152.5,-73.4976,0,0.0712726,-0.0595014,0.000108638,0.0928451,0,3,1
-0.0537721,0.998553,0.00111298,1,9.85461,-0.453374,0,9.86503,0.5,0,12.6823,-1157.4,-74.4143,0,0.0877937,-0.138651,0.000770553,0.164111,0,4,1
-0.143,0.989722,0.0012978,1,9.85827,-0.453156,0,9.86868,0.5,0,12.7417,-1072.17,-73.9345,0,0.116857,-0.21852,0.000960286,0.247806,0,5,1
-0.255569,0.96679,0.00149223,1,9.86194,-0.452658,0,9.87232,0.5,0,12.877,-813.45,-70.423,0,0.16293,-0.295261,0.00099738,0.337233,0,6,1
-0.30346,0.952843,0.00148828,1,9.86372,-0.452206,0,9.87408,0.5,0,13,-625.573,-67.1318,0,0.198203,-0.329204,0.00101474,0.384266,0,7,1
0.403695,0.909799,-0.0964164,1,9.82895,-0.44864,0,9.83918,0.5,0,12,-168.839,-38.8222,0,0.382708,0.292734,0.00283244,0.481837,0,8,1
0.417323,0.904342,-0.0894781,1,9.82881,-0.448529,0,9.83904,0.5,0,12,-167.83,-38.8862,0,0.387747,0.293784,0.0027764,0.486482,0,9,1
0.303146,0.952896,-0.00959929,1,9.83262,-0.449034,0,9.84286,0.5,0,13,-111.129,-45.8995,0,0.303769,0.28584,0.0035468,0.417124,0,10,1
0.369663,0.929161,0.00301284,1,9.83628,-0.45057,0,9.84659,0.5,0,13,-356.916,-54.5297,0,0.243695,0.253739,0.00305633,0.351824,0,11,1
0.33777,0.941205,0.00663959,1,9.83995,-0.451926,0,9.85032,0.5,0,13,-800.36,-66.8302,0,0.190199,0.200631,0.00227438,0.276466,0,12,1
